Date,Description,Amount
2025-01-01,SYNTHETIC SHOP 0000,250.00
2025-01-01,SYNTHETIC SHOP 0001,-1.37
2025-01-01,SYNTHETIC SHOP 0002,-1.74
2025-01-01,SYNTHETIC SHOP 0003,-2.11
2025-01-01,SYNTHETIC SHOP 0004,-2.48
2025-01-01,SYNTHETIC SHOP 0005,-2.85
2025-01-01,SYNTHETIC SHOP 0006,-3.22
2025-01-02,SYNTHETIC SHOP 0007,-3.59
2025-01-02,SYNTHETIC SHOP 0008,-3.96
2025-01-02,SYNTHETIC SHOP 0009,-4.33
2025-01-02,SYNTHETIC SHOP 0010,-4.70
2025-01-02,SYNTHETIC SHOP 0011,-5.07
2025-01-02,SYNTHETIC SHOP 0012,-5.44
2025-01-02,SYNTHETIC SHOP 0013,-5.81
2025-01-03,SYNTHETIC SHOP 0014,-6.18
2025-01-03,SYNTHETIC SHOP 0015,-6.55
2025-01-03,SYNTHETIC SHOP 0016,-6.92
2025-01-03,SYNTHETIC SHOP 0017,-7.29
2025-01-03,SYNTHETIC SHOP 0018,-7.66
2025-01-03,SYNTHETIC SHOP 0019,-8.03
2025-01-04,SYNTHETIC SHOP 0020,250.00
2025-01-04,SYNTHETIC SHOP 0021,-8.77
2025-01-04,SYNTHETIC SHOP 0022,-9.14
2025-01-04,SYNTHETIC SHOP 0023,-9.51
2025-01-04,SYNTHETIC SHOP 0024,-9.88
2025-01-04,SYNTHETIC SHOP 0025,-10.25
2025-01-04,SYNTHETIC SHOP 0026,-10.62
2025-01-05,SYNTHETIC SHOP 0027,-10.99
2025-01-05,SYNTHETIC SHOP 0028,-11.36
2025-01-05,SYNTHETIC SHOP 0029,-11.73
2025-01-05,SYNTHETIC SHOP 0030,-12.10
2025-01-05,SYNTHETIC SHOP 0031,-12.47
2025-01-05,SYNTHETIC SHOP 0032,-12.84
2025-01-06,SYNTHETIC SHOP 0033,-13.21
2025-01-06,SYNTHETIC SHOP 0034,-13.58
2025-01-06,SYNTHETIC SHOP 0035,-13.95
2025-01-06,SYNTHETIC SHOP 0036,-14.32
2025-01-06,SYNTHETIC SHOP 0037,-14.69
2025-01-06,SYNTHETIC SHOP 0038,-15.06
2025-01-06,SYNTHETIC SHOP 0039,-15.43
2025-01-07,SYNTHETIC SHOP 0040,250.00
2025-01-07,SYNTHETIC SHOP 0041,-16.17
2025-01-07,SYNTHETIC SHOP 0042,-16.54
2025-01-07,SYNTHETIC SHOP 0043,-16.91
2025-01-07,SYNTHETIC SHOP 0044,-17.28
2025-01-07,SYNTHETIC SHOP 0045,-17.65
2025-01-07,SYNTHETIC SHOP 0046,-18.02
2025-01-08,SYNTHETIC SHOP 0047,-18.39
2025-01-08,SYNTHETIC SHOP 0048,-18.76
2025-01-08,SYNTHETIC SHOP 0049,-19.13
2025-01-08,SYNTHETIC SHOP 0050,-19.50
2025-01-08,SYNTHETIC SHOP 0051,-19.87
2025-01-08,SYNTHETIC SHOP 0052,-1.24
2025-01-09,SYNTHETIC SHOP 0053,-1.61
2025-01-09,SYNTHETIC SHOP 0054,-1.98
2025-01-09,SYNTHETIC SHOP 0055,-2.35
2025-01-09,SYNTHETIC SHOP 0056,-2.72
2025-01-09,SYNTHETIC SHOP 0057,-3.09
2025-01-09,SYNTHETIC SHOP 0058,-3.46
2025-01-09,SYNTHETIC SHOP 0059,-3.83
2025-01-10,SYNTHETIC SHOP 0060,250.00
