Date,Description,Amount
2025-01-02,WHITTAKER YARD RENT,-425.00
2025-01-04,SQ *CARD FEES,-47.80
2025-01-12,EE MOBILE,-28.00
2025-01-19,MERCHANT LIABILITY COVER,-138.00
2025-01-27,BOOKER WHOLESALE ACCOUNT,-612.40
2025-01-31,CARD TAKINGS SETTLEMENT,2870.00
2025-02-02,WHITTAKER YARD RENT,-425.00
2025-02-04,SQ *CARD FEES,-47.80
2025-02-12,EE MOBILE,-28.00
2025-02-27,BOOKER WHOLESALE ACCOUNT,-612.40
2025-02-28,CARD TAKINGS SETTLEMENT,2410.00
2025-03-02,WHITTAKER YARD RENT,-425.00
2025-03-04,SQ *CARD FEES,-47.80
2025-03-12,EE MOBILE,-28.00
2025-03-27,BOOKER WHOLESALE ACCOUNT,-612.40
2025-03-31,CARD TAKINGS SETTLEMENT,3105.00
2025-04-02,WHITTAKER YARD RENT,-425.00
2025-04-04,SQ *CARD FEES,-47.80
2025-04-12,EE MOBILE,-28.00
2025-04-19,MERCHANT LIABILITY COVER,-138.00
2025-04-27,BOOKER WHOLESALE ACCOUNT,-612.40
2025-04-30,CARD TAKINGS SETTLEMENT,2760.00
2025-05-02,WHITTAKER YARD RENT,-425.00
2025-05-04,SQ *CARD FEES,-47.80
2025-05-12,EE MOBILE,-28.00
2025-05-16,REDGRAVE SIGNWRITING,-340.00
2025-05-27,BOOKER WHOLESALE ACCOUNT,-612.40
2025-06-02,WHITTAKER YARD RENT,-425.00
2025-06-04,SQ *CARD FEES,-47.80
2025-06-12,EE MOBILE,-28.00
2025-06-27,BOOKER WHOLESALE ACCOUNT,-612.40
2025-06-30,CARD TAKINGS SETTLEMENT,3320.00
2025-07-02,WHITTAKER YARD RENT,-425.00
2025-07-04,SQ *CARD FEES,-47.80
2025-07-12,EE MOBILE,-31.50
2025-07-19,MERCHANT LIABILITY COVER,-138.00
2025-07-27,BOOKER WHOLESALE ACCOUNT,-612.40
2025-08-02,WHITTAKER YARD RENT,-425.00
2025-08-04,SQ *CARD FEES,-47.80
2025-08-12,EE MOBILE,-31.50
2025-08-27,BOOKER WHOLESALE ACCOUNT,-612.40
2025-08-29,CARD TAKINGS SETTLEMENT,2985.00
2025-09-02,WHITTAKER YARD RENT,-425.00
2025-09-04,SQ *CARD FEES,-47.80
2025-09-12,EE MOBILE,-31.50
2025-09-27,BOOKER WHOLESALE ACCOUNT,-612.40
2025-10-02,WHITTAKER YARD RENT,-425.00
2025-10-04,SQ *CARD FEES,-47.80
2025-10-12,EE MOBILE,-31.50
2025-10-19,MERCHANT LIABILITY COVER,-138.00
2025-10-27,BOOKER WHOLESALE ACCOUNT,-612.40
2025-10-31,CARD TAKINGS SETTLEMENT,3440.00
2025-11-02,WHITTAKER YARD RENT,-425.00
2025-11-04,SQ *CARD FEES,-47.80
2025-11-12,EE MOBILE,-31.50
2025-11-14,COLDSPRING REFRIGERATION,-780.00
2025-11-27,BOOKER WHOLESALE ACCOUNT,-612.40
2025-12-02,WHITTAKER YARD RENT,-425.00
2025-12-04,SQ *CARD FEES,-47.80
2025-12-12,EE MOBILE,-31.50
2025-12-27,BOOKER WHOLESALE ACCOUNT,-612.40
