Date,Description,Amount
2024-01-01,STRIPE* MERIDIANPROPERTY,-825.10
2024-01-03,STRIPE* MOKONKWO,-125.10
2024-01-08,OCTOPUS ENERGY PAYMENT,-7.00
2024-01-28,PENROSE HEALTHCARE PAYMENT,2350.00
2024-02-01,SQ *MERIDIANPROPERTY,-825.11
2024-02-03,SQ *MOKONKWO,-125.11
2024-02-08,OCTOPUS ENERGY PAYMENT,-7.00
2024-02-28,PENROSE HEALTHCARE PAYMENT,2350.00
2024-03-01,PAYPAL *MERIDIANPROPERTY,-825.12
2024-03-03,PAYPAL *MOKONKWO,-125.12
2024-03-08,OCTOPUS ENERGY PAYMENT,-7.00
2024-03-28,PENROSE HEALTHCARE PAYMENT,2350.00
2024-04-01,STRIPE* MERIDIANPROPERTY,-825.13
2024-04-03,STRIPE* MOKONKWO,-125.13
2024-04-08,OCTOPUS ENERGY PAYMENT,-7.00
2024-04-28,PENROSE HEALTHCARE PAYMENT,2350.00
2024-05-01,SQ *MERIDIANPROPERTY,-825.14
2024-05-03,SQ *MOKONKWO,-125.14
2024-05-03,STRIPE* MOKONKWO,-125.00
2024-05-08,OCTOPUS ENERGY PAYMENT,-7.00
2024-05-28,PENROSE HEALTHCARE PAYMENT,2350.00
2024-06-01,PAYPAL *MERIDIANPROPERTY,-825.15
2024-06-02,STRIPE* MERIDIANPROPERTY,-825.00
2024-06-02,STRIPE* MERIDIANPROPERTY,825.00
2024-06-03,PAYPAL *MOKONKWO,-125.15
2024-06-08,OCTOPUS ENERGY PAYMENT,-7.00
2024-06-28,PENROSE HEALTHCARE PAYMENT,2350.00
2024-07-01,STRIPE* MERIDIANPROPERTY,-825.16
2024-07-03,STRIPE* MOKONKWO,-125.16
2024-07-08,OCTOPUS ENERGY PAYMENT,-7.00
2024-07-28,PENROSE HEALTHCARE PAYMENT,2350.00
2024-08-01,SQ *MERIDIANPROPERTY,-825.17
2024-08-03,SQ *MOKONKWO,-125.17
2024-08-08,OCTOPUS ENERGY PAYMENT,-7.00
2024-08-20,STRIPE* LNER,-510.00
2024-08-28,PENROSE HEALTHCARE PAYMENT,2350.00
2024-09-01,PAYPAL *MERIDIANPROPERTY,-850.20
2024-09-03,PAYPAL *MOKONKWO,-140.18
2024-09-08,OCTOPUS ENERGY PAYMENT,-9.00
2024-09-28,PENROSE HEALTHCARE PAYMENT,2425.00
2024-10-01,STRIPE* MERIDIANPROPERTY,-850.21
2024-10-03,STRIPE* MOKONKWO,-140.19
2024-10-08,OCTOPUS ENERGY PAYMENT,-9.00
2024-10-28,PENROSE HEALTHCARE PAYMENT,2425.00
2024-11-01,SQ *MERIDIANPROPERTY,-850.22
2024-11-03,SQ *MOKONKWO,-140.20
2024-11-08,OCTOPUS ENERGY PAYMENT,-9.00
2024-11-28,PENROSE HEALTHCARE PAYMENT,2425.00
2024-12-01,PAYPAL *MERIDIANPROPERTY,-850.23
2024-12-03,PAYPAL *MOKONKWO,-140.21
2024-12-08,OCTOPUS ENERGY PAYMENT,-9.00
2024-12-28,PENROSE HEALTHCARE PAYMENT,2425.00
2025-01-04,STRIPE* SAINSBURYS,-41.00
2025-01-11,SQ *SAINSBURYS,-42.13
2025-01-18,PAYPAL *SAINSBURYS,-43.26
2025-01-25,STRIPE* SAINSBURYS,-44.39
2025-02-01,SQ *SAINSBURYS,-45.52
2025-02-06,STRIPE* LOWTHERTRADERS,-22.40
2025-02-08,PAYPAL *SAINSBURYS,-46.65
2025-02-15,STRIPE* SAINSBURYS,-47.78
2025-02-16,SQ *SAINSBURYS,-18.25
2025-02-16,SQ *SAINSBURYS,18.25
2025-02-22,SQ *SAINSBURYS,-48.91
2025-03-01,PAYPAL *SAINSBURYS,-49.04
2025-03-08,STRIPE* SAINSBURYS,-50.17
2025-03-15,SQ *SAINSBURYS,-51.30
2025-03-22,PAYPAL *SAINSBURYS,-52.43
2025-04-09,DUNELM PAYMENT,-74.00
2025-04-09,DUNELM PAYMENT,-74.00
2025-04-11,DUNELM PAYMENT,74.00
2025-05-18,SQ *LOWTHERTRADERS,-31.10
2025-05-20,PAYPAL *LOWTHERTRADERS,31.10
2025-06-02,QUAYSIDE HARDWARE PAYMENT,-63.20
2025-06-09,QUAYSIDE HARDWARE PAYMENT,63.20
2025-07-12,REDCLIFF ATTRACT PAYMENT,-96.00
2025-07-12,REDCLIFF ATTRACT PAYMENT,-96.00
2025-08-20,SQ *LNER,-540.00
2025-08-22,PAYPAL *LNER,540.00
2025-08-23,PAYPAL *LNER,-540.00
