Date,Description,Amount
2024-01-01,STRIPE* HARTWELLLETTINGS,-825.10
2024-01-03,STRIPE* JHENDERSON,-125.10
2024-01-08,BRITISH GAS PAYMENT,-7.00
2024-01-28,CALDWELL LOGISTICS PAYMENT,2350.00
2024-02-01,SQ *HARTWELLLETTINGS,-825.11
2024-02-03,SQ *JHENDERSON,-125.11
2024-02-08,BRITISH GAS PAYMENT,-7.00
2024-02-28,CALDWELL LOGISTICS PAYMENT,2350.00
2024-03-01,PAYPAL *HARTWELLLETTINGS,-825.12
2024-03-03,PAYPAL *JHENDERSON,-125.12
2024-03-08,BRITISH GAS PAYMENT,-7.00
2024-03-28,CALDWELL LOGISTICS PAYMENT,2350.00
2024-04-01,STRIPE* HARTWELLLETTINGS,-825.13
2024-04-03,STRIPE* JHENDERSON,-125.13
2024-04-08,BRITISH GAS PAYMENT,-7.00
2024-04-28,CALDWELL LOGISTICS PAYMENT,2350.00
2024-05-01,SQ *HARTWELLLETTINGS,-825.14
2024-05-03,SQ *JHENDERSON,-125.14
2024-05-03,STRIPE* JHENDERSON,-125.00
2024-05-08,BRITISH GAS PAYMENT,-7.00
2024-05-28,CALDWELL LOGISTICS PAYMENT,2350.00
2024-06-01,PAYPAL *HARTWELLLETTINGS,-825.15
2024-06-02,STRIPE* HARTWELLLETTINGS,-825.00
2024-06-02,STRIPE* HARTWELLLETTINGS,825.00
2024-06-03,PAYPAL *JHENDERSON,-125.15
2024-06-08,BRITISH GAS PAYMENT,-7.00
2024-06-28,CALDWELL LOGISTICS PAYMENT,2350.00
2024-07-01,STRIPE* HARTWELLLETTINGS,-825.16
2024-07-03,STRIPE* JHENDERSON,-125.16
2024-07-08,BRITISH GAS PAYMENT,-7.00
2024-07-28,CALDWELL LOGISTICS PAYMENT,2350.00
2024-08-01,SQ *HARTWELLLETTINGS,-825.17
2024-08-03,SQ *JHENDERSON,-125.17
2024-08-08,BRITISH GAS PAYMENT,-7.00
2024-08-20,STRIPE* TRAINLINE,-510.00
2024-08-28,CALDWELL LOGISTICS PAYMENT,2350.00
2024-09-01,PAYPAL *HARTWELLLETTINGS,-850.20
2024-09-03,PAYPAL *JHENDERSON,-140.18
2024-09-08,BRITISH GAS PAYMENT,-9.00
2024-09-28,CALDWELL LOGISTICS PAYMENT,2425.00
2024-10-01,STRIPE* HARTWELLLETTINGS,-850.21
2024-10-03,STRIPE* JHENDERSON,-140.19
2024-10-08,BRITISH GAS PAYMENT,-9.00
2024-10-28,CALDWELL LOGISTICS PAYMENT,2425.00
2024-11-01,SQ *HARTWELLLETTINGS,-850.22
2024-11-03,SQ *JHENDERSON,-140.20
2024-11-08,BRITISH GAS PAYMENT,-9.00
2024-11-28,CALDWELL LOGISTICS PAYMENT,2425.00
2024-12-01,PAYPAL *HARTWELLLETTINGS,-850.23
2024-12-03,PAYPAL *JHENDERSON,-140.21
2024-12-08,BRITISH GAS PAYMENT,-9.00
2024-12-28,CALDWELL LOGISTICS PAYMENT,2425.00
2025-01-04,STRIPE* TESCOSTORES,-41.00
2025-01-11,SQ *TESCOSTORES,-42.13
2025-01-18,PAYPAL *TESCOSTORES,-43.26
2025-01-25,STRIPE* TESCOSTORES,-44.39
2025-02-01,SQ *TESCOSTORES,-45.52
2025-02-06,STRIPE* FENWICKMARKET,-22.40
2025-02-08,PAYPAL *TESCOSTORES,-46.65
2025-02-15,STRIPE* TESCOSTORES,-47.78
2025-02-16,SQ *TESCOSTORES,-18.25
2025-02-16,SQ *TESCOSTORES,18.25
2025-02-22,SQ *TESCOSTORES,-48.91
2025-03-01,PAYPAL *TESCOSTORES,-49.04
2025-03-08,STRIPE* TESCOSTORES,-50.17
2025-03-15,SQ *TESCOSTORES,-51.30
2025-03-22,PAYPAL *TESCOSTORES,-52.43
2025-04-09,ARGOS PAYMENT,-74.00
2025-04-09,ARGOS PAYMENT,-74.00
2025-04-11,ARGOS PAYMENT,74.00
2025-05-18,SQ *FENWICKMARKET,-31.10
2025-05-20,PAYPAL *FENWICKMARKET,31.10
2025-06-02,BRIGHTWATER HOME PAYMENT,-63.20
2025-06-09,BRIGHTWATER HOME PAYMENT,63.20
2025-07-12,HOLLINGWOOD PASS PAYMENT,-96.00
2025-07-12,HOLLINGWOOD PASS PAYMENT,-96.00
2025-08-20,SQ *TRAINLINE,-540.00
2025-08-22,PAYPAL *TRAINLINE,540.00
2025-08-23,PAYPAL *TRAINLINE,-540.00
