Date,Description,Amount
2024-01-08,DEEZER PAYMENT,-11.00
2024-01-08,EON NEXT PAYMENT,-7.00
2024-01-08,FINANCIAL TIMES PAYMENT,-6.50
2024-01-08,MASTERCLASS PAYMENT,-9.50
2024-01-08,NUFFIELD HEALTH PAYMENT,-9.50
2024-01-08,PARAMOUNT PLUS PAYMENT,-11.00
2024-01-08,STRIPE* PROTON,-7.10
2024-02-08,DEEZER PAYMENT,-11.00
2024-02-08,EON NEXT PAYMENT,-7.00
2024-02-08,FINANCIAL TIMES PAYMENT,-6.50
2024-02-08,MASTERCLASS PAYMENT,-9.50
2024-02-08,NUFFIELD HEALTH PAYMENT,-9.50
2024-02-08,PARAMOUNT PLUS PAYMENT,-11.00
2024-02-08,SQ *PROTON,-7.11
2024-03-08,DEEZER PAYMENT,-11.00
2024-03-08,EON NEXT PAYMENT,-7.00
2024-03-08,FINANCIAL TIMES PAYMENT,-6.50
2024-03-08,MASTERCLASS PAYMENT,-9.50
2024-03-08,NUFFIELD HEALTH PAYMENT,-9.50
2024-03-08,PARAMOUNT PLUS PAYMENT,-11.00
2024-03-08,PAYPAL *PROTON,-7.12
2024-03-14,STRIPE* IDRIVE,-84.00
2024-03-14,THE SPECTATOR PAYMENT,-84.00
2024-04-08,DEEZER PAYMENT,-11.00
2024-04-08,EON NEXT PAYMENT,-7.00
2024-04-08,FINANCIAL TIMES PAYMENT,-6.50
2024-04-08,MASTERCLASS PAYMENT,-9.50
2024-04-08,NUFFIELD HEALTH PAYMENT,-9.50
2024-04-08,PARAMOUNT PLUS PAYMENT,-11.00
2024-04-08,STRIPE* PROTON,-7.13
2024-04-12,MASTERCLASS PAYMENT,9.50
2024-05-08,DEEZER PAYMENT,-11.00
2024-05-08,EON NEXT PAYMENT,-7.00
2024-05-08,FINANCIAL TIMES PAYMENT,-6.50
2024-05-08,MASTERCLASS PAYMENT,-9.50
2024-05-08,NUFFIELD HEALTH PAYMENT,-9.50
2024-05-08,PARAMOUNT PLUS PAYMENT,-13.00
2024-05-08,SQ *PROTON,-7.14
2024-06-08,DEEZER PAYMENT,-11.00
2024-06-08,EON NEXT PAYMENT,-7.00
2024-06-08,FINANCIAL TIMES PAYMENT,-6.50
2024-06-08,MASTERCLASS PAYMENT,-9.50
2024-06-08,NUFFIELD HEALTH PAYMENT,-9.50
2024-06-08,PARAMOUNT PLUS PAYMENT,-13.00
2024-06-08,PAYPAL *PROTON,-7.15
2024-07-08,DEEZER PAYMENT,-11.00
2024-07-08,EON NEXT PAYMENT,-7.00
2024-07-08,FINANCIAL TIMES PAYMENT,-6.50
2024-07-08,PARAMOUNT PLUS PAYMENT,-13.00
2024-07-08,STRIPE* PROTON,-7.16
2024-08-08,DEEZER PAYMENT,-11.00
2024-08-08,EON NEXT PAYMENT,-7.00
2024-08-08,FINANCIAL TIMES PAYMENT,-6.50
2024-08-08,PARAMOUNT PLUS PAYMENT,-13.00
2024-08-08,SQ *PROTON,-7.17
2024-09-08,EON NEXT PAYMENT,-9.00
2024-09-08,FINANCIAL TIMES PAYMENT,-6.50
2024-09-08,PAYPAL *PROTON,-9.20
2024-10-08,EON NEXT PAYMENT,-9.00
2024-10-08,FINANCIAL TIMES PAYMENT,-6.50
2024-10-08,STRIPE* PROTON,-9.21
2024-11-08,EON NEXT PAYMENT,-9.00
2024-11-08,FINANCIAL TIMES PAYMENT,-6.50
2024-11-08,SQ *PROTON,-9.22
2024-11-12,FINANCIAL TIMES PAYMENT,6.50
2024-12-08,EON NEXT PAYMENT,-9.00
2024-12-08,PAYPAL *PROTON,-9.23
2025-02-08,DEEZER PAYMENT,-11.00
2025-02-08,PARAMOUNT PLUS PAYMENT,-13.00
2025-03-08,DEEZER PAYMENT,-11.00
2025-03-08,PARAMOUNT PLUS PAYMENT,-13.00
2025-03-14,SQ *IDRIVE,-84.00
2025-03-14,THE SPECTATOR PAYMENT,-84.00
2025-04-08,DEEZER PAYMENT,-11.00
2025-04-08,PARAMOUNT PLUS PAYMENT,-13.00
2025-05-08,DEEZER PAYMENT,-11.00
2025-05-08,PARAMOUNT PLUS PAYMENT,-13.00
2025-06-02,TANNERY BOOKS PAYMENT,-63.20
2025-06-09,TANNERY BOOKS PAYMENT,63.20
