Date,Description,Amount
2024-01-08,APPLE MUSIC PAYMENT,-11.00
2024-01-08,BABBEL PAYMENT,-9.50
2024-01-08,DISNEY PLUS PAYMENT,-11.00
2024-01-08,STRIPE* MICROSOFT365,-7.10
2024-01-08,THE GYM GROUP PAYMENT,-9.50
2024-01-08,THE TIMES PAYMENT,-6.50
2024-02-08,APPLE MUSIC PAYMENT,-11.00
2024-02-08,BABBEL PAYMENT,-9.50
2024-02-08,DISNEY PLUS PAYMENT,-11.00
2024-02-08,SQ *MICROSOFT365,-7.11
2024-02-08,THE GYM GROUP PAYMENT,-9.50
2024-02-08,THE TIMES PAYMENT,-6.50
2024-03-08,APPLE MUSIC PAYMENT,-11.00
2024-03-08,BABBEL PAYMENT,-9.50
2024-03-08,DISNEY PLUS PAYMENT,-11.00
2024-03-08,PAYPAL *MICROSOFT365,-7.12
2024-03-08,THE GYM GROUP PAYMENT,-9.50
2024-03-08,THE TIMES PAYMENT,-6.50
2024-03-14,NEW SCIENTIST PAYMENT,-84.00
2024-03-14,STRIPE* DROPBOX,-84.00
2024-04-08,APPLE MUSIC PAYMENT,-11.00
2024-04-08,BABBEL PAYMENT,-9.50
2024-04-08,DISNEY PLUS PAYMENT,-11.00
2024-04-08,STRIPE* MICROSOFT365,-7.13
2024-04-08,THE GYM GROUP PAYMENT,-9.50
2024-04-08,THE TIMES PAYMENT,-6.50
2024-04-12,BABBEL PAYMENT,9.50
2024-05-08,APPLE MUSIC PAYMENT,-11.00
2024-05-08,BABBEL PAYMENT,-9.50
2024-05-08,DISNEY PLUS PAYMENT,-13.00
2024-05-08,SQ *MICROSOFT365,-7.14
2024-05-08,THE GYM GROUP PAYMENT,-9.50
2024-05-08,THE TIMES PAYMENT,-6.50
2024-06-08,APPLE MUSIC PAYMENT,-11.00
2024-06-08,BABBEL PAYMENT,-9.50
2024-06-08,DISNEY PLUS PAYMENT,-13.00
2024-06-08,PAYPAL *MICROSOFT365,-7.15
2024-06-08,THE GYM GROUP PAYMENT,-9.50
2024-06-08,THE TIMES PAYMENT,-6.50
2024-07-08,APPLE MUSIC PAYMENT,-11.00
2024-07-08,DISNEY PLUS PAYMENT,-13.00
2024-07-08,STRIPE* MICROSOFT365,-7.16
2024-07-08,THE TIMES PAYMENT,-6.50
2024-08-08,APPLE MUSIC PAYMENT,-11.00
2024-08-08,DISNEY PLUS PAYMENT,-13.00
2024-08-08,SQ *MICROSOFT365,-7.17
2024-08-08,THE TIMES PAYMENT,-6.50
2024-09-08,PAYPAL *MICROSOFT365,-9.20
2024-09-08,THE TIMES PAYMENT,-6.50
2024-10-08,STRIPE* MICROSOFT365,-9.21
2024-10-08,THE TIMES PAYMENT,-6.50
2024-11-08,SQ *MICROSOFT365,-9.22
2024-11-08,THE TIMES PAYMENT,-6.50
2024-11-12,THE TIMES PAYMENT,6.50
2024-12-08,PAYPAL *MICROSOFT365,-9.23
2025-02-06,STRIPE* LOWTHERTRADERS,-22.40
2025-02-08,APPLE MUSIC PAYMENT,-11.00
2025-02-08,DISNEY PLUS PAYMENT,-13.00
2025-03-08,APPLE MUSIC PAYMENT,-11.00
2025-03-08,DISNEY PLUS PAYMENT,-13.00
2025-03-14,NEW SCIENTIST PAYMENT,-84.00
2025-03-14,SQ *DROPBOX,-84.00
2025-04-08,APPLE MUSIC PAYMENT,-11.00
2025-04-08,DISNEY PLUS PAYMENT,-13.00
2025-05-08,APPLE MUSIC PAYMENT,-11.00
2025-05-08,DISNEY PLUS PAYMENT,-13.00
2025-05-18,SQ *LOWTHERTRADERS,-31.10
2025-05-20,PAYPAL *LOWTHERTRADERS,31.10
2025-07-12,REDCLIFF ATTRACT PAYMENT,-96.00
2025-07-12,REDCLIFF ATTRACT PAYMENT,-96.00
