Date,Description,Amount
2024-01-01,STRIPE* HARTWELLLETTINGS,-825.10
2024-01-08,DUOLINGO PAYMENT,-9.50
2024-01-08,NETFLIX.COM PAYMENT,-11.00
2024-01-08,PUREGYM LTD PAYMENT,-9.50
2024-01-08,SPOTIFY LTD PAYMENT,-11.00
2024-01-08,STRIPE* GOOGLEONE,-7.10
2024-01-08,THE GUARDIAN PAYMENT,-6.50
2024-01-28,CALDWELL LOGISTICS PAYMENT,2350.00
2024-02-01,SQ *HARTWELLLETTINGS,-825.11
2024-02-08,DUOLINGO PAYMENT,-9.50
2024-02-08,NETFLIX.COM PAYMENT,-11.00
2024-02-08,PUREGYM LTD PAYMENT,-9.50
2024-02-08,SPOTIFY LTD PAYMENT,-11.00
2024-02-08,SQ *GOOGLEONE,-7.11
2024-02-08,THE GUARDIAN PAYMENT,-6.50
2024-02-28,CALDWELL LOGISTICS PAYMENT,2350.00
2024-03-01,PAYPAL *HARTWELLLETTINGS,-825.12
2024-03-08,DUOLINGO PAYMENT,-9.50
2024-03-08,NETFLIX.COM PAYMENT,-11.00
2024-03-08,PAYPAL *GOOGLEONE,-7.12
2024-03-08,PUREGYM LTD PAYMENT,-9.50
2024-03-08,SPOTIFY LTD PAYMENT,-11.00
2024-03-08,THE GUARDIAN PAYMENT,-6.50
2024-03-14,STRIPE* BACKBLAZE,-84.00
2024-03-14,THE ECONOMIST PAYMENT,-84.00
2024-03-28,CALDWELL LOGISTICS PAYMENT,2350.00
2024-04-01,STRIPE* HARTWELLLETTINGS,-825.13
2024-04-08,DUOLINGO PAYMENT,-9.50
2024-04-08,NETFLIX.COM PAYMENT,-11.00
2024-04-08,PUREGYM LTD PAYMENT,-9.50
2024-04-08,SPOTIFY LTD PAYMENT,-11.00
2024-04-08,STRIPE* GOOGLEONE,-7.13
2024-04-08,THE GUARDIAN PAYMENT,-6.50
2024-04-12,DUOLINGO PAYMENT,9.50
2024-04-28,CALDWELL LOGISTICS PAYMENT,2350.00
2024-05-01,SQ *HARTWELLLETTINGS,-825.14
2024-05-08,DUOLINGO PAYMENT,-9.50
2024-05-08,NETFLIX.COM PAYMENT,-13.00
2024-05-08,PUREGYM LTD PAYMENT,-9.50
2024-05-08,SPOTIFY LTD PAYMENT,-11.00
2024-05-08,SQ *GOOGLEONE,-7.14
2024-05-08,THE GUARDIAN PAYMENT,-6.50
2024-05-28,CALDWELL LOGISTICS PAYMENT,2350.00
2024-06-01,PAYPAL *HARTWELLLETTINGS,-825.15
2024-06-02,STRIPE* HARTWELLLETTINGS,-825.00
2024-06-02,STRIPE* HARTWELLLETTINGS,825.00
2024-06-08,DUOLINGO PAYMENT,-9.50
2024-06-08,NETFLIX.COM PAYMENT,-13.00
2024-06-08,PAYPAL *GOOGLEONE,-7.15
2024-06-08,PUREGYM LTD PAYMENT,-9.50
2024-06-08,SPOTIFY LTD PAYMENT,-11.00
2024-06-08,THE GUARDIAN PAYMENT,-6.50
2024-06-28,CALDWELL LOGISTICS PAYMENT,2350.00
2024-07-01,STRIPE* HARTWELLLETTINGS,-825.16
2024-07-08,NETFLIX.COM PAYMENT,-13.00
2024-07-08,SPOTIFY LTD PAYMENT,-11.00
2024-07-08,STRIPE* GOOGLEONE,-7.16
2024-07-08,THE GUARDIAN PAYMENT,-6.50
2024-07-28,CALDWELL LOGISTICS PAYMENT,2350.00
2024-08-01,SQ *HARTWELLLETTINGS,-825.17
2024-08-08,NETFLIX.COM PAYMENT,-13.00
2024-08-08,SPOTIFY LTD PAYMENT,-11.00
2024-08-08,SQ *GOOGLEONE,-7.17
2024-08-08,THE GUARDIAN PAYMENT,-6.50
2024-08-28,CALDWELL LOGISTICS PAYMENT,2350.00
2024-09-01,PAYPAL *HARTWELLLETTINGS,-850.20
2024-09-08,PAYPAL *GOOGLEONE,-9.20
2024-09-08,THE GUARDIAN PAYMENT,-6.50
2024-09-28,CALDWELL LOGISTICS PAYMENT,2425.00
2024-10-01,STRIPE* HARTWELLLETTINGS,-850.21
2024-10-08,STRIPE* GOOGLEONE,-9.21
2024-10-08,THE GUARDIAN PAYMENT,-6.50
2024-10-28,CALDWELL LOGISTICS PAYMENT,2425.00
2024-11-01,SQ *HARTWELLLETTINGS,-850.22
2024-11-08,SQ *GOOGLEONE,-9.22
2024-11-08,THE GUARDIAN PAYMENT,-6.50
2024-11-12,THE GUARDIAN PAYMENT,6.50
2024-11-28,CALDWELL LOGISTICS PAYMENT,2425.00
2024-12-01,PAYPAL *HARTWELLLETTINGS,-850.23
2024-12-08,PAYPAL *GOOGLEONE,-9.23
2024-12-28,CALDWELL LOGISTICS PAYMENT,2425.00
2025-02-08,NETFLIX.COM PAYMENT,-13.00
2025-02-08,SPOTIFY LTD PAYMENT,-11.00
2025-03-08,NETFLIX.COM PAYMENT,-13.00
2025-03-08,SPOTIFY LTD PAYMENT,-11.00
2025-03-14,SQ *BACKBLAZE,-84.00
2025-03-14,THE ECONOMIST PAYMENT,-84.00
2025-04-08,NETFLIX.COM PAYMENT,-13.00
2025-04-08,SPOTIFY LTD PAYMENT,-11.00
2025-05-08,NETFLIX.COM PAYMENT,-13.00
2025-05-08,SPOTIFY LTD PAYMENT,-11.00
