Date,Description,Amount
2024-01-01,STRIPE* OAKFIELDESTATES,-825.10
2024-01-08,DAVID LLOYD PAYMENT,-9.50
2024-01-08,NOW TV PAYMENT,-11.00
2024-01-08,SKILLSHARE PAYMENT,-9.50
2024-01-08,STRIPE* ADOBE,-7.10
2024-01-08,THE TELEGRAPH PAYMENT,-6.50
2024-01-08,TIDAL PAYMENT,-11.00
2024-01-28,ASHDOWN ENGINEERS PAYMENT,2350.00
2024-02-01,SQ *OAKFIELDESTATES,-825.11
2024-02-08,DAVID LLOYD PAYMENT,-9.50
2024-02-08,NOW TV PAYMENT,-11.00
2024-02-08,SKILLSHARE PAYMENT,-9.50
2024-02-08,SQ *ADOBE,-7.11
2024-02-08,THE TELEGRAPH PAYMENT,-6.50
2024-02-08,TIDAL PAYMENT,-11.00
2024-02-28,ASHDOWN ENGINEERS PAYMENT,2350.00
2024-03-01,PAYPAL *OAKFIELDESTATES,-825.12
2024-03-08,DAVID LLOYD PAYMENT,-9.50
2024-03-08,NOW TV PAYMENT,-11.00
2024-03-08,PAYPAL *ADOBE,-7.12
2024-03-08,SKILLSHARE PAYMENT,-9.50
2024-03-08,THE TELEGRAPH PAYMENT,-6.50
2024-03-08,TIDAL PAYMENT,-11.00
2024-03-14,PRIVATE EYE PAYMENT,-84.00
2024-03-14,STRIPE* PCLOUD,-84.00
2024-03-28,ASHDOWN ENGINEERS PAYMENT,2350.00
2024-04-01,STRIPE* OAKFIELDESTATES,-825.13
2024-04-08,DAVID LLOYD PAYMENT,-9.50
2024-04-08,NOW TV PAYMENT,-11.00
2024-04-08,SKILLSHARE PAYMENT,-9.50
2024-04-08,STRIPE* ADOBE,-7.13
2024-04-08,THE TELEGRAPH PAYMENT,-6.50
2024-04-08,TIDAL PAYMENT,-11.00
2024-04-12,SKILLSHARE PAYMENT,9.50
2024-04-28,ASHDOWN ENGINEERS PAYMENT,2350.00
2024-05-01,SQ *OAKFIELDESTATES,-825.14
2024-05-08,DAVID LLOYD PAYMENT,-9.50
2024-05-08,NOW TV PAYMENT,-13.00
2024-05-08,SKILLSHARE PAYMENT,-9.50
2024-05-08,SQ *ADOBE,-7.14
2024-05-08,THE TELEGRAPH PAYMENT,-6.50
2024-05-08,TIDAL PAYMENT,-11.00
2024-05-28,ASHDOWN ENGINEERS PAYMENT,2350.00
2024-06-01,PAYPAL *OAKFIELDESTATES,-825.15
2024-06-02,STRIPE* OAKFIELDESTATES,-825.00
2024-06-02,STRIPE* OAKFIELDESTATES,825.00
2024-06-08,DAVID LLOYD PAYMENT,-9.50
2024-06-08,NOW TV PAYMENT,-13.00
2024-06-08,PAYPAL *ADOBE,-7.15
2024-06-08,SKILLSHARE PAYMENT,-9.50
2024-06-08,THE TELEGRAPH PAYMENT,-6.50
2024-06-08,TIDAL PAYMENT,-11.00
2024-06-28,ASHDOWN ENGINEERS PAYMENT,2350.00
2024-07-01,STRIPE* OAKFIELDESTATES,-825.16
2024-07-08,NOW TV PAYMENT,-13.00
2024-07-08,STRIPE* ADOBE,-7.16
2024-07-08,THE TELEGRAPH PAYMENT,-6.50
2024-07-08,TIDAL PAYMENT,-11.00
2024-07-28,ASHDOWN ENGINEERS PAYMENT,2350.00
2024-08-01,SQ *OAKFIELDESTATES,-825.17
2024-08-08,NOW TV PAYMENT,-13.00
2024-08-08,SQ *ADOBE,-7.17
2024-08-08,THE TELEGRAPH PAYMENT,-6.50
2024-08-08,TIDAL PAYMENT,-11.00
2024-08-28,ASHDOWN ENGINEERS PAYMENT,2350.00
2024-09-01,PAYPAL *OAKFIELDESTATES,-850.20
2024-09-08,PAYPAL *ADOBE,-9.20
2024-09-08,THE TELEGRAPH PAYMENT,-6.50
2024-09-28,ASHDOWN ENGINEERS PAYMENT,2425.00
2024-10-01,STRIPE* OAKFIELDESTATES,-850.21
2024-10-08,STRIPE* ADOBE,-9.21
2024-10-08,THE TELEGRAPH PAYMENT,-6.50
2024-10-28,ASHDOWN ENGINEERS PAYMENT,2425.00
2024-11-01,SQ *OAKFIELDESTATES,-850.22
2024-11-08,SQ *ADOBE,-9.22
2024-11-08,THE TELEGRAPH PAYMENT,-6.50
2024-11-12,THE TELEGRAPH PAYMENT,6.50
2024-11-28,ASHDOWN ENGINEERS PAYMENT,2425.00
2024-12-01,PAYPAL *OAKFIELDESTATES,-850.23
2024-12-08,PAYPAL *ADOBE,-9.23
2024-12-28,ASHDOWN ENGINEERS PAYMENT,2425.00
2025-02-08,NOW TV PAYMENT,-13.00
2025-02-08,TIDAL PAYMENT,-11.00
2025-03-08,NOW TV PAYMENT,-13.00
2025-03-08,TIDAL PAYMENT,-11.00
2025-03-14,PRIVATE EYE PAYMENT,-84.00
2025-03-14,SQ *PCLOUD,-84.00
2025-04-08,NOW TV PAYMENT,-13.00
2025-04-08,TIDAL PAYMENT,-11.00
2025-05-08,NOW TV PAYMENT,-13.00
2025-05-08,TIDAL PAYMENT,-11.00
