Date,Description,Amount
2024-01-03,STRIPE* RPATEL,-125.10
2024-01-08,DAVID LLOYD PAYMENT,-9.50
2024-01-08,NOW TV PAYMENT,-11.00
2024-01-08,SKILLSHARE PAYMENT,-9.50
2024-01-08,STRIPE* ADOBE,-7.10
2024-01-08,THE TELEGRAPH PAYMENT,-6.50
2024-01-08,TIDAL PAYMENT,-11.00
2024-02-03,SQ *RPATEL,-125.11
2024-02-08,DAVID LLOYD PAYMENT,-9.50
2024-02-08,NOW TV PAYMENT,-11.00
2024-02-08,SKILLSHARE PAYMENT,-9.50
2024-02-08,SQ *ADOBE,-7.11
2024-02-08,THE TELEGRAPH PAYMENT,-6.50
2024-02-08,TIDAL PAYMENT,-11.00
2024-03-03,PAYPAL *RPATEL,-125.12
2024-03-08,DAVID LLOYD PAYMENT,-9.50
2024-03-08,NOW TV PAYMENT,-11.00
2024-03-08,PAYPAL *ADOBE,-7.12
2024-03-08,SKILLSHARE PAYMENT,-9.50
2024-03-08,THE TELEGRAPH PAYMENT,-6.50
2024-03-08,TIDAL PAYMENT,-11.00
2024-03-14,PRIVATE EYE PAYMENT,-84.00
2024-03-14,STRIPE* PCLOUD,-84.00
2024-04-03,STRIPE* RPATEL,-125.13
2024-04-08,DAVID LLOYD PAYMENT,-9.50
2024-04-08,NOW TV PAYMENT,-11.00
2024-04-08,SKILLSHARE PAYMENT,-9.50
2024-04-08,STRIPE* ADOBE,-7.13
2024-04-08,THE TELEGRAPH PAYMENT,-6.50
2024-04-08,TIDAL PAYMENT,-11.00
2024-04-12,SKILLSHARE PAYMENT,9.50
2024-05-03,SQ *RPATEL,-125.14
2024-05-03,STRIPE* RPATEL,-125.00
2024-05-08,DAVID LLOYD PAYMENT,-9.50
2024-05-08,NOW TV PAYMENT,-13.00
2024-05-08,SKILLSHARE PAYMENT,-9.50
2024-05-08,SQ *ADOBE,-7.14
2024-05-08,THE TELEGRAPH PAYMENT,-6.50
2024-05-08,TIDAL PAYMENT,-11.00
2024-06-03,PAYPAL *RPATEL,-125.15
2024-06-08,DAVID LLOYD PAYMENT,-9.50
2024-06-08,NOW TV PAYMENT,-13.00
2024-06-08,PAYPAL *ADOBE,-7.15
2024-06-08,SKILLSHARE PAYMENT,-9.50
2024-06-08,THE TELEGRAPH PAYMENT,-6.50
2024-06-08,TIDAL PAYMENT,-11.00
2024-07-03,STRIPE* RPATEL,-125.16
2024-07-08,NOW TV PAYMENT,-13.00
2024-07-08,STRIPE* ADOBE,-7.16
2024-07-08,THE TELEGRAPH PAYMENT,-6.50
2024-07-08,TIDAL PAYMENT,-11.00
2024-08-03,SQ *RPATEL,-125.17
2024-08-08,NOW TV PAYMENT,-13.00
2024-08-08,SQ *ADOBE,-7.17
2024-08-08,THE TELEGRAPH PAYMENT,-6.50
2024-08-08,TIDAL PAYMENT,-11.00
2024-08-20,STRIPE* SOUTHERNRAIL,-510.00
2024-09-03,PAYPAL *RPATEL,-140.18
2024-09-08,PAYPAL *ADOBE,-9.20
2024-09-08,THE TELEGRAPH PAYMENT,-6.50
2024-10-03,STRIPE* RPATEL,-140.19
2024-10-08,STRIPE* ADOBE,-9.21
2024-10-08,THE TELEGRAPH PAYMENT,-6.50
2024-11-03,SQ *RPATEL,-140.20
2024-11-08,SQ *ADOBE,-9.22
2024-11-08,THE TELEGRAPH PAYMENT,-6.50
2024-11-12,THE TELEGRAPH PAYMENT,6.50
2024-12-03,PAYPAL *RPATEL,-140.21
2024-12-08,PAYPAL *ADOBE,-9.23
2025-02-08,NOW TV PAYMENT,-13.00
2025-02-08,TIDAL PAYMENT,-11.00
2025-03-08,NOW TV PAYMENT,-13.00
2025-03-08,TIDAL PAYMENT,-11.00
2025-03-14,PRIVATE EYE PAYMENT,-84.00
2025-03-14,SQ *PCLOUD,-84.00
2025-04-08,NOW TV PAYMENT,-13.00
2025-04-08,TIDAL PAYMENT,-11.00
2025-05-08,NOW TV PAYMENT,-13.00
2025-05-08,TIDAL PAYMENT,-11.00
2025-08-20,SQ *SOUTHERNRAIL,-540.00
2025-08-22,PAYPAL *SOUTHERNRAIL,540.00
2025-08-23,PAYPAL *SOUTHERNRAIL,-540.00
