Date,Description,Amount
2024-01-03,STRIPE* SMACLEOD,-125.10
2024-01-08,DEEZER PAYMENT,-11.00
2024-01-08,FINANCIAL TIMES PAYMENT,-6.50
2024-01-08,MASTERCLASS PAYMENT,-9.50
2024-01-08,NUFFIELD HEALTH PAYMENT,-9.50
2024-01-08,PARAMOUNT PLUS PAYMENT,-11.00
2024-01-08,STRIPE* PROTON,-7.10
2024-02-03,SQ *SMACLEOD,-125.11
2024-02-08,DEEZER PAYMENT,-11.00
2024-02-08,FINANCIAL TIMES PAYMENT,-6.50
2024-02-08,MASTERCLASS PAYMENT,-9.50
2024-02-08,NUFFIELD HEALTH PAYMENT,-9.50
2024-02-08,PARAMOUNT PLUS PAYMENT,-11.00
2024-02-08,SQ *PROTON,-7.11
2024-03-03,PAYPAL *SMACLEOD,-125.12
2024-03-08,DEEZER PAYMENT,-11.00
2024-03-08,FINANCIAL TIMES PAYMENT,-6.50
2024-03-08,MASTERCLASS PAYMENT,-9.50
2024-03-08,NUFFIELD HEALTH PAYMENT,-9.50
2024-03-08,PARAMOUNT PLUS PAYMENT,-11.00
2024-03-08,PAYPAL *PROTON,-7.12
2024-03-14,STRIPE* IDRIVE,-84.00
2024-03-14,THE SPECTATOR PAYMENT,-84.00
2024-04-03,STRIPE* SMACLEOD,-125.13
2024-04-08,DEEZER PAYMENT,-11.00
2024-04-08,FINANCIAL TIMES PAYMENT,-6.50
2024-04-08,MASTERCLASS PAYMENT,-9.50
2024-04-08,NUFFIELD HEALTH PAYMENT,-9.50
2024-04-08,PARAMOUNT PLUS PAYMENT,-11.00
2024-04-08,STRIPE* PROTON,-7.13
2024-04-12,MASTERCLASS PAYMENT,9.50
2024-05-03,SQ *SMACLEOD,-125.14
2024-05-03,STRIPE* SMACLEOD,-125.00
2024-05-08,DEEZER PAYMENT,-11.00
2024-05-08,FINANCIAL TIMES PAYMENT,-6.50
2024-05-08,MASTERCLASS PAYMENT,-9.50
2024-05-08,NUFFIELD HEALTH PAYMENT,-9.50
2024-05-08,PARAMOUNT PLUS PAYMENT,-13.00
2024-05-08,SQ *PROTON,-7.14
2024-06-03,PAYPAL *SMACLEOD,-125.15
2024-06-08,DEEZER PAYMENT,-11.00
2024-06-08,FINANCIAL TIMES PAYMENT,-6.50
2024-06-08,MASTERCLASS PAYMENT,-9.50
2024-06-08,NUFFIELD HEALTH PAYMENT,-9.50
2024-06-08,PARAMOUNT PLUS PAYMENT,-13.00
2024-06-08,PAYPAL *PROTON,-7.15
2024-07-03,STRIPE* SMACLEOD,-125.16
2024-07-08,DEEZER PAYMENT,-11.00
2024-07-08,FINANCIAL TIMES PAYMENT,-6.50
2024-07-08,PARAMOUNT PLUS PAYMENT,-13.00
2024-07-08,STRIPE* PROTON,-7.16
2024-08-03,SQ *SMACLEOD,-125.17
2024-08-08,DEEZER PAYMENT,-11.00
2024-08-08,FINANCIAL TIMES PAYMENT,-6.50
2024-08-08,PARAMOUNT PLUS PAYMENT,-13.00
2024-08-08,SQ *PROTON,-7.17
2024-08-20,STRIPE* NORTHERNRAIL,-510.00
2024-09-03,PAYPAL *SMACLEOD,-140.18
2024-09-08,FINANCIAL TIMES PAYMENT,-6.50
2024-09-08,PAYPAL *PROTON,-9.20
2024-10-03,STRIPE* SMACLEOD,-140.19
2024-10-08,FINANCIAL TIMES PAYMENT,-6.50
2024-10-08,STRIPE* PROTON,-9.21
2024-11-03,SQ *SMACLEOD,-140.20
2024-11-08,FINANCIAL TIMES PAYMENT,-6.50
2024-11-08,SQ *PROTON,-9.22
2024-11-12,FINANCIAL TIMES PAYMENT,6.50
2024-12-03,PAYPAL *SMACLEOD,-140.21
2024-12-08,PAYPAL *PROTON,-9.23
2025-02-08,DEEZER PAYMENT,-11.00
2025-02-08,PARAMOUNT PLUS PAYMENT,-13.00
2025-03-08,DEEZER PAYMENT,-11.00
2025-03-08,PARAMOUNT PLUS PAYMENT,-13.00
2025-03-14,SQ *IDRIVE,-84.00
2025-03-14,THE SPECTATOR PAYMENT,-84.00
2025-04-08,DEEZER PAYMENT,-11.00
2025-04-08,PARAMOUNT PLUS PAYMENT,-13.00
2025-05-08,DEEZER PAYMENT,-11.00
2025-05-08,PARAMOUNT PLUS PAYMENT,-13.00
2025-08-20,SQ *NORTHERNRAIL,-540.00
2025-08-22,PAYPAL *NORTHERNRAIL,540.00
2025-08-23,PAYPAL *NORTHERNRAIL,-540.00
