Date,Description,Amount
2024-01-08,DUOLINGO PAYMENT,-9.50
2024-01-08,NETFLIX.COM PAYMENT,-11.00
2024-01-08,PUREGYM LTD PAYMENT,-9.50
2024-01-08,SPOTIFY LTD PAYMENT,-11.00
2024-01-08,STRIPE* GOOGLEONE,-7.10
2024-01-08,THE GUARDIAN PAYMENT,-6.50
2024-02-08,DUOLINGO PAYMENT,-9.50
2024-02-08,NETFLIX.COM PAYMENT,-11.00
2024-02-08,PUREGYM LTD PAYMENT,-9.50
2024-02-08,SPOTIFY LTD PAYMENT,-11.00
2024-02-08,SQ *GOOGLEONE,-7.11
2024-02-08,THE GUARDIAN PAYMENT,-6.50
2024-03-08,DUOLINGO PAYMENT,-9.50
2024-03-08,NETFLIX.COM PAYMENT,-11.00
2024-03-08,PAYPAL *GOOGLEONE,-7.12
2024-03-08,PUREGYM LTD PAYMENT,-9.50
2024-03-08,SPOTIFY LTD PAYMENT,-11.00
2024-03-08,THE GUARDIAN PAYMENT,-6.50
2024-03-14,STRIPE* BACKBLAZE,-84.00
2024-03-14,THE ECONOMIST PAYMENT,-84.00
2024-04-08,DUOLINGO PAYMENT,-9.50
2024-04-08,NETFLIX.COM PAYMENT,-11.00
2024-04-08,PUREGYM LTD PAYMENT,-9.50
2024-04-08,SPOTIFY LTD PAYMENT,-11.00
2024-04-08,STRIPE* GOOGLEONE,-7.13
2024-04-08,THE GUARDIAN PAYMENT,-6.50
2024-04-12,DUOLINGO PAYMENT,9.50
2024-05-08,DUOLINGO PAYMENT,-9.50
2024-05-08,NETFLIX.COM PAYMENT,-13.00
2024-05-08,PUREGYM LTD PAYMENT,-9.50
2024-05-08,SPOTIFY LTD PAYMENT,-11.00
2024-05-08,SQ *GOOGLEONE,-7.14
2024-05-08,THE GUARDIAN PAYMENT,-6.50
2024-06-08,DUOLINGO PAYMENT,-9.50
2024-06-08,NETFLIX.COM PAYMENT,-13.00
2024-06-08,PAYPAL *GOOGLEONE,-7.15
2024-06-08,PUREGYM LTD PAYMENT,-9.50
2024-06-08,SPOTIFY LTD PAYMENT,-11.00
2024-06-08,THE GUARDIAN PAYMENT,-6.50
2024-07-08,NETFLIX.COM PAYMENT,-13.00
2024-07-08,SPOTIFY LTD PAYMENT,-11.00
2024-07-08,STRIPE* GOOGLEONE,-7.16
2024-07-08,THE GUARDIAN PAYMENT,-6.50
2024-08-08,NETFLIX.COM PAYMENT,-13.00
2024-08-08,SPOTIFY LTD PAYMENT,-11.00
2024-08-08,SQ *GOOGLEONE,-7.17
2024-08-08,THE GUARDIAN PAYMENT,-6.50
2024-09-08,PAYPAL *GOOGLEONE,-9.20
2024-09-08,THE GUARDIAN PAYMENT,-6.50
2024-10-08,STRIPE* GOOGLEONE,-9.21
2024-10-08,THE GUARDIAN PAYMENT,-6.50
2024-11-08,SQ *GOOGLEONE,-9.22
2024-11-08,THE GUARDIAN PAYMENT,-6.50
2024-11-12,THE GUARDIAN PAYMENT,6.50
2024-12-08,PAYPAL *GOOGLEONE,-9.23
2025-01-04,STRIPE* TESCOSTORES,-41.00
2025-01-11,SQ *TESCOSTORES,-42.13
2025-01-18,PAYPAL *TESCOSTORES,-43.26
2025-01-25,STRIPE* TESCOSTORES,-44.39
2025-02-01,SQ *TESCOSTORES,-45.52
2025-02-08,NETFLIX.COM PAYMENT,-13.00
2025-02-08,PAYPAL *TESCOSTORES,-46.65
2025-02-08,SPOTIFY LTD PAYMENT,-11.00
2025-02-15,STRIPE* TESCOSTORES,-47.78
2025-02-16,SQ *TESCOSTORES,-18.25
2025-02-16,SQ *TESCOSTORES,18.25
2025-02-22,SQ *TESCOSTORES,-48.91
2025-03-01,PAYPAL *TESCOSTORES,-49.04
2025-03-08,NETFLIX.COM PAYMENT,-13.00
2025-03-08,SPOTIFY LTD PAYMENT,-11.00
2025-03-08,STRIPE* TESCOSTORES,-50.17
2025-03-14,SQ *BACKBLAZE,-84.00
2025-03-14,THE ECONOMIST PAYMENT,-84.00
2025-03-15,SQ *TESCOSTORES,-51.30
2025-03-22,PAYPAL *TESCOSTORES,-52.43
2025-04-08,NETFLIX.COM PAYMENT,-13.00
2025-04-08,SPOTIFY LTD PAYMENT,-11.00
2025-04-09,ARGOS PAYMENT,-74.00
2025-04-09,ARGOS PAYMENT,-74.00
2025-04-11,ARGOS PAYMENT,74.00
2025-05-08,NETFLIX.COM PAYMENT,-13.00
2025-05-08,SPOTIFY LTD PAYMENT,-11.00
