Date,Description,Amount
2024-01-08,APPLE MUSIC PAYMENT,-11.00
2024-01-08,BABBEL PAYMENT,-9.50
2024-01-08,DISNEY PLUS PAYMENT,-11.00
2024-01-08,STRIPE* MICROSOFT365,-7.10
2024-01-08,THE GYM GROUP PAYMENT,-9.50
2024-01-08,THE TIMES PAYMENT,-6.50
2024-02-08,APPLE MUSIC PAYMENT,-11.00
2024-02-08,BABBEL PAYMENT,-9.50
2024-02-08,DISNEY PLUS PAYMENT,-11.00
2024-02-08,SQ *MICROSOFT365,-7.11
2024-02-08,THE GYM GROUP PAYMENT,-9.50
2024-02-08,THE TIMES PAYMENT,-6.50
2024-03-08,APPLE MUSIC PAYMENT,-11.00
2024-03-08,BABBEL PAYMENT,-9.50
2024-03-08,DISNEY PLUS PAYMENT,-11.00
2024-03-08,PAYPAL *MICROSOFT365,-7.12
2024-03-08,THE GYM GROUP PAYMENT,-9.50
2024-03-08,THE TIMES PAYMENT,-6.50
2024-03-14,NEW SCIENTIST PAYMENT,-84.00
2024-03-14,STRIPE* DROPBOX,-84.00
2024-04-08,APPLE MUSIC PAYMENT,-11.00
2024-04-08,BABBEL PAYMENT,-9.50
2024-04-08,DISNEY PLUS PAYMENT,-11.00
2024-04-08,STRIPE* MICROSOFT365,-7.13
2024-04-08,THE GYM GROUP PAYMENT,-9.50
2024-04-08,THE TIMES PAYMENT,-6.50
2024-04-12,BABBEL PAYMENT,9.50
2024-05-08,APPLE MUSIC PAYMENT,-11.00
2024-05-08,BABBEL PAYMENT,-9.50
2024-05-08,DISNEY PLUS PAYMENT,-13.00
2024-05-08,SQ *MICROSOFT365,-7.14
2024-05-08,THE GYM GROUP PAYMENT,-9.50
2024-05-08,THE TIMES PAYMENT,-6.50
2024-06-08,APPLE MUSIC PAYMENT,-11.00
2024-06-08,BABBEL PAYMENT,-9.50
2024-06-08,DISNEY PLUS PAYMENT,-13.00
2024-06-08,PAYPAL *MICROSOFT365,-7.15
2024-06-08,THE GYM GROUP PAYMENT,-9.50
2024-06-08,THE TIMES PAYMENT,-6.50
2024-07-08,APPLE MUSIC PAYMENT,-11.00
2024-07-08,DISNEY PLUS PAYMENT,-13.00
2024-07-08,STRIPE* MICROSOFT365,-7.16
2024-07-08,THE TIMES PAYMENT,-6.50
2024-08-08,APPLE MUSIC PAYMENT,-11.00
2024-08-08,DISNEY PLUS PAYMENT,-13.00
2024-08-08,SQ *MICROSOFT365,-7.17
2024-08-08,THE TIMES PAYMENT,-6.50
2024-09-08,PAYPAL *MICROSOFT365,-9.20
2024-09-08,THE TIMES PAYMENT,-6.50
2024-10-08,STRIPE* MICROSOFT365,-9.21
2024-10-08,THE TIMES PAYMENT,-6.50
2024-11-08,SQ *MICROSOFT365,-9.22
2024-11-08,THE TIMES PAYMENT,-6.50
2024-11-12,THE TIMES PAYMENT,6.50
2024-12-08,PAYPAL *MICROSOFT365,-9.23
2025-01-04,STRIPE* SAINSBURYS,-41.00
2025-01-11,SQ *SAINSBURYS,-42.13
2025-01-18,PAYPAL *SAINSBURYS,-43.26
2025-01-25,STRIPE* SAINSBURYS,-44.39
2025-02-01,SQ *SAINSBURYS,-45.52
2025-02-08,APPLE MUSIC PAYMENT,-11.00
2025-02-08,DISNEY PLUS PAYMENT,-13.00
2025-02-08,PAYPAL *SAINSBURYS,-46.65
2025-02-15,STRIPE* SAINSBURYS,-47.78
2025-02-16,SQ *SAINSBURYS,-18.25
2025-02-16,SQ *SAINSBURYS,18.25
2025-02-22,SQ *SAINSBURYS,-48.91
2025-03-01,PAYPAL *SAINSBURYS,-49.04
2025-03-08,APPLE MUSIC PAYMENT,-11.00
2025-03-08,DISNEY PLUS PAYMENT,-13.00
2025-03-08,STRIPE* SAINSBURYS,-50.17
2025-03-14,NEW SCIENTIST PAYMENT,-84.00
2025-03-14,SQ *DROPBOX,-84.00
2025-03-15,SQ *SAINSBURYS,-51.30
2025-03-22,PAYPAL *SAINSBURYS,-52.43
2025-04-08,APPLE MUSIC PAYMENT,-11.00
2025-04-08,DISNEY PLUS PAYMENT,-13.00
2025-04-09,DUNELM PAYMENT,-74.00
2025-04-09,DUNELM PAYMENT,-74.00
2025-04-11,DUNELM PAYMENT,74.00
2025-05-08,APPLE MUSIC PAYMENT,-11.00
2025-05-08,DISNEY PLUS PAYMENT,-13.00
