Date,Description,Amount
2024-01-08,DEEZER PAYMENT,-11.00
2024-01-08,FINANCIAL TIMES PAYMENT,-6.50
2024-01-08,MASTERCLASS PAYMENT,-9.50
2024-01-08,NUFFIELD HEALTH PAYMENT,-9.50
2024-01-08,PARAMOUNT PLUS PAYMENT,-11.00
2024-01-08,STRIPE* PROTON,-7.10
2024-02-08,DEEZER PAYMENT,-11.00
2024-02-08,FINANCIAL TIMES PAYMENT,-6.50
2024-02-08,MASTERCLASS PAYMENT,-9.50
2024-02-08,NUFFIELD HEALTH PAYMENT,-9.50
2024-02-08,PARAMOUNT PLUS PAYMENT,-11.00
2024-02-08,SQ *PROTON,-7.11
2024-03-08,DEEZER PAYMENT,-11.00
2024-03-08,FINANCIAL TIMES PAYMENT,-6.50
2024-03-08,MASTERCLASS PAYMENT,-9.50
2024-03-08,NUFFIELD HEALTH PAYMENT,-9.50
2024-03-08,PARAMOUNT PLUS PAYMENT,-11.00
2024-03-08,PAYPAL *PROTON,-7.12
2024-03-14,STRIPE* IDRIVE,-84.00
2024-03-14,THE SPECTATOR PAYMENT,-84.00
2024-04-08,DEEZER PAYMENT,-11.00
2024-04-08,FINANCIAL TIMES PAYMENT,-6.50
2024-04-08,MASTERCLASS PAYMENT,-9.50
2024-04-08,NUFFIELD HEALTH PAYMENT,-9.50
2024-04-08,PARAMOUNT PLUS PAYMENT,-11.00
2024-04-08,STRIPE* PROTON,-7.13
2024-04-12,MASTERCLASS PAYMENT,9.50
2024-05-08,DEEZER PAYMENT,-11.00
2024-05-08,FINANCIAL TIMES PAYMENT,-6.50
2024-05-08,MASTERCLASS PAYMENT,-9.50
2024-05-08,NUFFIELD HEALTH PAYMENT,-9.50
2024-05-08,PARAMOUNT PLUS PAYMENT,-13.00
2024-05-08,SQ *PROTON,-7.14
2024-06-08,DEEZER PAYMENT,-11.00
2024-06-08,FINANCIAL TIMES PAYMENT,-6.50
2024-06-08,MASTERCLASS PAYMENT,-9.50
2024-06-08,NUFFIELD HEALTH PAYMENT,-9.50
2024-06-08,PARAMOUNT PLUS PAYMENT,-13.00
2024-06-08,PAYPAL *PROTON,-7.15
2024-07-08,DEEZER PAYMENT,-11.00
2024-07-08,FINANCIAL TIMES PAYMENT,-6.50
2024-07-08,PARAMOUNT PLUS PAYMENT,-13.00
2024-07-08,STRIPE* PROTON,-7.16
2024-08-08,DEEZER PAYMENT,-11.00
2024-08-08,FINANCIAL TIMES PAYMENT,-6.50
2024-08-08,PARAMOUNT PLUS PAYMENT,-13.00
2024-08-08,SQ *PROTON,-7.17
2024-09-08,FINANCIAL TIMES PAYMENT,-6.50
2024-09-08,PAYPAL *PROTON,-9.20
2024-10-08,FINANCIAL TIMES PAYMENT,-6.50
2024-10-08,STRIPE* PROTON,-9.21
2024-11-08,FINANCIAL TIMES PAYMENT,-6.50
2024-11-08,SQ *PROTON,-9.22
2024-11-12,FINANCIAL TIMES PAYMENT,6.50
2024-12-08,PAYPAL *PROTON,-9.23
2025-01-04,STRIPE* LIDLGB,-41.00
2025-01-11,SQ *LIDLGB,-42.13
2025-01-18,PAYPAL *LIDLGB,-43.26
2025-01-25,STRIPE* LIDLGB,-44.39
2025-02-01,SQ *LIDLGB,-45.52
2025-02-08,DEEZER PAYMENT,-11.00
2025-02-08,PARAMOUNT PLUS PAYMENT,-13.00
2025-02-08,PAYPAL *LIDLGB,-46.65
2025-02-15,STRIPE* LIDLGB,-47.78
2025-02-16,SQ *LIDLGB,-18.25
2025-02-16,SQ *LIDLGB,18.25
2025-02-22,SQ *LIDLGB,-48.91
2025-03-01,PAYPAL *LIDLGB,-49.04
2025-03-08,DEEZER PAYMENT,-11.00
2025-03-08,PARAMOUNT PLUS PAYMENT,-13.00
2025-03-08,STRIPE* LIDLGB,-50.17
2025-03-14,SQ *IDRIVE,-84.00
2025-03-14,THE SPECTATOR PAYMENT,-84.00
2025-03-15,SQ *LIDLGB,-51.30
2025-03-22,PAYPAL *LIDLGB,-52.43
2025-04-08,DEEZER PAYMENT,-11.00
2025-04-08,PARAMOUNT PLUS PAYMENT,-13.00
2025-04-09,WILKO PAYMENT,-74.00
2025-04-09,WILKO PAYMENT,-74.00
2025-04-11,WILKO PAYMENT,74.00
2025-05-08,DEEZER PAYMENT,-11.00
2025-05-08,PARAMOUNT PLUS PAYMENT,-13.00
