Date,Description,Amount
2024-01-01,STRIPE* OAKFIELDESTATES,-825.10
2024-01-03,STRIPE* RPATEL,-125.10
2024-01-08,EDF ENERGY,-7.00
2024-01-28,ASHDOWN ENGINEERS,2350.00
2024-02-01,SQ *OAKFIELDESTATES,-825.11
2024-02-03,SQ *RPATEL,-125.11
2024-02-08,EDF ENERGY,-7.00
2024-02-28,ASHDOWN ENGINEERS,2350.00
2024-03-01,PAYPAL *OAKFIELDESTATES,-825.12
2024-03-03,PAYPAL *RPATEL,-125.12
2024-03-08,EDF ENERGY,-7.00
2024-03-28,ASHDOWN ENGINEERS,2350.00
2024-04-01,STRIPE* OAKFIELDESTATES,-825.13
2024-04-03,STRIPE* RPATEL,-125.13
2024-04-08,EDF ENERGY,-7.00
2024-04-28,ASHDOWN ENGINEERS,2350.00
2024-05-01,SQ *OAKFIELDESTATES,-825.14
2024-05-03,SQ *RPATEL,-125.14
2024-05-03,STRIPE* RPATEL,-125.00
2024-05-08,EDF ENERGY,-7.00
2024-05-28,ASHDOWN ENGINEERS,2350.00
2024-06-01,PAYPAL *OAKFIELDESTATES,-825.15
2024-06-02,STRIPE* OAKFIELDESTATES,-825.00
2024-06-02,STRIPE* OAKFIELDESTATES,825.00
2024-06-03,PAYPAL *RPATEL,-125.15
2024-06-08,EDF ENERGY,-7.00
2024-06-28,ASHDOWN ENGINEERS,2350.00
2024-07-01,STRIPE* OAKFIELDESTATES,-825.16
2024-07-03,STRIPE* RPATEL,-125.16
2024-07-08,EDF ENERGY,-7.00
2024-07-28,ASHDOWN ENGINEERS,2350.00
2024-08-01,SQ *OAKFIELDESTATES,-825.17
2024-08-03,SQ *RPATEL,-125.17
2024-08-08,EDF ENERGY,-7.00
2024-08-20,STRIPE* SOUTHERNRAIL,-510.00
2024-08-28,ASHDOWN ENGINEERS,2350.00
2024-09-01,PAYPAL *OAKFIELDESTATES,-850.20
2024-09-03,PAYPAL *RPATEL,-140.18
2024-09-08,EDF ENERGY,-9.00
2024-09-28,ASHDOWN ENGINEERS,2425.00
2024-10-01,STRIPE* OAKFIELDESTATES,-850.21
2024-10-03,STRIPE* RPATEL,-140.19
2024-10-08,EDF ENERGY,-9.00
2024-10-28,ASHDOWN ENGINEERS,2425.00
2024-11-01,SQ *OAKFIELDESTATES,-850.22
2024-11-03,SQ *RPATEL,-140.20
2024-11-08,EDF ENERGY,-9.00
2024-11-28,ASHDOWN ENGINEERS,2425.00
2024-12-01,PAYPAL *OAKFIELDESTATES,-850.23
2024-12-03,PAYPAL *RPATEL,-140.21
2024-12-08,EDF ENERGY,-9.00
2024-12-28,ASHDOWN ENGINEERS,2425.00
2025-01-04,STRIPE* ALDI,-41.00
2025-01-11,SQ *ALDI,-42.13
2025-01-18,PAYPAL *ALDI,-43.26
2025-01-25,STRIPE* ALDI,-44.39
2025-02-01,SQ *ALDI,-45.52
2025-02-06,STRIPE* SALTMARSHSTALL,-22.40
2025-02-08,PAYPAL *ALDI,-46.65
2025-02-15,STRIPE* ALDI,-47.78
2025-02-16,SQ *ALDI,-18.25
2025-02-16,SQ *ALDI,18.25
2025-02-22,SQ *ALDI,-48.91
2025-03-01,PAYPAL *ALDI,-49.04
2025-03-08,STRIPE* ALDI,-50.17
2025-03-15,SQ *ALDI,-51.30
2025-03-22,PAYPAL *ALDI,-52.43
2025-04-09,IKEA,-74.00
2025-04-09,IKEA,-74.00
2025-04-11,IKEA,74.00
2025-05-18,SQ *SALTMARSHSTALL,-31.10
2025-05-20,PAYPAL *SALTMARSHSTALL,31.10
2025-06-02,ELMWOOD CYCLES,-63.20
2025-06-09,ELMWOOD CYCLES,63.20
2025-07-12,STANWICK LEISURE,-96.00
2025-07-12,STANWICK LEISURE,-96.00
2025-08-20,SQ *SOUTHERNRAIL,-540.00
2025-08-22,PAYPAL *SOUTHERNRAIL,540.00
2025-08-23,PAYPAL *SOUTHERNRAIL,-540.00
