Date,Description,Amount
2024-01-01,STRIPE* CALDERLETTINGS,-825.10
2024-01-03,STRIPE* SMACLEOD,-125.10
2024-01-08,EON NEXT,-7.00
2024-01-28,KIRKLAND SUPPLIES,2350.00
2024-02-01,SQ *CALDERLETTINGS,-825.11
2024-02-03,SQ *SMACLEOD,-125.11
2024-02-08,EON NEXT,-7.00
2024-02-28,KIRKLAND SUPPLIES,2350.00
2024-03-01,PAYPAL *CALDERLETTINGS,-825.12
2024-03-03,PAYPAL *SMACLEOD,-125.12
2024-03-08,EON NEXT,-7.00
2024-03-28,KIRKLAND SUPPLIES,2350.00
2024-04-01,STRIPE* CALDERLETTINGS,-825.13
2024-04-03,STRIPE* SMACLEOD,-125.13
2024-04-08,EON NEXT,-7.00
2024-04-28,KIRKLAND SUPPLIES,2350.00
2024-05-01,SQ *CALDERLETTINGS,-825.14
2024-05-03,SQ *SMACLEOD,-125.14
2024-05-03,STRIPE* SMACLEOD,-125.00
2024-05-08,EON NEXT,-7.00
2024-05-28,KIRKLAND SUPPLIES,2350.00
2024-06-01,PAYPAL *CALDERLETTINGS,-825.15
2024-06-02,STRIPE* CALDERLETTINGS,-825.00
2024-06-02,STRIPE* CALDERLETTINGS,825.00
2024-06-03,PAYPAL *SMACLEOD,-125.15
2024-06-08,EON NEXT,-7.00
2024-06-28,KIRKLAND SUPPLIES,2350.00
2024-07-01,STRIPE* CALDERLETTINGS,-825.16
2024-07-03,STRIPE* SMACLEOD,-125.16
2024-07-08,EON NEXT,-7.00
2024-07-28,KIRKLAND SUPPLIES,2350.00
2024-08-01,SQ *CALDERLETTINGS,-825.17
2024-08-03,SQ *SMACLEOD,-125.17
2024-08-08,EON NEXT,-7.00
2024-08-20,STRIPE* NORTHERNRAIL,-510.00
2024-08-28,KIRKLAND SUPPLIES,2350.00
2024-09-01,PAYPAL *CALDERLETTINGS,-850.20
2024-09-03,PAYPAL *SMACLEOD,-140.18
2024-09-08,EON NEXT,-9.00
2024-09-28,KIRKLAND SUPPLIES,2425.00
2024-10-01,STRIPE* CALDERLETTINGS,-850.21
2024-10-03,STRIPE* SMACLEOD,-140.19
2024-10-08,EON NEXT,-9.00
2024-10-28,KIRKLAND SUPPLIES,2425.00
2024-11-01,SQ *CALDERLETTINGS,-850.22
2024-11-03,SQ *SMACLEOD,-140.20
2024-11-08,EON NEXT,-9.00
2024-11-28,KIRKLAND SUPPLIES,2425.00
2024-12-01,PAYPAL *CALDERLETTINGS,-850.23
2024-12-03,PAYPAL *SMACLEOD,-140.21
2024-12-08,EON NEXT,-9.00
2024-12-28,KIRKLAND SUPPLIES,2425.00
2025-01-04,STRIPE* LIDLGB,-41.00
2025-01-11,SQ *LIDLGB,-42.13
2025-01-18,PAYPAL *LIDLGB,-43.26
2025-01-25,STRIPE* LIDLGB,-44.39
2025-02-01,SQ *LIDLGB,-45.52
2025-02-06,STRIPE* GRANARYMARKET,-22.40
2025-02-08,PAYPAL *LIDLGB,-46.65
2025-02-15,STRIPE* LIDLGB,-47.78
2025-02-16,SQ *LIDLGB,-18.25
2025-02-16,SQ *LIDLGB,18.25
2025-02-22,SQ *LIDLGB,-48.91
2025-03-01,PAYPAL *LIDLGB,-49.04
2025-03-08,STRIPE* LIDLGB,-50.17
2025-03-15,SQ *LIDLGB,-51.30
2025-03-22,PAYPAL *LIDLGB,-52.43
2025-04-09,WILKO,-74.00
2025-04-09,WILKO,-74.00
2025-04-11,WILKO,74.00
2025-05-18,SQ *GRANARYMARKET,-31.10
2025-05-20,PAYPAL *GRANARYMARKET,31.10
2025-06-02,TANNERY BOOKS,-63.20
2025-06-09,TANNERY BOOKS,63.20
2025-07-12,BELLFORD PARKS,-96.00
2025-07-12,BELLFORD PARKS,-96.00
2025-08-20,SQ *NORTHERNRAIL,-540.00
2025-08-22,PAYPAL *NORTHERNRAIL,540.00
2025-08-23,PAYPAL *NORTHERNRAIL,-540.00
