Date,Description,Amount
2024-01-01,STRIPE* STONEBRIDGEPROP,-825.10
2024-01-03,STRIPE* ANOWAK,-125.10
2024-01-08,OVO ENERGY,-7.00
2024-01-28,BRAMFORD TEXTILES,2350.00
2024-02-01,SQ *STONEBRIDGEPROP,-825.11
2024-02-03,SQ *ANOWAK,-125.11
2024-02-08,OVO ENERGY,-7.00
2024-02-28,BRAMFORD TEXTILES,2350.00
2024-03-01,PAYPAL *STONEBRIDGEPROP,-825.12
2024-03-03,PAYPAL *ANOWAK,-125.12
2024-03-08,OVO ENERGY,-7.00
2024-03-28,BRAMFORD TEXTILES,2350.00
2024-04-01,STRIPE* STONEBRIDGEPROP,-825.13
2024-04-03,STRIPE* ANOWAK,-125.13
2024-04-08,OVO ENERGY,-7.00
2024-04-28,BRAMFORD TEXTILES,2350.00
2024-05-01,SQ *STONEBRIDGEPROP,-825.14
2024-05-03,SQ *ANOWAK,-125.14
2024-05-03,STRIPE* ANOWAK,-125.00
2024-05-08,OVO ENERGY,-7.00
2024-05-28,BRAMFORD TEXTILES,2350.00
2024-06-01,PAYPAL *STONEBRIDGEPROP,-825.15
2024-06-02,STRIPE* STONEBRIDGEPROP,-825.00
2024-06-02,STRIPE* STONEBRIDGEPROP,825.00
2024-06-03,PAYPAL *ANOWAK,-125.15
2024-06-08,OVO ENERGY,-7.00
2024-06-28,BRAMFORD TEXTILES,2350.00
2024-07-01,STRIPE* STONEBRIDGEPROP,-825.16
2024-07-03,STRIPE* ANOWAK,-125.16
2024-07-08,OVO ENERGY,-7.00
2024-07-28,BRAMFORD TEXTILES,2350.00
2024-08-01,SQ *STONEBRIDGEPROP,-825.17
2024-08-03,SQ *ANOWAK,-125.17
2024-08-08,OVO ENERGY,-7.00
2024-08-20,STRIPE* GWR,-510.00
2024-08-28,BRAMFORD TEXTILES,2350.00
2024-09-01,PAYPAL *STONEBRIDGEPROP,-850.20
2024-09-03,PAYPAL *ANOWAK,-140.18
2024-09-08,OVO ENERGY,-9.00
2024-09-28,BRAMFORD TEXTILES,2425.00
2024-10-01,STRIPE* STONEBRIDGEPROP,-850.21
2024-10-03,STRIPE* ANOWAK,-140.19
2024-10-08,OVO ENERGY,-9.00
2024-10-28,BRAMFORD TEXTILES,2425.00
2024-11-01,SQ *STONEBRIDGEPROP,-850.22
2024-11-03,SQ *ANOWAK,-140.20
2024-11-08,OVO ENERGY,-9.00
2024-11-28,BRAMFORD TEXTILES,2425.00
2024-12-01,PAYPAL *STONEBRIDGEPROP,-850.23
2024-12-03,PAYPAL *ANOWAK,-140.21
2024-12-08,OVO ENERGY,-9.00
2024-12-28,BRAMFORD TEXTILES,2425.00
2025-01-04,STRIPE* MORRISONS,-41.00
2025-01-11,SQ *MORRISONS,-42.13
2025-01-18,PAYPAL *MORRISONS,-43.26
2025-01-25,STRIPE* MORRISONS,-44.39
2025-02-01,SQ *MORRISONS,-45.52
2025-02-06,STRIPE* CROSSKEYSSTALL,-22.40
2025-02-08,PAYPAL *MORRISONS,-46.65
2025-02-15,STRIPE* MORRISONS,-47.78
2025-02-16,SQ *MORRISONS,-18.25
2025-02-16,SQ *MORRISONS,18.25
2025-02-22,SQ *MORRISONS,-48.91
2025-03-01,PAYPAL *MORRISONS,-49.04
2025-03-08,STRIPE* MORRISONS,-50.17
2025-03-15,SQ *MORRISONS,-51.30
2025-03-22,PAYPAL *MORRISONS,-52.43
2025-04-09,THE RANGE,-74.00
2025-04-09,THE RANGE,-74.00
2025-04-11,THE RANGE,74.00
2025-05-18,SQ *CROSSKEYSSTALL,-31.10
2025-05-20,PAYPAL *CROSSKEYSSTALL,31.10
2025-06-02,HARBOUR OUTDOORS,-63.20
2025-06-09,HARBOUR OUTDOORS,63.20
2025-07-12,KESTREL VALLEY,-96.00
2025-07-12,KESTREL VALLEY,-96.00
2025-08-20,SQ *GWR,-540.00
2025-08-22,PAYPAL *GWR,540.00
2025-08-23,PAYPAL *GWR,-540.00
