Date,Description,Amount
2024-01-01,STRIPE* WESTMARSHLETTING,-825.10
2024-01-03,STRIPE* TFARRELL,-125.10
2024-01-08,SCOTTISH POWER,-7.00
2024-01-28,HOLLOWAY PRINTERS,2350.00
2024-02-01,SQ *WESTMARSHLETTING,-825.11
2024-02-03,SQ *TFARRELL,-125.11
2024-02-08,SCOTTISH POWER,-7.00
2024-02-28,HOLLOWAY PRINTERS,2350.00
2024-03-01,PAYPAL *WESTMARSHLETTING,-825.12
2024-03-03,PAYPAL *TFARRELL,-125.12
2024-03-08,SCOTTISH POWER,-7.00
2024-03-28,HOLLOWAY PRINTERS,2350.00
2024-04-01,STRIPE* WESTMARSHLETTING,-825.13
2024-04-03,STRIPE* TFARRELL,-125.13
2024-04-08,SCOTTISH POWER,-7.00
2024-04-28,HOLLOWAY PRINTERS,2350.00
2024-05-01,SQ *WESTMARSHLETTING,-825.14
2024-05-03,SQ *TFARRELL,-125.14
2024-05-03,STRIPE* TFARRELL,-125.00
2024-05-08,SCOTTISH POWER,-7.00
2024-05-28,HOLLOWAY PRINTERS,2350.00
2024-06-01,PAYPAL *WESTMARSHLETTING,-825.15
2024-06-02,STRIPE* WESTMARSHLETTING,-825.00
2024-06-02,STRIPE* WESTMARSHLETTING,825.00
2024-06-03,PAYPAL *TFARRELL,-125.15
2024-06-08,SCOTTISH POWER,-7.00
2024-06-28,HOLLOWAY PRINTERS,2350.00
2024-07-01,STRIPE* WESTMARSHLETTING,-825.16
2024-07-03,STRIPE* TFARRELL,-125.16
2024-07-08,SCOTTISH POWER,-7.00
2024-07-28,HOLLOWAY PRINTERS,2350.00
2024-08-01,SQ *WESTMARSHLETTING,-825.17
2024-08-03,SQ *TFARRELL,-125.17
2024-08-08,SCOTTISH POWER,-7.00
2024-08-20,STRIPE* TFLTRAVEL,-510.00
2024-08-28,HOLLOWAY PRINTERS,2350.00
2024-09-01,PAYPAL *WESTMARSHLETTING,-850.20
2024-09-03,PAYPAL *TFARRELL,-140.18
2024-09-08,SCOTTISH POWER,-9.00
2024-09-28,HOLLOWAY PRINTERS,2425.00
2024-10-01,STRIPE* WESTMARSHLETTING,-850.21
2024-10-03,STRIPE* TFARRELL,-140.19
2024-10-08,SCOTTISH POWER,-9.00
2024-10-28,HOLLOWAY PRINTERS,2425.00
2024-11-01,SQ *WESTMARSHLETTING,-850.22
2024-11-03,SQ *TFARRELL,-140.20
2024-11-08,SCOTTISH POWER,-9.00
2024-11-28,HOLLOWAY PRINTERS,2425.00
2024-12-01,PAYPAL *WESTMARSHLETTING,-850.23
2024-12-03,PAYPAL *TFARRELL,-140.21
2024-12-08,SCOTTISH POWER,-9.00
2024-12-28,HOLLOWAY PRINTERS,2425.00
2025-01-04,STRIPE* WAITROSE,-41.00
2025-01-11,SQ *WAITROSE,-42.13
2025-01-18,PAYPAL *WAITROSE,-43.26
2025-01-25,STRIPE* WAITROSE,-44.39
2025-02-01,SQ *WAITROSE,-45.52
2025-02-06,STRIPE* BRINDLEMARKET,-22.40
2025-02-08,PAYPAL *WAITROSE,-46.65
2025-02-15,STRIPE* WAITROSE,-47.78
2025-02-16,SQ *WAITROSE,-18.25
2025-02-16,SQ *WAITROSE,18.25
2025-02-22,SQ *WAITROSE,-48.91
2025-03-01,PAYPAL *WAITROSE,-49.04
2025-03-08,STRIPE* WAITROSE,-50.17
2025-03-15,SQ *WAITROSE,-51.30
2025-03-22,PAYPAL *WAITROSE,-52.43
2025-04-09,HOMEBASE,-74.00
2025-04-09,HOMEBASE,-74.00
2025-04-11,HOMEBASE,74.00
2025-05-18,SQ *BRINDLEMARKET,-31.10
2025-05-20,PAYPAL *BRINDLEMARKET,31.10
2025-06-02,MILLGATE TOOLS,-63.20
2025-06-09,MILLGATE TOOLS,63.20
2025-07-12,MARLOW GARDENS,-96.00
2025-07-12,MARLOW GARDENS,-96.00
2025-08-20,SQ *TFLTRAVEL,-540.00
2025-08-22,PAYPAL *TFLTRAVEL,540.00
2025-08-23,PAYPAL *TFLTRAVEL,-540.00
