Date,Description,Amount
2024-01-01,STRIPE* MERIDIANPROPERTY,-825.10
2024-01-08,APPLE MUSIC,-11.00
2024-01-08,BABBEL,-9.50
2024-01-08,DISNEY PLUS,-11.00
2024-01-08,STRIPE* MICROSOFT365,-7.10
2024-01-08,THE GYM GROUP,-9.50
2024-01-08,THE TIMES,-6.50
2024-01-28,PENROSE HEALTHCARE,2350.00
2024-02-01,SQ *MERIDIANPROPERTY,-825.11
2024-02-08,APPLE MUSIC,-11.00
2024-02-08,BABBEL,-9.50
2024-02-08,DISNEY PLUS,-11.00
2024-02-08,SQ *MICROSOFT365,-7.11
2024-02-08,THE GYM GROUP,-9.50
2024-02-08,THE TIMES,-6.50
2024-02-28,PENROSE HEALTHCARE,2350.00
2024-03-01,PAYPAL *MERIDIANPROPERTY,-825.12
2024-03-08,APPLE MUSIC,-11.00
2024-03-08,BABBEL,-9.50
2024-03-08,DISNEY PLUS,-11.00
2024-03-08,PAYPAL *MICROSOFT365,-7.12
2024-03-08,THE GYM GROUP,-9.50
2024-03-08,THE TIMES,-6.50
2024-03-14,NEW SCIENTIST,-84.00
2024-03-14,STRIPE* DROPBOX,-84.00
2024-03-28,PENROSE HEALTHCARE,2350.00
2024-04-01,STRIPE* MERIDIANPROPERTY,-825.13
2024-04-08,APPLE MUSIC,-11.00
2024-04-08,BABBEL,-9.50
2024-04-08,DISNEY PLUS,-11.00
2024-04-08,STRIPE* MICROSOFT365,-7.13
2024-04-08,THE GYM GROUP,-9.50
2024-04-08,THE TIMES,-6.50
2024-04-12,BABBEL,9.50
2024-04-28,PENROSE HEALTHCARE,2350.00
2024-05-01,SQ *MERIDIANPROPERTY,-825.14
2024-05-08,APPLE MUSIC,-11.00
2024-05-08,BABBEL,-9.50
2024-05-08,DISNEY PLUS,-13.00
2024-05-08,SQ *MICROSOFT365,-7.14
2024-05-08,THE GYM GROUP,-9.50
2024-05-08,THE TIMES,-6.50
2024-05-28,PENROSE HEALTHCARE,2350.00
2024-06-01,PAYPAL *MERIDIANPROPERTY,-825.15
2024-06-02,STRIPE* MERIDIANPROPERTY,-825.00
2024-06-02,STRIPE* MERIDIANPROPERTY,825.00
2024-06-08,APPLE MUSIC,-11.00
2024-06-08,BABBEL,-9.50
2024-06-08,DISNEY PLUS,-13.00
2024-06-08,PAYPAL *MICROSOFT365,-7.15
2024-06-08,THE GYM GROUP,-9.50
2024-06-08,THE TIMES,-6.50
2024-06-28,PENROSE HEALTHCARE,2350.00
2024-07-01,STRIPE* MERIDIANPROPERTY,-825.16
2024-07-08,APPLE MUSIC,-11.00
2024-07-08,DISNEY PLUS,-13.00
2024-07-08,STRIPE* MICROSOFT365,-7.16
2024-07-08,THE TIMES,-6.50
2024-07-28,PENROSE HEALTHCARE,2350.00
2024-08-01,SQ *MERIDIANPROPERTY,-825.17
2024-08-08,APPLE MUSIC,-11.00
2024-08-08,DISNEY PLUS,-13.00
2024-08-08,SQ *MICROSOFT365,-7.17
2024-08-08,THE TIMES,-6.50
2024-08-28,PENROSE HEALTHCARE,2350.00
2024-09-01,PAYPAL *MERIDIANPROPERTY,-850.20
2024-09-08,PAYPAL *MICROSOFT365,-9.20
2024-09-08,THE TIMES,-6.50
2024-09-28,PENROSE HEALTHCARE,2425.00
2024-10-01,STRIPE* MERIDIANPROPERTY,-850.21
2024-10-08,STRIPE* MICROSOFT365,-9.21
2024-10-08,THE TIMES,-6.50
2024-10-28,PENROSE HEALTHCARE,2425.00
2024-11-01,SQ *MERIDIANPROPERTY,-850.22
2024-11-08,SQ *MICROSOFT365,-9.22
2024-11-08,THE TIMES,-6.50
2024-11-12,THE TIMES,6.50
2024-11-28,PENROSE HEALTHCARE,2425.00
2024-12-01,PAYPAL *MERIDIANPROPERTY,-850.23
2024-12-08,PAYPAL *MICROSOFT365,-9.23
2024-12-28,PENROSE HEALTHCARE,2425.00
2025-02-08,APPLE MUSIC,-11.00
2025-02-08,DISNEY PLUS,-13.00
2025-03-08,APPLE MUSIC,-11.00
2025-03-08,DISNEY PLUS,-13.00
2025-03-14,NEW SCIENTIST,-84.00
2025-03-14,SQ *DROPBOX,-84.00
2025-04-08,APPLE MUSIC,-11.00
2025-04-08,DISNEY PLUS,-13.00
2025-05-08,APPLE MUSIC,-11.00
2025-05-08,DISNEY PLUS,-13.00
