Date,Description,Amount
2024-01-03,STRIPE* MOKONKWO,-125.10
2024-01-08,APPLE MUSIC,-11.00
2024-01-08,BABBEL,-9.50
2024-01-08,DISNEY PLUS,-11.00
2024-01-08,STRIPE* MICROSOFT365,-7.10
2024-01-08,THE GYM GROUP,-9.50
2024-01-08,THE TIMES,-6.50
2024-02-03,SQ *MOKONKWO,-125.11
2024-02-08,APPLE MUSIC,-11.00
2024-02-08,BABBEL,-9.50
2024-02-08,DISNEY PLUS,-11.00
2024-02-08,SQ *MICROSOFT365,-7.11
2024-02-08,THE GYM GROUP,-9.50
2024-02-08,THE TIMES,-6.50
2024-03-03,PAYPAL *MOKONKWO,-125.12
2024-03-08,APPLE MUSIC,-11.00
2024-03-08,BABBEL,-9.50
2024-03-08,DISNEY PLUS,-11.00
2024-03-08,PAYPAL *MICROSOFT365,-7.12
2024-03-08,THE GYM GROUP,-9.50
2024-03-08,THE TIMES,-6.50
2024-03-14,NEW SCIENTIST,-84.00
2024-03-14,STRIPE* DROPBOX,-84.00
2024-04-03,STRIPE* MOKONKWO,-125.13
2024-04-08,APPLE MUSIC,-11.00
2024-04-08,BABBEL,-9.50
2024-04-08,DISNEY PLUS,-11.00
2024-04-08,STRIPE* MICROSOFT365,-7.13
2024-04-08,THE GYM GROUP,-9.50
2024-04-08,THE TIMES,-6.50
2024-04-12,BABBEL,9.50
2024-05-03,SQ *MOKONKWO,-125.14
2024-05-03,STRIPE* MOKONKWO,-125.00
2024-05-08,APPLE MUSIC,-11.00
2024-05-08,BABBEL,-9.50
2024-05-08,DISNEY PLUS,-13.00
2024-05-08,SQ *MICROSOFT365,-7.14
2024-05-08,THE GYM GROUP,-9.50
2024-05-08,THE TIMES,-6.50
2024-06-03,PAYPAL *MOKONKWO,-125.15
2024-06-08,APPLE MUSIC,-11.00
2024-06-08,BABBEL,-9.50
2024-06-08,DISNEY PLUS,-13.00
2024-06-08,PAYPAL *MICROSOFT365,-7.15
2024-06-08,THE GYM GROUP,-9.50
2024-06-08,THE TIMES,-6.50
2024-07-03,STRIPE* MOKONKWO,-125.16
2024-07-08,APPLE MUSIC,-11.00
2024-07-08,DISNEY PLUS,-13.00
2024-07-08,STRIPE* MICROSOFT365,-7.16
2024-07-08,THE TIMES,-6.50
2024-08-03,SQ *MOKONKWO,-125.17
2024-08-08,APPLE MUSIC,-11.00
2024-08-08,DISNEY PLUS,-13.00
2024-08-08,SQ *MICROSOFT365,-7.17
2024-08-08,THE TIMES,-6.50
2024-08-20,STRIPE* LNER,-510.00
2024-09-03,PAYPAL *MOKONKWO,-140.18
2024-09-08,PAYPAL *MICROSOFT365,-9.20
2024-09-08,THE TIMES,-6.50
2024-10-03,STRIPE* MOKONKWO,-140.19
2024-10-08,STRIPE* MICROSOFT365,-9.21
2024-10-08,THE TIMES,-6.50
2024-11-03,SQ *MOKONKWO,-140.20
2024-11-08,SQ *MICROSOFT365,-9.22
2024-11-08,THE TIMES,-6.50
2024-11-12,THE TIMES,6.50
2024-12-03,PAYPAL *MOKONKWO,-140.21
2024-12-08,PAYPAL *MICROSOFT365,-9.23
2025-02-08,APPLE MUSIC,-11.00
2025-02-08,DISNEY PLUS,-13.00
2025-03-08,APPLE MUSIC,-11.00
2025-03-08,DISNEY PLUS,-13.00
2025-03-14,NEW SCIENTIST,-84.00
2025-03-14,SQ *DROPBOX,-84.00
2025-04-08,APPLE MUSIC,-11.00
2025-04-08,DISNEY PLUS,-13.00
2025-05-08,APPLE MUSIC,-11.00
2025-05-08,DISNEY PLUS,-13.00
2025-08-20,SQ *LNER,-540.00
2025-08-22,PAYPAL *LNER,540.00
2025-08-23,PAYPAL *LNER,-540.00
