Date,Description,Amount
2024-01-08,DUOLINGO,-9.50
2024-01-08,NETFLIX.COM,-11.00
2024-01-08,PUREGYM LTD,-9.50
2024-01-08,SPOTIFY LTD,-11.00
2024-01-08,STRIPE* GOOGLEONE,-7.10
2024-01-08,THE GUARDIAN,-6.50
2024-02-08,DUOLINGO,-9.50
2024-02-08,NETFLIX.COM,-11.00
2024-02-08,PUREGYM LTD,-9.50
2024-02-08,SPOTIFY LTD,-11.00
2024-02-08,SQ *GOOGLEONE,-7.11
2024-02-08,THE GUARDIAN,-6.50
2024-03-08,DUOLINGO,-9.50
2024-03-08,NETFLIX.COM,-11.00
2024-03-08,PAYPAL *GOOGLEONE,-7.12
2024-03-08,PUREGYM LTD,-9.50
2024-03-08,SPOTIFY LTD,-11.00
2024-03-08,THE GUARDIAN,-6.50
2024-03-14,STRIPE* BACKBLAZE,-84.00
2024-03-14,THE ECONOMIST,-84.00
2024-04-08,DUOLINGO,-9.50
2024-04-08,NETFLIX.COM,-11.00
2024-04-08,PUREGYM LTD,-9.50
2024-04-08,SPOTIFY LTD,-11.00
2024-04-08,STRIPE* GOOGLEONE,-7.13
2024-04-08,THE GUARDIAN,-6.50
2024-04-12,DUOLINGO,9.50
2024-05-08,DUOLINGO,-9.50
2024-05-08,NETFLIX.COM,-13.00
2024-05-08,PUREGYM LTD,-9.50
2024-05-08,SPOTIFY LTD,-11.00
2024-05-08,SQ *GOOGLEONE,-7.14
2024-05-08,THE GUARDIAN,-6.50
2024-06-08,DUOLINGO,-9.50
2024-06-08,NETFLIX.COM,-13.00
2024-06-08,PAYPAL *GOOGLEONE,-7.15
2024-06-08,PUREGYM LTD,-9.50
2024-06-08,SPOTIFY LTD,-11.00
2024-06-08,THE GUARDIAN,-6.50
2024-07-08,NETFLIX.COM,-13.00
2024-07-08,SPOTIFY LTD,-11.00
2024-07-08,STRIPE* GOOGLEONE,-7.16
2024-07-08,THE GUARDIAN,-6.50
2024-08-08,NETFLIX.COM,-13.00
2024-08-08,SPOTIFY LTD,-11.00
2024-08-08,SQ *GOOGLEONE,-7.17
2024-08-08,THE GUARDIAN,-6.50
2024-09-08,PAYPAL *GOOGLEONE,-9.20
2024-09-08,THE GUARDIAN,-6.50
2024-10-08,STRIPE* GOOGLEONE,-9.21
2024-10-08,THE GUARDIAN,-6.50
2024-11-08,SQ *GOOGLEONE,-9.22
2024-11-08,THE GUARDIAN,-6.50
2024-11-12,THE GUARDIAN,6.50
2024-12-08,PAYPAL *GOOGLEONE,-9.23
2025-02-06,STRIPE* FENWICKMARKET,-22.40
2025-02-08,NETFLIX.COM,-13.00
2025-02-08,SPOTIFY LTD,-11.00
2025-03-08,NETFLIX.COM,-13.00
2025-03-08,SPOTIFY LTD,-11.00
2025-03-14,SQ *BACKBLAZE,-84.00
2025-03-14,THE ECONOMIST,-84.00
2025-04-08,NETFLIX.COM,-13.00
2025-04-08,SPOTIFY LTD,-11.00
2025-05-08,NETFLIX.COM,-13.00
2025-05-08,SPOTIFY LTD,-11.00
2025-05-18,SQ *FENWICKMARKET,-31.10
2025-05-20,PAYPAL *FENWICKMARKET,31.10
2025-07-12,HOLLINGWOOD PASS,-96.00
2025-07-12,HOLLINGWOOD PASS,-96.00
