Date,Description,Amount
2024-01-08,DAVID LLOYD,-9.50
2024-01-08,NOW TV,-11.00
2024-01-08,SKILLSHARE,-9.50
2024-01-08,STRIPE* ADOBE,-7.10
2024-01-08,THE TELEGRAPH,-6.50
2024-01-08,TIDAL,-11.00
2024-02-08,DAVID LLOYD,-9.50
2024-02-08,NOW TV,-11.00
2024-02-08,SKILLSHARE,-9.50
2024-02-08,SQ *ADOBE,-7.11
2024-02-08,THE TELEGRAPH,-6.50
2024-02-08,TIDAL,-11.00
2024-03-08,DAVID LLOYD,-9.50
2024-03-08,NOW TV,-11.00
2024-03-08,PAYPAL *ADOBE,-7.12
2024-03-08,SKILLSHARE,-9.50
2024-03-08,THE TELEGRAPH,-6.50
2024-03-08,TIDAL,-11.00
2024-03-14,PRIVATE EYE,-84.00
2024-03-14,STRIPE* PCLOUD,-84.00
2024-04-08,DAVID LLOYD,-9.50
2024-04-08,NOW TV,-11.00
2024-04-08,SKILLSHARE,-9.50
2024-04-08,STRIPE* ADOBE,-7.13
2024-04-08,THE TELEGRAPH,-6.50
2024-04-08,TIDAL,-11.00
2024-04-12,SKILLSHARE,9.50
2024-05-08,DAVID LLOYD,-9.50
2024-05-08,NOW TV,-13.00
2024-05-08,SKILLSHARE,-9.50
2024-05-08,SQ *ADOBE,-7.14
2024-05-08,THE TELEGRAPH,-6.50
2024-05-08,TIDAL,-11.00
2024-06-08,DAVID LLOYD,-9.50
2024-06-08,NOW TV,-13.00
2024-06-08,PAYPAL *ADOBE,-7.15
2024-06-08,SKILLSHARE,-9.50
2024-06-08,THE TELEGRAPH,-6.50
2024-06-08,TIDAL,-11.00
2024-07-08,NOW TV,-13.00
2024-07-08,STRIPE* ADOBE,-7.16
2024-07-08,THE TELEGRAPH,-6.50
2024-07-08,TIDAL,-11.00
2024-08-08,NOW TV,-13.00
2024-08-08,SQ *ADOBE,-7.17
2024-08-08,THE TELEGRAPH,-6.50
2024-08-08,TIDAL,-11.00
2024-09-08,PAYPAL *ADOBE,-9.20
2024-09-08,THE TELEGRAPH,-6.50
2024-10-08,STRIPE* ADOBE,-9.21
2024-10-08,THE TELEGRAPH,-6.50
2024-11-08,SQ *ADOBE,-9.22
2024-11-08,THE TELEGRAPH,-6.50
2024-11-12,THE TELEGRAPH,6.50
2024-12-08,PAYPAL *ADOBE,-9.23
2025-02-06,STRIPE* SALTMARSHSTALL,-22.40
2025-02-08,NOW TV,-13.00
2025-02-08,TIDAL,-11.00
2025-03-08,NOW TV,-13.00
2025-03-08,TIDAL,-11.00
2025-03-14,PRIVATE EYE,-84.00
2025-03-14,SQ *PCLOUD,-84.00
2025-04-08,NOW TV,-13.00
2025-04-08,TIDAL,-11.00
2025-05-08,NOW TV,-13.00
2025-05-08,TIDAL,-11.00
2025-05-18,SQ *SALTMARSHSTALL,-31.10
2025-05-20,PAYPAL *SALTMARSHSTALL,31.10
2025-07-12,STANWICK LEISURE,-96.00
2025-07-12,STANWICK LEISURE,-96.00
