Date,Description,Amount
2024-01-08,CARD 4821 DZR GB,-11.00
2024-01-08,CARD 4821 FNNCL TMS GB,-6.50
2024-01-08,CARD 4821 MSTRCLSS GB,-9.50
2024-01-08,CARD 4821 N NXT GB,-7.00
2024-01-08,CARD 4821 NFFLD HLTH GB,-9.50
2024-01-08,CARD 4821 PRMNT PLS GB,-11.00
2024-01-08,STRIPE* PROTON CARD 4821,-7.10
2024-02-08,CARD 4821 DZR GB,-11.00
2024-02-08,CARD 4821 FNNCL TMS GB,-6.50
2024-02-08,CARD 4821 MSTRCLSS GB,-9.50
2024-02-08,CARD 4821 N NXT GB,-7.00
2024-02-08,CARD 4821 NFFLD HLTH GB,-9.50
2024-02-08,CARD 4821 PRMNT PLS GB,-11.00
2024-02-08,SQ *PROTON CARD 4821,-7.11
2024-03-08,CARD 4821 DZR GB,-11.00
2024-03-08,CARD 4821 FNNCL TMS GB,-6.50
2024-03-08,CARD 4821 MSTRCLSS GB,-9.50
2024-03-08,CARD 4821 N NXT GB,-7.00
2024-03-08,CARD 4821 NFFLD HLTH GB,-9.50
2024-03-08,CARD 4821 PRMNT PLS GB,-11.00
2024-03-08,PAYPAL *PROTON CARD 4821,-7.12
2024-03-14,CARD 4821 TH SPCTTR GB,-84.00
2024-03-14,STRIPE* IDRIVE CARD 4821,-84.00
2024-04-08,CARD 4821 DZR GB,-11.00
2024-04-08,CARD 4821 FNNCL TMS GB,-6.50
2024-04-08,CARD 4821 MSTRCLSS GB,-9.50
2024-04-08,CARD 4821 N NXT GB,-7.00
2024-04-08,CARD 4821 NFFLD HLTH GB,-9.50
2024-04-08,CARD 4821 PRMNT PLS GB,-11.00
2024-04-08,STRIPE* PROTON CARD 4821,-7.13
2024-04-12,CARD 4821 MSTRCLSS GB,9.50
2024-05-08,CARD 4821 DZR GB,-11.00
2024-05-08,CARD 4821 FNNCL TMS GB,-6.50
2024-05-08,CARD 4821 MSTRCLSS GB,-9.50
2024-05-08,CARD 4821 N NXT GB,-7.00
2024-05-08,CARD 4821 NFFLD HLTH GB,-9.50
2024-05-08,CARD 4821 PRMNT PLS GB,-13.00
2024-05-08,SQ *PROTON CARD 4821,-7.14
2024-06-08,CARD 4821 DZR GB,-11.00
2024-06-08,CARD 4821 FNNCL TMS GB,-6.50
2024-06-08,CARD 4821 MSTRCLSS GB,-9.50
2024-06-08,CARD 4821 N NXT GB,-7.00
2024-06-08,CARD 4821 NFFLD HLTH GB,-9.50
2024-06-08,CARD 4821 PRMNT PLS GB,-13.00
2024-06-08,PAYPAL *PROTON CARD 4821,-7.15
2024-07-08,CARD 4821 DZR GB,-11.00
2024-07-08,CARD 4821 FNNCL TMS GB,-6.50
2024-07-08,CARD 4821 N NXT GB,-7.00
2024-07-08,CARD 4821 PRMNT PLS GB,-13.00
2024-07-08,STRIPE* PROTON CARD 4821,-7.16
2024-08-08,CARD 4821 DZR GB,-11.00
2024-08-08,CARD 4821 FNNCL TMS GB,-6.50
2024-08-08,CARD 4821 N NXT GB,-7.00
2024-08-08,CARD 4821 PRMNT PLS GB,-13.00
2024-08-08,SQ *PROTON CARD 4821,-7.17
2024-09-08,CARD 4821 FNNCL TMS GB,-6.50
2024-09-08,CARD 4821 N NXT GB,-9.00
2024-09-08,PAYPAL *PROTON CARD 4821,-9.20
2024-10-08,CARD 4821 FNNCL TMS GB,-6.50
2024-10-08,CARD 4821 N NXT GB,-9.00
2024-10-08,STRIPE* PROTON CARD 4821,-9.21
2024-11-08,CARD 4821 FNNCL TMS GB,-6.50
2024-11-08,CARD 4821 N NXT GB,-9.00
2024-11-08,SQ *PROTON CARD 4821,-9.22
2024-11-12,CARD 4821 FNNCL TMS GB,6.50
2024-12-08,CARD 4821 N NXT GB,-9.00
2024-12-08,PAYPAL *PROTON CARD 4821,-9.23
2025-02-08,CARD 4821 DZR GB,-11.00
2025-02-08,CARD 4821 PRMNT PLS GB,-13.00
2025-03-08,CARD 4821 DZR GB,-11.00
2025-03-08,CARD 4821 PRMNT PLS GB,-13.00
2025-03-14,CARD 4821 TH SPCTTR GB,-84.00
2025-03-14,SQ *IDRIVE CARD 4821,-84.00
2025-04-08,CARD 4821 DZR GB,-11.00
2025-04-08,CARD 4821 PRMNT PLS GB,-13.00
2025-05-08,CARD 4821 DZR GB,-11.00
2025-05-08,CARD 4821 PRMNT PLS GB,-13.00
2025-06-02,CARD 4821 TNNRY BKS GB,-63.20
2025-06-09,CARD 4821 TNNRY BKS GB,63.20
