Date,Description,Amount
2024-01-01,STRIPE* MERIDIANPROPERTY CARD 4821,-825.10
2024-01-08,CARD 4821 BBBL GB,-9.50
2024-01-08,CARD 4821 DSNY PLS GB,-11.00
2024-01-08,CARD 4821 PPL MSC GB,-11.00
2024-01-08,CARD 4821 TH GYM GRP GB,-9.50
2024-01-08,CARD 4821 TH TMS GB,-6.50
2024-01-08,STRIPE* MICROSOFT365 CARD 4821,-7.10
2024-01-28,CARD 4821 PNRS HLTHCR GB,2350.00
2024-02-01,SQ *MERIDIANPROPERTY CARD 4821,-825.11
2024-02-08,CARD 4821 BBBL GB,-9.50
2024-02-08,CARD 4821 DSNY PLS GB,-11.00
2024-02-08,CARD 4821 PPL MSC GB,-11.00
2024-02-08,CARD 4821 TH GYM GRP GB,-9.50
2024-02-08,CARD 4821 TH TMS GB,-6.50
2024-02-08,SQ *MICROSOFT365 CARD 4821,-7.11
2024-02-28,CARD 4821 PNRS HLTHCR GB,2350.00
2024-03-01,PAYPAL *MERIDIANPROPERTY CARD 4821,-825.12
2024-03-08,CARD 4821 BBBL GB,-9.50
2024-03-08,CARD 4821 DSNY PLS GB,-11.00
2024-03-08,CARD 4821 PPL MSC GB,-11.00
2024-03-08,CARD 4821 TH GYM GRP GB,-9.50
2024-03-08,CARD 4821 TH TMS GB,-6.50
2024-03-08,PAYPAL *MICROSOFT365 CARD 4821,-7.12
2024-03-14,CARD 4821 NW SCNTST GB,-84.00
2024-03-14,STRIPE* DROPBOX CARD 4821,-84.00
2024-03-28,CARD 4821 PNRS HLTHCR GB,2350.00
2024-04-01,STRIPE* MERIDIANPROPERTY CARD 4821,-825.13
2024-04-08,CARD 4821 BBBL GB,-9.50
2024-04-08,CARD 4821 DSNY PLS GB,-11.00
2024-04-08,CARD 4821 PPL MSC GB,-11.00
2024-04-08,CARD 4821 TH GYM GRP GB,-9.50
2024-04-08,CARD 4821 TH TMS GB,-6.50
2024-04-08,STRIPE* MICROSOFT365 CARD 4821,-7.13
2024-04-12,CARD 4821 BBBL GB,9.50
2024-04-28,CARD 4821 PNRS HLTHCR GB,2350.00
2024-05-01,SQ *MERIDIANPROPERTY CARD 4821,-825.14
2024-05-08,CARD 4821 BBBL GB,-9.50
2024-05-08,CARD 4821 DSNY PLS GB,-13.00
2024-05-08,CARD 4821 PPL MSC GB,-11.00
2024-05-08,CARD 4821 TH GYM GRP GB,-9.50
2024-05-08,CARD 4821 TH TMS GB,-6.50
2024-05-08,SQ *MICROSOFT365 CARD 4821,-7.14
2024-05-28,CARD 4821 PNRS HLTHCR GB,2350.00
2024-06-01,PAYPAL *MERIDIANPROPERTY CARD 4821,-825.15
2024-06-02,STRIPE* MERIDIANPROPERTY CARD 4821,-825.00
2024-06-02,STRIPE* MERIDIANPROPERTY CARD 4821,825.00
2024-06-08,CARD 4821 BBBL GB,-9.50
2024-06-08,CARD 4821 DSNY PLS GB,-13.00
2024-06-08,CARD 4821 PPL MSC GB,-11.00
2024-06-08,CARD 4821 TH GYM GRP GB,-9.50
2024-06-08,CARD 4821 TH TMS GB,-6.50
2024-06-08,PAYPAL *MICROSOFT365 CARD 4821,-7.15
2024-06-28,CARD 4821 PNRS HLTHCR GB,2350.00
2024-07-01,STRIPE* MERIDIANPROPERTY CARD 4821,-825.16
2024-07-08,CARD 4821 DSNY PLS GB,-13.00
2024-07-08,CARD 4821 PPL MSC GB,-11.00
2024-07-08,CARD 4821 TH TMS GB,-6.50
2024-07-08,STRIPE* MICROSOFT365 CARD 4821,-7.16
2024-07-28,CARD 4821 PNRS HLTHCR GB,2350.00
2024-08-01,SQ *MERIDIANPROPERTY CARD 4821,-825.17
2024-08-08,CARD 4821 DSNY PLS GB,-13.00
2024-08-08,CARD 4821 PPL MSC GB,-11.00
2024-08-08,CARD 4821 TH TMS GB,-6.50
2024-08-08,SQ *MICROSOFT365 CARD 4821,-7.17
2024-08-28,CARD 4821 PNRS HLTHCR GB,2350.00
2024-09-01,PAYPAL *MERIDIANPROPERTY CARD 4821,-850.20
2024-09-08,CARD 4821 TH TMS GB,-6.50
2024-09-08,PAYPAL *MICROSOFT365 CARD 4821,-9.20
2024-09-28,CARD 4821 PNRS HLTHCR GB,2425.00
2024-10-01,STRIPE* MERIDIANPROPERTY CARD 4821,-850.21
2024-10-08,CARD 4821 TH TMS GB,-6.50
2024-10-08,STRIPE* MICROSOFT365 CARD 4821,-9.21
2024-10-28,CARD 4821 PNRS HLTHCR GB,2425.00
2024-11-01,SQ *MERIDIANPROPERTY CARD 4821,-850.22
2024-11-08,CARD 4821 TH TMS GB,-6.50
2024-11-08,SQ *MICROSOFT365 CARD 4821,-9.22
2024-11-12,CARD 4821 TH TMS GB,6.50
2024-11-28,CARD 4821 PNRS HLTHCR GB,2425.00
2024-12-01,PAYPAL *MERIDIANPROPERTY CARD 4821,-850.23
2024-12-08,PAYPAL *MICROSOFT365 CARD 4821,-9.23
2024-12-28,CARD 4821 PNRS HLTHCR GB,2425.00
2025-02-08,CARD 4821 DSNY PLS GB,-13.00
2025-02-08,CARD 4821 PPL MSC GB,-11.00
2025-03-08,CARD 4821 DSNY PLS GB,-13.00
2025-03-08,CARD 4821 PPL MSC GB,-11.00
2025-03-14,CARD 4821 NW SCNTST GB,-84.00
2025-03-14,SQ *DROPBOX CARD 4821,-84.00
2025-04-08,CARD 4821 DSNY PLS GB,-13.00
2025-04-08,CARD 4821 PPL MSC GB,-11.00
2025-05-08,CARD 4821 DSNY PLS GB,-13.00
2025-05-08,CARD 4821 PPL MSC GB,-11.00
