Date,Description,Amount
2024-01-08,CARD 4821 DLNG GB,-9.50
2024-01-08,CARD 4821 NTFLX.CM GB,-11.00
2024-01-08,CARD 4821 PRGYM LTD GB,-9.50
2024-01-08,CARD 4821 SPTFY LTD GB,-11.00
2024-01-08,CARD 4821 TH GRDN GB,-6.50
2024-01-08,STRIPE* GOOGLEONE CARD 4821,-7.10
2024-02-08,CARD 4821 DLNG GB,-9.50
2024-02-08,CARD 4821 NTFLX.CM GB,-11.00
2024-02-08,CARD 4821 PRGYM LTD GB,-9.50
2024-02-08,CARD 4821 SPTFY LTD GB,-11.00
2024-02-08,CARD 4821 TH GRDN GB,-6.50
2024-02-08,SQ *GOOGLEONE CARD 4821,-7.11
2024-03-08,CARD 4821 DLNG GB,-9.50
2024-03-08,CARD 4821 NTFLX.CM GB,-11.00
2024-03-08,CARD 4821 PRGYM LTD GB,-9.50
2024-03-08,CARD 4821 SPTFY LTD GB,-11.00
2024-03-08,CARD 4821 TH GRDN GB,-6.50
2024-03-08,PAYPAL *GOOGLEONE CARD 4821,-7.12
2024-03-14,CARD 4821 TH CNMST GB,-84.00
2024-03-14,STRIPE* BACKBLAZE CARD 4821,-84.00
2024-04-08,CARD 4821 DLNG GB,-9.50
2024-04-08,CARD 4821 NTFLX.CM GB,-11.00
2024-04-08,CARD 4821 PRGYM LTD GB,-9.50
2024-04-08,CARD 4821 SPTFY LTD GB,-11.00
2024-04-08,CARD 4821 TH GRDN GB,-6.50
2024-04-08,STRIPE* GOOGLEONE CARD 4821,-7.13
2024-04-12,CARD 4821 DLNG GB,9.50
2024-05-08,CARD 4821 DLNG GB,-9.50
2024-05-08,CARD 4821 NTFLX.CM GB,-13.00
2024-05-08,CARD 4821 PRGYM LTD GB,-9.50
2024-05-08,CARD 4821 SPTFY LTD GB,-11.00
2024-05-08,CARD 4821 TH GRDN GB,-6.50
2024-05-08,SQ *GOOGLEONE CARD 4821,-7.14
2024-06-08,CARD 4821 DLNG GB,-9.50
2024-06-08,CARD 4821 NTFLX.CM GB,-13.00
2024-06-08,CARD 4821 PRGYM LTD GB,-9.50
2024-06-08,CARD 4821 SPTFY LTD GB,-11.00
2024-06-08,CARD 4821 TH GRDN GB,-6.50
2024-06-08,PAYPAL *GOOGLEONE CARD 4821,-7.15
2024-07-08,CARD 4821 NTFLX.CM GB,-13.00
2024-07-08,CARD 4821 SPTFY LTD GB,-11.00
2024-07-08,CARD 4821 TH GRDN GB,-6.50
2024-07-08,STRIPE* GOOGLEONE CARD 4821,-7.16
2024-08-08,CARD 4821 NTFLX.CM GB,-13.00
2024-08-08,CARD 4821 SPTFY LTD GB,-11.00
2024-08-08,CARD 4821 TH GRDN GB,-6.50
2024-08-08,SQ *GOOGLEONE CARD 4821,-7.17
2024-09-08,CARD 4821 TH GRDN GB,-6.50
2024-09-08,PAYPAL *GOOGLEONE CARD 4821,-9.20
2024-10-08,CARD 4821 TH GRDN GB,-6.50
2024-10-08,STRIPE* GOOGLEONE CARD 4821,-9.21
2024-11-08,CARD 4821 TH GRDN GB,-6.50
2024-11-08,SQ *GOOGLEONE CARD 4821,-9.22
2024-11-12,CARD 4821 TH GRDN GB,6.50
2024-12-08,PAYPAL *GOOGLEONE CARD 4821,-9.23
2025-01-04,STRIPE* TESCOSTORES CARD 4821,-41.00
2025-01-11,SQ *TESCOSTORES CARD 4821,-42.13
2025-01-18,PAYPAL *TESCOSTORES CARD 4821,-43.26
2025-01-25,STRIPE* TESCOSTORES CARD 4821,-44.39
2025-02-01,SQ *TESCOSTORES CARD 4821,-45.52
2025-02-08,CARD 4821 NTFLX.CM GB,-13.00
2025-02-08,CARD 4821 SPTFY LTD GB,-11.00
2025-02-08,PAYPAL *TESCOSTORES CARD 4821,-46.65
2025-02-15,STRIPE* TESCOSTORES CARD 4821,-47.78
2025-02-16,SQ *TESCOSTORES CARD 4821,-18.25
2025-02-16,SQ *TESCOSTORES CARD 4821,18.25
2025-02-22,SQ *TESCOSTORES CARD 4821,-48.91
2025-03-01,PAYPAL *TESCOSTORES CARD 4821,-49.04
2025-03-08,CARD 4821 NTFLX.CM GB,-13.00
2025-03-08,CARD 4821 SPTFY LTD GB,-11.00
2025-03-08,STRIPE* TESCOSTORES CARD 4821,-50.17
2025-03-14,CARD 4821 TH CNMST GB,-84.00
2025-03-14,SQ *BACKBLAZE CARD 4821,-84.00
2025-03-15,SQ *TESCOSTORES CARD 4821,-51.30
2025-03-22,PAYPAL *TESCOSTORES CARD 4821,-52.43
2025-04-08,CARD 4821 NTFLX.CM GB,-13.00
2025-04-08,CARD 4821 SPTFY LTD GB,-11.00
2025-04-09,CARD 4821 RGS GB,-74.00
2025-04-09,CARD 4821 RGS GB,-74.00
2025-04-11,CARD 4821 RGS GB,74.00
2025-05-08,CARD 4821 NTFLX.CM GB,-13.00
2025-05-08,CARD 4821 SPTFY LTD GB,-11.00
