Date,Description,Amount
2024-01-01,STRIPE* ABBEYGATEPROP,-825.10
2024-01-03,STRIPE* KADEYEMI,-125.10
2024-01-08,OUTFOX THE MKT PAYMENT,-7.00
2024-01-28,DUNMORE CATERING PAYMENT,2350.00
2024-02-01,SQ *ABBEYGATEPROP,-825.11
2024-02-03,SQ *KADEYEMI,-125.11
2024-02-08,OUTFOX THE MKT PAYMENT,-7.00
2024-02-28,DUNMORE CATERING PAYMENT,2350.00
2024-03-01,PAYPAL *ABBEYGATEPROP,-825.12
2024-03-03,PAYPAL *KADEYEMI,-125.12
2024-03-08,OUTFOX THE MKT PAYMENT,-7.00
2024-03-28,DUNMORE CATERING PAYMENT,2350.00
2024-04-01,STRIPE* ABBEYGATEPROP,-825.13
2024-04-03,STRIPE* KADEYEMI,-125.13
2024-04-08,OUTFOX THE MKT PAYMENT,-7.00
2024-04-28,DUNMORE CATERING PAYMENT,2350.00
2024-05-01,SQ *ABBEYGATEPROP,-825.14
2024-05-03,SQ *KADEYEMI,-125.14
2024-05-03,STRIPE* KADEYEMI,-125.00
2024-05-08,OUTFOX THE MKT PAYMENT,-7.00
2024-05-28,DUNMORE CATERING PAYMENT,2350.00
2024-06-01,PAYPAL *ABBEYGATEPROP,-825.15
2024-06-02,STRIPE* ABBEYGATEPROP,-825.00
2024-06-02,STRIPE* ABBEYGATEPROP,825.00
2024-06-03,PAYPAL *KADEYEMI,-125.15
2024-06-08,OUTFOX THE MKT PAYMENT,-7.00
2024-06-28,DUNMORE CATERING PAYMENT,2350.00
2024-07-01,STRIPE* ABBEYGATEPROP,-825.16
2024-07-03,STRIPE* KADEYEMI,-125.16
2024-07-08,OUTFOX THE MKT PAYMENT,-7.00
2024-07-28,DUNMORE CATERING PAYMENT,2350.00
2024-08-01,SQ *ABBEYGATEPROP,-825.17
2024-08-03,SQ *KADEYEMI,-125.17
2024-08-08,OUTFOX THE MKT PAYMENT,-7.00
2024-08-20,STRIPE* SCOTRAIL,-510.00
2024-08-28,DUNMORE CATERING PAYMENT,2350.00
2024-09-01,PAYPAL *ABBEYGATEPROP,-850.20
2024-09-03,PAYPAL *KADEYEMI,-140.18
2024-09-08,OUTFOX THE MKT PAYMENT,-9.00
2024-09-28,DUNMORE CATERING PAYMENT,2425.00
2024-10-01,STRIPE* ABBEYGATEPROP,-850.21
2024-10-03,STRIPE* KADEYEMI,-140.19
2024-10-08,OUTFOX THE MKT PAYMENT,-9.00
2024-10-28,DUNMORE CATERING PAYMENT,2425.00
2024-11-01,SQ *ABBEYGATEPROP,-850.22
2024-11-03,SQ *KADEYEMI,-140.20
2024-11-08,OUTFOX THE MKT PAYMENT,-9.00
2024-11-28,DUNMORE CATERING PAYMENT,2425.00
2024-12-01,PAYPAL *ABBEYGATEPROP,-850.23
2024-12-03,PAYPAL *KADEYEMI,-140.21
2024-12-08,OUTFOX THE MKT PAYMENT,-9.00
2024-12-28,DUNMORE CATERING PAYMENT,2425.00
2025-01-04,STRIPE* ICELANDFOODS,-41.00
2025-01-11,SQ *ICELANDFOODS,-42.13
2025-01-18,PAYPAL *ICELANDFOODS,-43.26
2025-01-25,STRIPE* ICELANDFOODS,-44.39
2025-02-01,SQ *ICELANDFOODS,-45.52
2025-02-06,STRIPE* WEAVERSMARKET,-22.40
2025-02-08,PAYPAL *ICELANDFOODS,-46.65
2025-02-15,STRIPE* ICELANDFOODS,-47.78
2025-02-16,SQ *ICELANDFOODS,-18.25
2025-02-16,SQ *ICELANDFOODS,18.25
2025-02-22,SQ *ICELANDFOODS,-48.91
2025-03-01,PAYPAL *ICELANDFOODS,-49.04
2025-03-08,STRIPE* ICELANDFOODS,-50.17
2025-03-15,SQ *ICELANDFOODS,-51.30
2025-03-22,PAYPAL *ICELANDFOODS,-52.43
2025-04-09,SCREWFIX PAYMENT,-74.00
2025-04-09,SCREWFIX PAYMENT,-74.00
2025-04-11,SCREWFIX PAYMENT,74.00
2025-05-18,SQ *WEAVERSMARKET,-31.10
2025-05-20,PAYPAL *WEAVERSMARKET,31.10
2025-06-02,ASHWORTH AUDIO PAYMENT,-63.20
2025-06-09,ASHWORTH AUDIO PAYMENT,63.20
2025-07-12,PENHALE PARKS PAYMENT,-96.00
2025-07-12,PENHALE PARKS PAYMENT,-96.00
2025-08-20,SQ *SCOTRAIL,-540.00
2025-08-22,PAYPAL *SCOTRAIL,540.00
2025-08-23,PAYPAL *SCOTRAIL,-540.00
