Date,Description,Amount
2024-01-01,STRIPE* LINDLEYLETTINGS,-825.10
2024-01-03,STRIPE* PWHITTAKER,-125.10
2024-01-08,GOOD ENERGY PAYMENT,-7.00
2024-01-28,FAIRHOLM CERAMICS PAYMENT,2350.00
2024-02-01,SQ *LINDLEYLETTINGS,-825.11
2024-02-03,SQ *PWHITTAKER,-125.11
2024-02-08,GOOD ENERGY PAYMENT,-7.00
2024-02-28,FAIRHOLM CERAMICS PAYMENT,2350.00
2024-03-01,PAYPAL *LINDLEYLETTINGS,-825.12
2024-03-03,PAYPAL *PWHITTAKER,-125.12
2024-03-08,GOOD ENERGY PAYMENT,-7.00
2024-03-28,FAIRHOLM CERAMICS PAYMENT,2350.00
2024-04-01,STRIPE* LINDLEYLETTINGS,-825.13
2024-04-03,STRIPE* PWHITTAKER,-125.13
2024-04-08,GOOD ENERGY PAYMENT,-7.00
2024-04-28,FAIRHOLM CERAMICS PAYMENT,2350.00
2024-05-01,SQ *LINDLEYLETTINGS,-825.14
2024-05-03,SQ *PWHITTAKER,-125.14
2024-05-03,STRIPE* PWHITTAKER,-125.00
2024-05-08,GOOD ENERGY PAYMENT,-7.00
2024-05-28,FAIRHOLM CERAMICS PAYMENT,2350.00
2024-06-01,PAYPAL *LINDLEYLETTINGS,-825.15
2024-06-02,STRIPE* LINDLEYLETTINGS,-825.00
2024-06-02,STRIPE* LINDLEYLETTINGS,825.00
2024-06-03,PAYPAL *PWHITTAKER,-125.15
2024-06-08,GOOD ENERGY PAYMENT,-7.00
2024-06-28,FAIRHOLM CERAMICS PAYMENT,2350.00
2024-07-01,STRIPE* LINDLEYLETTINGS,-825.16
2024-07-03,STRIPE* PWHITTAKER,-125.16
2024-07-08,GOOD ENERGY PAYMENT,-7.00
2024-07-28,FAIRHOLM CERAMICS PAYMENT,2350.00
2024-08-01,SQ *LINDLEYLETTINGS,-825.17
2024-08-03,SQ *PWHITTAKER,-125.17
2024-08-08,GOOD ENERGY PAYMENT,-7.00
2024-08-20,STRIPE* THAMESLINK,-510.00
2024-08-28,FAIRHOLM CERAMICS PAYMENT,2350.00
2024-09-01,PAYPAL *LINDLEYLETTINGS,-850.20
2024-09-03,PAYPAL *PWHITTAKER,-140.18
2024-09-08,GOOD ENERGY PAYMENT,-9.00
2024-09-28,FAIRHOLM CERAMICS PAYMENT,2425.00
2024-10-01,STRIPE* LINDLEYLETTINGS,-850.21
2024-10-03,STRIPE* PWHITTAKER,-140.19
2024-10-08,GOOD ENERGY PAYMENT,-9.00
2024-10-28,FAIRHOLM CERAMICS PAYMENT,2425.00
2024-11-01,SQ *LINDLEYLETTINGS,-850.22
2024-11-03,SQ *PWHITTAKER,-140.20
2024-11-08,GOOD ENERGY PAYMENT,-9.00
2024-11-28,FAIRHOLM CERAMICS PAYMENT,2425.00
2024-12-01,PAYPAL *LINDLEYLETTINGS,-850.23
2024-12-03,PAYPAL *PWHITTAKER,-140.21
2024-12-08,GOOD ENERGY PAYMENT,-9.00
2024-12-28,FAIRHOLM CERAMICS PAYMENT,2425.00
2025-01-04,STRIPE* MSFOOD,-41.00
2025-01-11,SQ *MSFOOD,-42.13
2025-01-18,PAYPAL *MSFOOD,-43.26
2025-01-25,STRIPE* MSFOOD,-44.39
2025-02-01,SQ *MSFOOD,-45.52
2025-02-06,STRIPE* KILNBROOKSTALL,-22.40
2025-02-08,PAYPAL *MSFOOD,-46.65
2025-02-15,STRIPE* MSFOOD,-47.78
2025-02-16,SQ *MSFOOD,-18.25
2025-02-16,SQ *MSFOOD,18.25
2025-02-22,SQ *MSFOOD,-48.91
2025-03-01,PAYPAL *MSFOOD,-49.04
2025-03-08,STRIPE* MSFOOD,-50.17
2025-03-15,SQ *MSFOOD,-51.30
2025-03-22,PAYPAL *MSFOOD,-52.43
2025-04-09,TK MAXX PAYMENT,-74.00
2025-04-09,TK MAXX PAYMENT,-74.00
2025-04-11,TK MAXX PAYMENT,74.00
2025-05-18,SQ *KILNBROOKSTALL,-31.10
2025-05-20,PAYPAL *KILNBROOKSTALL,31.10
2025-06-02,HOLLOWDENE PETS PAYMENT,-63.20
2025-06-09,HOLLOWDENE PETS PAYMENT,63.20
2025-07-12,THORNMERE VALLEY PAYMENT,-96.00
2025-07-12,THORNMERE VALLEY PAYMENT,-96.00
2025-08-20,SQ *THAMESLINK,-540.00
2025-08-22,PAYPAL *THAMESLINK,540.00
2025-08-23,PAYPAL *THAMESLINK,-540.00
