Date,Description,Amount
2024-01-08,ANYTIME FITNESS PAYMENT,-9.50
2024-01-08,AUDIBLE UK PAYMENT,-11.00
2024-01-08,CRUNCHYROLL PAYMENT,-11.00
2024-01-08,PIMSLEUR PAYMENT,-9.50
2024-01-08,STRIPE* TODOIST,-7.10
2024-01-08,TORTOISE MEDIA PAYMENT,-6.50
2024-02-08,ANYTIME FITNESS PAYMENT,-9.50
2024-02-08,AUDIBLE UK PAYMENT,-11.00
2024-02-08,CRUNCHYROLL PAYMENT,-11.00
2024-02-08,PIMSLEUR PAYMENT,-9.50
2024-02-08,SQ *TODOIST,-7.11
2024-02-08,TORTOISE MEDIA PAYMENT,-6.50
2024-03-08,ANYTIME FITNESS PAYMENT,-9.50
2024-03-08,AUDIBLE UK PAYMENT,-11.00
2024-03-08,CRUNCHYROLL PAYMENT,-11.00
2024-03-08,PAYPAL *TODOIST,-7.12
2024-03-08,PIMSLEUR PAYMENT,-9.50
2024-03-08,TORTOISE MEDIA PAYMENT,-6.50
2024-03-14,BBC GOOD FOOD PAYMENT,-84.00
2024-03-14,STRIPE* JOTTACLOUD,-84.00
2024-04-08,ANYTIME FITNESS PAYMENT,-9.50
2024-04-08,AUDIBLE UK PAYMENT,-11.00
2024-04-08,CRUNCHYROLL PAYMENT,-11.00
2024-04-08,PIMSLEUR PAYMENT,-9.50
2024-04-08,STRIPE* TODOIST,-7.13
2024-04-08,TORTOISE MEDIA PAYMENT,-6.50
2024-04-12,PIMSLEUR PAYMENT,9.50
2024-05-08,ANYTIME FITNESS PAYMENT,-9.50
2024-05-08,AUDIBLE UK PAYMENT,-11.00
2024-05-08,CRUNCHYROLL PAYMENT,-13.00
2024-05-08,PIMSLEUR PAYMENT,-9.50
2024-05-08,SQ *TODOIST,-7.14
2024-05-08,TORTOISE MEDIA PAYMENT,-6.50
2024-06-08,ANYTIME FITNESS PAYMENT,-9.50
2024-06-08,AUDIBLE UK PAYMENT,-11.00
2024-06-08,CRUNCHYROLL PAYMENT,-13.00
2024-06-08,PAYPAL *TODOIST,-7.15
2024-06-08,PIMSLEUR PAYMENT,-9.50
2024-06-08,TORTOISE MEDIA PAYMENT,-6.50
2024-07-08,AUDIBLE UK PAYMENT,-11.00
2024-07-08,CRUNCHYROLL PAYMENT,-13.00
2024-07-08,STRIPE* TODOIST,-7.16
2024-07-08,TORTOISE MEDIA PAYMENT,-6.50
2024-08-08,AUDIBLE UK PAYMENT,-11.00
2024-08-08,CRUNCHYROLL PAYMENT,-13.00
2024-08-08,SQ *TODOIST,-7.17
2024-08-08,TORTOISE MEDIA PAYMENT,-6.50
2024-09-08,PAYPAL *TODOIST,-9.20
2024-09-08,TORTOISE MEDIA PAYMENT,-6.50
2024-10-08,STRIPE* TODOIST,-9.21
2024-10-08,TORTOISE MEDIA PAYMENT,-6.50
2024-11-08,SQ *TODOIST,-9.22
2024-11-08,TORTOISE MEDIA PAYMENT,-6.50
2024-11-12,TORTOISE MEDIA PAYMENT,6.50
2024-12-08,PAYPAL *TODOIST,-9.23
2025-02-06,STRIPE* KILNBROOKSTALL,-22.40
2025-02-08,AUDIBLE UK PAYMENT,-11.00
2025-02-08,CRUNCHYROLL PAYMENT,-13.00
2025-03-08,AUDIBLE UK PAYMENT,-11.00
2025-03-08,CRUNCHYROLL PAYMENT,-13.00
2025-03-14,BBC GOOD FOOD PAYMENT,-84.00
2025-03-14,SQ *JOTTACLOUD,-84.00
2025-04-08,AUDIBLE UK PAYMENT,-11.00
2025-04-08,CRUNCHYROLL PAYMENT,-13.00
2025-05-08,AUDIBLE UK PAYMENT,-11.00
2025-05-08,CRUNCHYROLL PAYMENT,-13.00
2025-05-18,SQ *KILNBROOKSTALL,-31.10
2025-05-20,PAYPAL *KILNBROOKSTALL,31.10
2025-07-12,THORNMERE VALLEY PAYMENT,-96.00
2025-07-12,THORNMERE VALLEY PAYMENT,-96.00
