Date,Description,Amount
2024-01-01,STRIPE* ABBEYGATEPROP,-825.10
2024-01-08,BANDCAMP PAYMENT,-11.00
2024-01-08,SKY DIGITAL PAYMENT,-11.00
2024-01-08,STRIPE* EVERNOTE,-7.10
2024-01-08,UDEMY PAYMENT,-9.50
2024-01-08,VIRGIN ACTIVE PAYMENT,-9.50
2024-01-08,WASHINGTONPOST PAYMENT,-6.50
2024-01-28,DUNMORE CATERING PAYMENT,2350.00
2024-02-01,SQ *ABBEYGATEPROP,-825.11
2024-02-08,BANDCAMP PAYMENT,-11.00
2024-02-08,SKY DIGITAL PAYMENT,-11.00
2024-02-08,SQ *EVERNOTE,-7.11
2024-02-08,UDEMY PAYMENT,-9.50
2024-02-08,VIRGIN ACTIVE PAYMENT,-9.50
2024-02-08,WASHINGTONPOST PAYMENT,-6.50
2024-02-28,DUNMORE CATERING PAYMENT,2350.00
2024-03-01,PAYPAL *ABBEYGATEPROP,-825.12
2024-03-08,BANDCAMP PAYMENT,-11.00
2024-03-08,PAYPAL *EVERNOTE,-7.12
2024-03-08,SKY DIGITAL PAYMENT,-11.00
2024-03-08,UDEMY PAYMENT,-9.50
2024-03-08,VIRGIN ACTIVE PAYMENT,-9.50
2024-03-08,WASHINGTONPOST PAYMENT,-6.50
2024-03-14,PROSPECT MAG PAYMENT,-84.00
2024-03-14,STRIPE* BOXCOM,-84.00
2024-03-28,DUNMORE CATERING PAYMENT,2350.00
2024-04-01,STRIPE* ABBEYGATEPROP,-825.13
2024-04-08,BANDCAMP PAYMENT,-11.00
2024-04-08,SKY DIGITAL PAYMENT,-11.00
2024-04-08,STRIPE* EVERNOTE,-7.13
2024-04-08,UDEMY PAYMENT,-9.50
2024-04-08,VIRGIN ACTIVE PAYMENT,-9.50
2024-04-08,WASHINGTONPOST PAYMENT,-6.50
2024-04-12,UDEMY PAYMENT,9.50
2024-04-28,DUNMORE CATERING PAYMENT,2350.00
2024-05-01,SQ *ABBEYGATEPROP,-825.14
2024-05-08,BANDCAMP PAYMENT,-11.00
2024-05-08,SKY DIGITAL PAYMENT,-13.00
2024-05-08,SQ *EVERNOTE,-7.14
2024-05-08,UDEMY PAYMENT,-9.50
2024-05-08,VIRGIN ACTIVE PAYMENT,-9.50
2024-05-08,WASHINGTONPOST PAYMENT,-6.50
2024-05-28,DUNMORE CATERING PAYMENT,2350.00
2024-06-01,PAYPAL *ABBEYGATEPROP,-825.15
2024-06-02,STRIPE* ABBEYGATEPROP,-825.00
2024-06-02,STRIPE* ABBEYGATEPROP,825.00
2024-06-08,BANDCAMP PAYMENT,-11.00
2024-06-08,PAYPAL *EVERNOTE,-7.15
2024-06-08,SKY DIGITAL PAYMENT,-13.00
2024-06-08,UDEMY PAYMENT,-9.50
2024-06-08,VIRGIN ACTIVE PAYMENT,-9.50
2024-06-08,WASHINGTONPOST PAYMENT,-6.50
2024-06-28,DUNMORE CATERING PAYMENT,2350.00
2024-07-01,STRIPE* ABBEYGATEPROP,-825.16
2024-07-08,BANDCAMP PAYMENT,-11.00
2024-07-08,SKY DIGITAL PAYMENT,-13.00
2024-07-08,STRIPE* EVERNOTE,-7.16
2024-07-08,WASHINGTONPOST PAYMENT,-6.50
2024-07-28,DUNMORE CATERING PAYMENT,2350.00
2024-08-01,SQ *ABBEYGATEPROP,-825.17
2024-08-08,BANDCAMP PAYMENT,-11.00
2024-08-08,SKY DIGITAL PAYMENT,-13.00
2024-08-08,SQ *EVERNOTE,-7.17
2024-08-08,WASHINGTONPOST PAYMENT,-6.50
2024-08-28,DUNMORE CATERING PAYMENT,2350.00
2024-09-01,PAYPAL *ABBEYGATEPROP,-850.20
2024-09-08,PAYPAL *EVERNOTE,-9.20
2024-09-08,WASHINGTONPOST PAYMENT,-6.50
2024-09-28,DUNMORE CATERING PAYMENT,2425.00
2024-10-01,STRIPE* ABBEYGATEPROP,-850.21
2024-10-08,STRIPE* EVERNOTE,-9.21
2024-10-08,WASHINGTONPOST PAYMENT,-6.50
2024-10-28,DUNMORE CATERING PAYMENT,2425.00
2024-11-01,SQ *ABBEYGATEPROP,-850.22
2024-11-08,SQ *EVERNOTE,-9.22
2024-11-08,WASHINGTONPOST PAYMENT,-6.50
2024-11-12,WASHINGTONPOST PAYMENT,6.50
2024-11-28,DUNMORE CATERING PAYMENT,2425.00
2024-12-01,PAYPAL *ABBEYGATEPROP,-850.23
2024-12-08,PAYPAL *EVERNOTE,-9.23
2024-12-28,DUNMORE CATERING PAYMENT,2425.00
2025-02-08,BANDCAMP PAYMENT,-11.00
2025-02-08,SKY DIGITAL PAYMENT,-13.00
2025-03-08,BANDCAMP PAYMENT,-11.00
2025-03-08,SKY DIGITAL PAYMENT,-13.00
2025-03-14,PROSPECT MAG PAYMENT,-84.00
2025-03-14,SQ *BOXCOM,-84.00
2025-04-08,BANDCAMP PAYMENT,-11.00
2025-04-08,SKY DIGITAL PAYMENT,-13.00
2025-05-08,BANDCAMP PAYMENT,-11.00
2025-05-08,SKY DIGITAL PAYMENT,-13.00
