Date,Description,Amount
2024-01-01,STRIPE* LINDLEYLETTINGS,-825.10
2024-01-08,ANYTIME FITNESS PAYMENT,-9.50
2024-01-08,AUDIBLE UK PAYMENT,-11.00
2024-01-08,CRUNCHYROLL PAYMENT,-11.00
2024-01-08,PIMSLEUR PAYMENT,-9.50
2024-01-08,STRIPE* TODOIST,-7.10
2024-01-08,TORTOISE MEDIA PAYMENT,-6.50
2024-01-28,FAIRHOLM CERAMICS PAYMENT,2350.00
2024-02-01,SQ *LINDLEYLETTINGS,-825.11
2024-02-08,ANYTIME FITNESS PAYMENT,-9.50
2024-02-08,AUDIBLE UK PAYMENT,-11.00
2024-02-08,CRUNCHYROLL PAYMENT,-11.00
2024-02-08,PIMSLEUR PAYMENT,-9.50
2024-02-08,SQ *TODOIST,-7.11
2024-02-08,TORTOISE MEDIA PAYMENT,-6.50
2024-02-28,FAIRHOLM CERAMICS PAYMENT,2350.00
2024-03-01,PAYPAL *LINDLEYLETTINGS,-825.12
2024-03-08,ANYTIME FITNESS PAYMENT,-9.50
2024-03-08,AUDIBLE UK PAYMENT,-11.00
2024-03-08,CRUNCHYROLL PAYMENT,-11.00
2024-03-08,PAYPAL *TODOIST,-7.12
2024-03-08,PIMSLEUR PAYMENT,-9.50
2024-03-08,TORTOISE MEDIA PAYMENT,-6.50
2024-03-14,BBC GOOD FOOD PAYMENT,-84.00
2024-03-14,STRIPE* JOTTACLOUD,-84.00
2024-03-28,FAIRHOLM CERAMICS PAYMENT,2350.00
2024-04-01,STRIPE* LINDLEYLETTINGS,-825.13
2024-04-08,ANYTIME FITNESS PAYMENT,-9.50
2024-04-08,AUDIBLE UK PAYMENT,-11.00
2024-04-08,CRUNCHYROLL PAYMENT,-11.00
2024-04-08,PIMSLEUR PAYMENT,-9.50
2024-04-08,STRIPE* TODOIST,-7.13
2024-04-08,TORTOISE MEDIA PAYMENT,-6.50
2024-04-12,PIMSLEUR PAYMENT,9.50
2024-04-28,FAIRHOLM CERAMICS PAYMENT,2350.00
2024-05-01,SQ *LINDLEYLETTINGS,-825.14
2024-05-08,ANYTIME FITNESS PAYMENT,-9.50
2024-05-08,AUDIBLE UK PAYMENT,-11.00
2024-05-08,CRUNCHYROLL PAYMENT,-13.00
2024-05-08,PIMSLEUR PAYMENT,-9.50
2024-05-08,SQ *TODOIST,-7.14
2024-05-08,TORTOISE MEDIA PAYMENT,-6.50
2024-05-28,FAIRHOLM CERAMICS PAYMENT,2350.00
2024-06-01,PAYPAL *LINDLEYLETTINGS,-825.15
2024-06-02,STRIPE* LINDLEYLETTINGS,-825.00
2024-06-02,STRIPE* LINDLEYLETTINGS,825.00
2024-06-08,ANYTIME FITNESS PAYMENT,-9.50
2024-06-08,AUDIBLE UK PAYMENT,-11.00
2024-06-08,CRUNCHYROLL PAYMENT,-13.00
2024-06-08,PAYPAL *TODOIST,-7.15
2024-06-08,PIMSLEUR PAYMENT,-9.50
2024-06-08,TORTOISE MEDIA PAYMENT,-6.50
2024-06-28,FAIRHOLM CERAMICS PAYMENT,2350.00
2024-07-01,STRIPE* LINDLEYLETTINGS,-825.16
2024-07-08,AUDIBLE UK PAYMENT,-11.00
2024-07-08,CRUNCHYROLL PAYMENT,-13.00
2024-07-08,STRIPE* TODOIST,-7.16
2024-07-08,TORTOISE MEDIA PAYMENT,-6.50
2024-07-28,FAIRHOLM CERAMICS PAYMENT,2350.00
2024-08-01,SQ *LINDLEYLETTINGS,-825.17
2024-08-08,AUDIBLE UK PAYMENT,-11.00
2024-08-08,CRUNCHYROLL PAYMENT,-13.00
2024-08-08,SQ *TODOIST,-7.17
2024-08-08,TORTOISE MEDIA PAYMENT,-6.50
2024-08-28,FAIRHOLM CERAMICS PAYMENT,2350.00
2024-09-01,PAYPAL *LINDLEYLETTINGS,-850.20
2024-09-08,PAYPAL *TODOIST,-9.20
2024-09-08,TORTOISE MEDIA PAYMENT,-6.50
2024-09-28,FAIRHOLM CERAMICS PAYMENT,2425.00
2024-10-01,STRIPE* LINDLEYLETTINGS,-850.21
2024-10-08,STRIPE* TODOIST,-9.21
2024-10-08,TORTOISE MEDIA PAYMENT,-6.50
2024-10-28,FAIRHOLM CERAMICS PAYMENT,2425.00
2024-11-01,SQ *LINDLEYLETTINGS,-850.22
2024-11-08,SQ *TODOIST,-9.22
2024-11-08,TORTOISE MEDIA PAYMENT,-6.50
2024-11-12,TORTOISE MEDIA PAYMENT,6.50
2024-11-28,FAIRHOLM CERAMICS PAYMENT,2425.00
2024-12-01,PAYPAL *LINDLEYLETTINGS,-850.23
2024-12-08,PAYPAL *TODOIST,-9.23
2024-12-28,FAIRHOLM CERAMICS PAYMENT,2425.00
2025-02-08,AUDIBLE UK PAYMENT,-11.00
2025-02-08,CRUNCHYROLL PAYMENT,-13.00
2025-03-08,AUDIBLE UK PAYMENT,-11.00
2025-03-08,CRUNCHYROLL PAYMENT,-13.00
2025-03-14,BBC GOOD FOOD PAYMENT,-84.00
2025-03-14,SQ *JOTTACLOUD,-84.00
2025-04-08,AUDIBLE UK PAYMENT,-11.00
2025-04-08,CRUNCHYROLL PAYMENT,-13.00
2025-05-08,AUDIBLE UK PAYMENT,-11.00
2025-05-08,CRUNCHYROLL PAYMENT,-13.00
