Date,Description,Amount
2024-01-03,STRIPE* LBJORNSSON,-125.10
2024-01-08,BRITBOX PAYMENT,-11.00
2024-01-08,COURSERA PAYMENT,-9.50
2024-01-08,LES MILLS PLUS PAYMENT,-9.50
2024-01-08,NYTIMES PAYMENT,-6.50
2024-01-08,SOUNDCLOUD GO PAYMENT,-11.00
2024-01-08,STRIPE* BITWARDEN,-7.10
2024-02-03,SQ *LBJORNSSON,-125.11
2024-02-08,BRITBOX PAYMENT,-11.00
2024-02-08,COURSERA PAYMENT,-9.50
2024-02-08,LES MILLS PLUS PAYMENT,-9.50
2024-02-08,NYTIMES PAYMENT,-6.50
2024-02-08,SOUNDCLOUD GO PAYMENT,-11.00
2024-02-08,SQ *BITWARDEN,-7.11
2024-03-03,PAYPAL *LBJORNSSON,-125.12
2024-03-08,BRITBOX PAYMENT,-11.00
2024-03-08,COURSERA PAYMENT,-9.50
2024-03-08,LES MILLS PLUS PAYMENT,-9.50
2024-03-08,NYTIMES PAYMENT,-6.50
2024-03-08,PAYPAL *BITWARDEN,-7.12
2024-03-08,SOUNDCLOUD GO PAYMENT,-11.00
2024-03-14,HISTORY TODAY PAYMENT,-84.00
2024-03-14,STRIPE* TRESORIT,-84.00
2024-04-03,STRIPE* LBJORNSSON,-125.13
2024-04-08,BRITBOX PAYMENT,-11.00
2024-04-08,COURSERA PAYMENT,-9.50
2024-04-08,LES MILLS PLUS PAYMENT,-9.50
2024-04-08,NYTIMES PAYMENT,-6.50
2024-04-08,SOUNDCLOUD GO PAYMENT,-11.00
2024-04-08,STRIPE* BITWARDEN,-7.13
2024-04-12,COURSERA PAYMENT,9.50
2024-05-03,SQ *LBJORNSSON,-125.14
2024-05-03,STRIPE* LBJORNSSON,-125.00
2024-05-08,BRITBOX PAYMENT,-13.00
2024-05-08,COURSERA PAYMENT,-9.50
2024-05-08,LES MILLS PLUS PAYMENT,-9.50
2024-05-08,NYTIMES PAYMENT,-6.50
2024-05-08,SOUNDCLOUD GO PAYMENT,-11.00
2024-05-08,SQ *BITWARDEN,-7.14
2024-06-03,PAYPAL *LBJORNSSON,-125.15
2024-06-08,BRITBOX PAYMENT,-13.00
2024-06-08,COURSERA PAYMENT,-9.50
2024-06-08,LES MILLS PLUS PAYMENT,-9.50
2024-06-08,NYTIMES PAYMENT,-6.50
2024-06-08,PAYPAL *BITWARDEN,-7.15
2024-06-08,SOUNDCLOUD GO PAYMENT,-11.00
2024-07-03,STRIPE* LBJORNSSON,-125.16
2024-07-08,BRITBOX PAYMENT,-13.00
2024-07-08,NYTIMES PAYMENT,-6.50
2024-07-08,SOUNDCLOUD GO PAYMENT,-11.00
2024-07-08,STRIPE* BITWARDEN,-7.16
2024-08-03,SQ *LBJORNSSON,-125.17
2024-08-08,BRITBOX PAYMENT,-13.00
2024-08-08,NYTIMES PAYMENT,-6.50
2024-08-08,SOUNDCLOUD GO PAYMENT,-11.00
2024-08-08,SQ *BITWARDEN,-7.17
2024-08-20,STRIPE* CHILTERNRAIL,-510.00
2024-09-03,PAYPAL *LBJORNSSON,-140.18
2024-09-08,NYTIMES PAYMENT,-6.50
2024-09-08,PAYPAL *BITWARDEN,-9.20
2024-10-03,STRIPE* LBJORNSSON,-140.19
2024-10-08,NYTIMES PAYMENT,-6.50
2024-10-08,STRIPE* BITWARDEN,-9.21
2024-11-03,SQ *LBJORNSSON,-140.20
2024-11-08,NYTIMES PAYMENT,-6.50
2024-11-08,SQ *BITWARDEN,-9.22
2024-11-12,NYTIMES PAYMENT,6.50
2024-12-03,PAYPAL *LBJORNSSON,-140.21
2024-12-08,PAYPAL *BITWARDEN,-9.23
2025-02-08,BRITBOX PAYMENT,-13.00
2025-02-08,SOUNDCLOUD GO PAYMENT,-11.00
2025-03-08,BRITBOX PAYMENT,-13.00
2025-03-08,SOUNDCLOUD GO PAYMENT,-11.00
2025-03-14,HISTORY TODAY PAYMENT,-84.00
2025-03-14,SQ *TRESORIT,-84.00
2025-04-08,BRITBOX PAYMENT,-13.00
2025-04-08,SOUNDCLOUD GO PAYMENT,-11.00
2025-05-08,BRITBOX PAYMENT,-13.00
2025-05-08,SOUNDCLOUD GO PAYMENT,-11.00
2025-08-20,SQ *CHILTERNRAIL,-540.00
2025-08-22,PAYPAL *CHILTERNRAIL,540.00
2025-08-23,PAYPAL *CHILTERNRAIL,-540.00
