Date,Description,Amount
2024-01-03,STRIPE* KADEYEMI,-125.10
2024-01-08,BANDCAMP PAYMENT,-11.00
2024-01-08,SKY DIGITAL PAYMENT,-11.00
2024-01-08,STRIPE* EVERNOTE,-7.10
2024-01-08,UDEMY PAYMENT,-9.50
2024-01-08,VIRGIN ACTIVE PAYMENT,-9.50
2024-01-08,WASHINGTONPOST PAYMENT,-6.50
2024-02-03,SQ *KADEYEMI,-125.11
2024-02-08,BANDCAMP PAYMENT,-11.00
2024-02-08,SKY DIGITAL PAYMENT,-11.00
2024-02-08,SQ *EVERNOTE,-7.11
2024-02-08,UDEMY PAYMENT,-9.50
2024-02-08,VIRGIN ACTIVE PAYMENT,-9.50
2024-02-08,WASHINGTONPOST PAYMENT,-6.50
2024-03-03,PAYPAL *KADEYEMI,-125.12
2024-03-08,BANDCAMP PAYMENT,-11.00
2024-03-08,PAYPAL *EVERNOTE,-7.12
2024-03-08,SKY DIGITAL PAYMENT,-11.00
2024-03-08,UDEMY PAYMENT,-9.50
2024-03-08,VIRGIN ACTIVE PAYMENT,-9.50
2024-03-08,WASHINGTONPOST PAYMENT,-6.50
2024-03-14,PROSPECT MAG PAYMENT,-84.00
2024-03-14,STRIPE* BOXCOM,-84.00
2024-04-03,STRIPE* KADEYEMI,-125.13
2024-04-08,BANDCAMP PAYMENT,-11.00
2024-04-08,SKY DIGITAL PAYMENT,-11.00
2024-04-08,STRIPE* EVERNOTE,-7.13
2024-04-08,UDEMY PAYMENT,-9.50
2024-04-08,VIRGIN ACTIVE PAYMENT,-9.50
2024-04-08,WASHINGTONPOST PAYMENT,-6.50
2024-04-12,UDEMY PAYMENT,9.50
2024-05-03,SQ *KADEYEMI,-125.14
2024-05-03,STRIPE* KADEYEMI,-125.00
2024-05-08,BANDCAMP PAYMENT,-11.00
2024-05-08,SKY DIGITAL PAYMENT,-13.00
2024-05-08,SQ *EVERNOTE,-7.14
2024-05-08,UDEMY PAYMENT,-9.50
2024-05-08,VIRGIN ACTIVE PAYMENT,-9.50
2024-05-08,WASHINGTONPOST PAYMENT,-6.50
2024-06-03,PAYPAL *KADEYEMI,-125.15
2024-06-08,BANDCAMP PAYMENT,-11.00
2024-06-08,PAYPAL *EVERNOTE,-7.15
2024-06-08,SKY DIGITAL PAYMENT,-13.00
2024-06-08,UDEMY PAYMENT,-9.50
2024-06-08,VIRGIN ACTIVE PAYMENT,-9.50
2024-06-08,WASHINGTONPOST PAYMENT,-6.50
2024-07-03,STRIPE* KADEYEMI,-125.16
2024-07-08,BANDCAMP PAYMENT,-11.00
2024-07-08,SKY DIGITAL PAYMENT,-13.00
2024-07-08,STRIPE* EVERNOTE,-7.16
2024-07-08,WASHINGTONPOST PAYMENT,-6.50
2024-08-03,SQ *KADEYEMI,-125.17
2024-08-08,BANDCAMP PAYMENT,-11.00
2024-08-08,SKY DIGITAL PAYMENT,-13.00
2024-08-08,SQ *EVERNOTE,-7.17
2024-08-08,WASHINGTONPOST PAYMENT,-6.50
2024-08-20,STRIPE* SCOTRAIL,-510.00
2024-09-03,PAYPAL *KADEYEMI,-140.18
2024-09-08,PAYPAL *EVERNOTE,-9.20
2024-09-08,WASHINGTONPOST PAYMENT,-6.50
2024-10-03,STRIPE* KADEYEMI,-140.19
2024-10-08,STRIPE* EVERNOTE,-9.21
2024-10-08,WASHINGTONPOST PAYMENT,-6.50
2024-11-03,SQ *KADEYEMI,-140.20
2024-11-08,SQ *EVERNOTE,-9.22
2024-11-08,WASHINGTONPOST PAYMENT,-6.50
2024-11-12,WASHINGTONPOST PAYMENT,6.50
2024-12-03,PAYPAL *KADEYEMI,-140.21
2024-12-08,PAYPAL *EVERNOTE,-9.23
2025-02-08,BANDCAMP PAYMENT,-11.00
2025-02-08,SKY DIGITAL PAYMENT,-13.00
2025-03-08,BANDCAMP PAYMENT,-11.00
2025-03-08,SKY DIGITAL PAYMENT,-13.00
2025-03-14,PROSPECT MAG PAYMENT,-84.00
2025-03-14,SQ *BOXCOM,-84.00
2025-04-08,BANDCAMP PAYMENT,-11.00
2025-04-08,SKY DIGITAL PAYMENT,-13.00
2025-05-08,BANDCAMP PAYMENT,-11.00
2025-05-08,SKY DIGITAL PAYMENT,-13.00
2025-08-20,SQ *SCOTRAIL,-540.00
2025-08-22,PAYPAL *SCOTRAIL,540.00
2025-08-23,PAYPAL *SCOTRAIL,-540.00
