Date,Description,Amount
2024-01-08,BANDCAMP PAYMENT,-11.00
2024-01-08,SKY DIGITAL PAYMENT,-11.00
2024-01-08,STRIPE* EVERNOTE,-7.10
2024-01-08,UDEMY PAYMENT,-9.50
2024-01-08,VIRGIN ACTIVE PAYMENT,-9.50
2024-01-08,WASHINGTONPOST PAYMENT,-6.50
2024-02-08,BANDCAMP PAYMENT,-11.00
2024-02-08,SKY DIGITAL PAYMENT,-11.00
2024-02-08,SQ *EVERNOTE,-7.11
2024-02-08,UDEMY PAYMENT,-9.50
2024-02-08,VIRGIN ACTIVE PAYMENT,-9.50
2024-02-08,WASHINGTONPOST PAYMENT,-6.50
2024-03-08,BANDCAMP PAYMENT,-11.00
2024-03-08,PAYPAL *EVERNOTE,-7.12
2024-03-08,SKY DIGITAL PAYMENT,-11.00
2024-03-08,UDEMY PAYMENT,-9.50
2024-03-08,VIRGIN ACTIVE PAYMENT,-9.50
2024-03-08,WASHINGTONPOST PAYMENT,-6.50
2024-03-14,PROSPECT MAG PAYMENT,-84.00
2024-03-14,STRIPE* BOXCOM,-84.00
2024-04-08,BANDCAMP PAYMENT,-11.00
2024-04-08,SKY DIGITAL PAYMENT,-11.00
2024-04-08,STRIPE* EVERNOTE,-7.13
2024-04-08,UDEMY PAYMENT,-9.50
2024-04-08,VIRGIN ACTIVE PAYMENT,-9.50
2024-04-08,WASHINGTONPOST PAYMENT,-6.50
2024-04-12,UDEMY PAYMENT,9.50
2024-05-08,BANDCAMP PAYMENT,-11.00
2024-05-08,SKY DIGITAL PAYMENT,-13.00
2024-05-08,SQ *EVERNOTE,-7.14
2024-05-08,UDEMY PAYMENT,-9.50
2024-05-08,VIRGIN ACTIVE PAYMENT,-9.50
2024-05-08,WASHINGTONPOST PAYMENT,-6.50
2024-06-08,BANDCAMP PAYMENT,-11.00
2024-06-08,PAYPAL *EVERNOTE,-7.15
2024-06-08,SKY DIGITAL PAYMENT,-13.00
2024-06-08,UDEMY PAYMENT,-9.50
2024-06-08,VIRGIN ACTIVE PAYMENT,-9.50
2024-06-08,WASHINGTONPOST PAYMENT,-6.50
2024-07-08,BANDCAMP PAYMENT,-11.00
2024-07-08,SKY DIGITAL PAYMENT,-13.00
2024-07-08,STRIPE* EVERNOTE,-7.16
2024-07-08,WASHINGTONPOST PAYMENT,-6.50
2024-08-08,BANDCAMP PAYMENT,-11.00
2024-08-08,SKY DIGITAL PAYMENT,-13.00
2024-08-08,SQ *EVERNOTE,-7.17
2024-08-08,WASHINGTONPOST PAYMENT,-6.50
2024-09-08,PAYPAL *EVERNOTE,-9.20
2024-09-08,WASHINGTONPOST PAYMENT,-6.50
2024-10-08,STRIPE* EVERNOTE,-9.21
2024-10-08,WASHINGTONPOST PAYMENT,-6.50
2024-11-08,SQ *EVERNOTE,-9.22
2024-11-08,WASHINGTONPOST PAYMENT,-6.50
2024-11-12,WASHINGTONPOST PAYMENT,6.50
2024-12-08,PAYPAL *EVERNOTE,-9.23
2025-01-04,STRIPE* ICELANDFOODS,-41.00
2025-01-11,SQ *ICELANDFOODS,-42.13
2025-01-18,PAYPAL *ICELANDFOODS,-43.26
2025-01-25,STRIPE* ICELANDFOODS,-44.39
2025-02-01,SQ *ICELANDFOODS,-45.52
2025-02-08,BANDCAMP PAYMENT,-11.00
2025-02-08,PAYPAL *ICELANDFOODS,-46.65
2025-02-08,SKY DIGITAL PAYMENT,-13.00
2025-02-15,STRIPE* ICELANDFOODS,-47.78
2025-02-16,SQ *ICELANDFOODS,-18.25
2025-02-16,SQ *ICELANDFOODS,18.25
2025-02-22,SQ *ICELANDFOODS,-48.91
2025-03-01,PAYPAL *ICELANDFOODS,-49.04
2025-03-08,BANDCAMP PAYMENT,-11.00
2025-03-08,SKY DIGITAL PAYMENT,-13.00
2025-03-08,STRIPE* ICELANDFOODS,-50.17
2025-03-14,PROSPECT MAG PAYMENT,-84.00
2025-03-14,SQ *BOXCOM,-84.00
2025-03-15,SQ *ICELANDFOODS,-51.30
2025-03-22,PAYPAL *ICELANDFOODS,-52.43
2025-04-08,BANDCAMP PAYMENT,-11.00
2025-04-08,SKY DIGITAL PAYMENT,-13.00
2025-04-09,SCREWFIX PAYMENT,-74.00
2025-04-09,SCREWFIX PAYMENT,-74.00
2025-04-11,SCREWFIX PAYMENT,74.00
2025-05-08,BANDCAMP PAYMENT,-11.00
2025-05-08,SKY DIGITAL PAYMENT,-13.00
