Date,Description,Amount
2024-01-08,ANYTIME FITNESS PAYMENT,-9.50
2024-01-08,AUDIBLE UK PAYMENT,-11.00
2024-01-08,CRUNCHYROLL PAYMENT,-11.00
2024-01-08,PIMSLEUR PAYMENT,-9.50
2024-01-08,STRIPE* TODOIST,-7.10
2024-01-08,TORTOISE MEDIA PAYMENT,-6.50
2024-02-08,ANYTIME FITNESS PAYMENT,-9.50
2024-02-08,AUDIBLE UK PAYMENT,-11.00
2024-02-08,CRUNCHYROLL PAYMENT,-11.00
2024-02-08,PIMSLEUR PAYMENT,-9.50
2024-02-08,SQ *TODOIST,-7.11
2024-02-08,TORTOISE MEDIA PAYMENT,-6.50
2024-03-08,ANYTIME FITNESS PAYMENT,-9.50
2024-03-08,AUDIBLE UK PAYMENT,-11.00
2024-03-08,CRUNCHYROLL PAYMENT,-11.00
2024-03-08,PAYPAL *TODOIST,-7.12
2024-03-08,PIMSLEUR PAYMENT,-9.50
2024-03-08,TORTOISE MEDIA PAYMENT,-6.50
2024-03-14,BBC GOOD FOOD PAYMENT,-84.00
2024-03-14,STRIPE* JOTTACLOUD,-84.00
2024-04-08,ANYTIME FITNESS PAYMENT,-9.50
2024-04-08,AUDIBLE UK PAYMENT,-11.00
2024-04-08,CRUNCHYROLL PAYMENT,-11.00
2024-04-08,PIMSLEUR PAYMENT,-9.50
2024-04-08,STRIPE* TODOIST,-7.13
2024-04-08,TORTOISE MEDIA PAYMENT,-6.50
2024-04-12,PIMSLEUR PAYMENT,9.50
2024-05-08,ANYTIME FITNESS PAYMENT,-9.50
2024-05-08,AUDIBLE UK PAYMENT,-11.00
2024-05-08,CRUNCHYROLL PAYMENT,-13.00
2024-05-08,PIMSLEUR PAYMENT,-9.50
2024-05-08,SQ *TODOIST,-7.14
2024-05-08,TORTOISE MEDIA PAYMENT,-6.50
2024-06-08,ANYTIME FITNESS PAYMENT,-9.50
2024-06-08,AUDIBLE UK PAYMENT,-11.00
2024-06-08,CRUNCHYROLL PAYMENT,-13.00
2024-06-08,PAYPAL *TODOIST,-7.15
2024-06-08,PIMSLEUR PAYMENT,-9.50
2024-06-08,TORTOISE MEDIA PAYMENT,-6.50
2024-07-08,AUDIBLE UK PAYMENT,-11.00
2024-07-08,CRUNCHYROLL PAYMENT,-13.00
2024-07-08,STRIPE* TODOIST,-7.16
2024-07-08,TORTOISE MEDIA PAYMENT,-6.50
2024-08-08,AUDIBLE UK PAYMENT,-11.00
2024-08-08,CRUNCHYROLL PAYMENT,-13.00
2024-08-08,SQ *TODOIST,-7.17
2024-08-08,TORTOISE MEDIA PAYMENT,-6.50
2024-09-08,PAYPAL *TODOIST,-9.20
2024-09-08,TORTOISE MEDIA PAYMENT,-6.50
2024-10-08,STRIPE* TODOIST,-9.21
2024-10-08,TORTOISE MEDIA PAYMENT,-6.50
2024-11-08,SQ *TODOIST,-9.22
2024-11-08,TORTOISE MEDIA PAYMENT,-6.50
2024-11-12,TORTOISE MEDIA PAYMENT,6.50
2024-12-08,PAYPAL *TODOIST,-9.23
2025-01-04,STRIPE* MSFOOD,-41.00
2025-01-11,SQ *MSFOOD,-42.13
2025-01-18,PAYPAL *MSFOOD,-43.26
2025-01-25,STRIPE* MSFOOD,-44.39
2025-02-01,SQ *MSFOOD,-45.52
2025-02-08,AUDIBLE UK PAYMENT,-11.00
2025-02-08,CRUNCHYROLL PAYMENT,-13.00
2025-02-08,PAYPAL *MSFOOD,-46.65
2025-02-15,STRIPE* MSFOOD,-47.78
2025-02-16,SQ *MSFOOD,-18.25
2025-02-16,SQ *MSFOOD,18.25
2025-02-22,SQ *MSFOOD,-48.91
2025-03-01,PAYPAL *MSFOOD,-49.04
2025-03-08,AUDIBLE UK PAYMENT,-11.00
2025-03-08,CRUNCHYROLL PAYMENT,-13.00
2025-03-08,STRIPE* MSFOOD,-50.17
2025-03-14,BBC GOOD FOOD PAYMENT,-84.00
2025-03-14,SQ *JOTTACLOUD,-84.00
2025-03-15,SQ *MSFOOD,-51.30
2025-03-22,PAYPAL *MSFOOD,-52.43
2025-04-08,AUDIBLE UK PAYMENT,-11.00
2025-04-08,CRUNCHYROLL PAYMENT,-13.00
2025-04-09,TK MAXX PAYMENT,-74.00
2025-04-09,TK MAXX PAYMENT,-74.00
2025-04-11,TK MAXX PAYMENT,74.00
2025-05-08,AUDIBLE UK PAYMENT,-11.00
2025-05-08,CRUNCHYROLL PAYMENT,-13.00
