Date,Description,Amount
2024-01-08,BRITBOX PAYMENT,-11.00
2024-01-08,COURSERA PAYMENT,-9.50
2024-01-08,LES MILLS PLUS PAYMENT,-9.50
2024-01-08,NYTIMES PAYMENT,-6.50
2024-01-08,SOUNDCLOUD GO PAYMENT,-11.00
2024-01-08,STRIPE* BITWARDEN,-7.10
2024-01-08,UTILITA PAYMENT,-7.00
2024-02-08,BRITBOX PAYMENT,-11.00
2024-02-08,COURSERA PAYMENT,-9.50
2024-02-08,LES MILLS PLUS PAYMENT,-9.50
2024-02-08,NYTIMES PAYMENT,-6.50
2024-02-08,SOUNDCLOUD GO PAYMENT,-11.00
2024-02-08,SQ *BITWARDEN,-7.11
2024-02-08,UTILITA PAYMENT,-7.00
2024-03-08,BRITBOX PAYMENT,-11.00
2024-03-08,COURSERA PAYMENT,-9.50
2024-03-08,LES MILLS PLUS PAYMENT,-9.50
2024-03-08,NYTIMES PAYMENT,-6.50
2024-03-08,PAYPAL *BITWARDEN,-7.12
2024-03-08,SOUNDCLOUD GO PAYMENT,-11.00
2024-03-08,UTILITA PAYMENT,-7.00
2024-03-14,HISTORY TODAY PAYMENT,-84.00
2024-03-14,STRIPE* TRESORIT,-84.00
2024-04-08,BRITBOX PAYMENT,-11.00
2024-04-08,COURSERA PAYMENT,-9.50
2024-04-08,LES MILLS PLUS PAYMENT,-9.50
2024-04-08,NYTIMES PAYMENT,-6.50
2024-04-08,SOUNDCLOUD GO PAYMENT,-11.00
2024-04-08,STRIPE* BITWARDEN,-7.13
2024-04-08,UTILITA PAYMENT,-7.00
2024-04-12,COURSERA PAYMENT,9.50
2024-05-08,BRITBOX PAYMENT,-13.00
2024-05-08,COURSERA PAYMENT,-9.50
2024-05-08,LES MILLS PLUS PAYMENT,-9.50
2024-05-08,NYTIMES PAYMENT,-6.50
2024-05-08,SOUNDCLOUD GO PAYMENT,-11.00
2024-05-08,SQ *BITWARDEN,-7.14
2024-05-08,UTILITA PAYMENT,-7.00
2024-06-08,BRITBOX PAYMENT,-13.00
2024-06-08,COURSERA PAYMENT,-9.50
2024-06-08,LES MILLS PLUS PAYMENT,-9.50
2024-06-08,NYTIMES PAYMENT,-6.50
2024-06-08,PAYPAL *BITWARDEN,-7.15
2024-06-08,SOUNDCLOUD GO PAYMENT,-11.00
2024-06-08,UTILITA PAYMENT,-7.00
2024-07-08,BRITBOX PAYMENT,-13.00
2024-07-08,NYTIMES PAYMENT,-6.50
2024-07-08,SOUNDCLOUD GO PAYMENT,-11.00
2024-07-08,STRIPE* BITWARDEN,-7.16
2024-07-08,UTILITA PAYMENT,-7.00
2024-08-08,BRITBOX PAYMENT,-13.00
2024-08-08,NYTIMES PAYMENT,-6.50
2024-08-08,SOUNDCLOUD GO PAYMENT,-11.00
2024-08-08,SQ *BITWARDEN,-7.17
2024-08-08,UTILITA PAYMENT,-7.00
2024-09-08,NYTIMES PAYMENT,-6.50
2024-09-08,PAYPAL *BITWARDEN,-9.20
2024-09-08,UTILITA PAYMENT,-9.00
2024-10-08,NYTIMES PAYMENT,-6.50
2024-10-08,STRIPE* BITWARDEN,-9.21
2024-10-08,UTILITA PAYMENT,-9.00
2024-11-08,NYTIMES PAYMENT,-6.50
2024-11-08,SQ *BITWARDEN,-9.22
2024-11-08,UTILITA PAYMENT,-9.00
2024-11-12,NYTIMES PAYMENT,6.50
2024-12-08,PAYPAL *BITWARDEN,-9.23
2024-12-08,UTILITA PAYMENT,-9.00
2025-02-08,BRITBOX PAYMENT,-13.00
2025-02-08,SOUNDCLOUD GO PAYMENT,-11.00
2025-03-08,BRITBOX PAYMENT,-13.00
2025-03-08,SOUNDCLOUD GO PAYMENT,-11.00
2025-03-14,HISTORY TODAY PAYMENT,-84.00
2025-03-14,SQ *TRESORIT,-84.00
2025-04-08,BRITBOX PAYMENT,-13.00
2025-04-08,SOUNDCLOUD GO PAYMENT,-11.00
2025-05-08,BRITBOX PAYMENT,-13.00
2025-05-08,SOUNDCLOUD GO PAYMENT,-11.00
2025-06-02,PENTLOW GARDEN PAYMENT,-63.20
2025-06-09,PENTLOW GARDEN PAYMENT,63.20
