Date,Description,Amount
2025-08-23,PAYPAL *AVANTIWESTCST,-540.00
2025-08-22,PAYPAL *AVANTIWESTCST,540.00
2025-08-20,SQ *AVANTIWESTCST,-540.00
2025-07-12,WYNDHAM PASS,-96.00
2025-07-12,WYNDHAM PASS,-96.00
2025-06-09,CARRICK KITCHENS,63.20
2025-06-02,CARRICK KITCHENS,-63.20
2025-05-20,PAYPAL *HAYWARDMARKET,31.10
2025-05-18,SQ *HAYWARDMARKET,-31.10
2025-04-11,B&Q LTD,74.00
2025-04-09,B&Q LTD,-74.00
2025-04-09,B&Q LTD,-74.00
2025-03-22,PAYPAL *ASDASTORES,-52.43
2025-03-15,SQ *ASDASTORES,-51.30
2025-03-08,STRIPE* ASDASTORES,-50.17
2025-03-01,PAYPAL *ASDASTORES,-49.04
2025-02-22,SQ *ASDASTORES,-48.91
2025-02-16,SQ *ASDASTORES,18.25
2025-02-16,SQ *ASDASTORES,-18.25
2025-02-15,STRIPE* ASDASTORES,-47.78
2025-02-08,PAYPAL *ASDASTORES,-46.65
2025-02-06,STRIPE* HAYWARDMARKET,-22.40
2025-02-01,SQ *ASDASTORES,-45.52
2025-01-25,STRIPE* ASDASTORES,-44.39
2025-01-18,PAYPAL *ASDASTORES,-43.26
2025-01-11,SQ *ASDASTORES,-42.13
2025-01-04,STRIPE* ASDASTORES,-41.00
2024-12-28,TARLTON JOINERY,2425.00
2024-12-08,SO ENERGY,-9.00
2024-12-03,PAYPAL *DCHAUDHRY,-140.21
2024-12-01,PAYPAL *THORNBURYLETTING,-850.23
2024-11-28,TARLTON JOINERY,2425.00
2024-11-08,SO ENERGY,-9.00
2024-11-03,SQ *DCHAUDHRY,-140.20
2024-11-01,SQ *THORNBURYLETTING,-850.22
2024-10-28,TARLTON JOINERY,2425.00
2024-10-08,SO ENERGY,-9.00
2024-10-03,STRIPE* DCHAUDHRY,-140.19
2024-10-01,STRIPE* THORNBURYLETTING,-850.21
2024-09-28,TARLTON JOINERY,2425.00
2024-09-08,SO ENERGY,-9.00
2024-09-03,PAYPAL *DCHAUDHRY,-140.18
2024-09-01,PAYPAL *THORNBURYLETTING,-850.20
2024-08-28,TARLTON JOINERY,2350.00
2024-08-20,STRIPE* AVANTIWESTCST,-510.00
2024-08-08,SO ENERGY,-7.00
2024-08-03,SQ *DCHAUDHRY,-125.17
2024-08-01,SQ *THORNBURYLETTING,-825.17
2024-07-28,TARLTON JOINERY,2350.00
2024-07-08,SO ENERGY,-7.00
2024-07-03,STRIPE* DCHAUDHRY,-125.16
2024-07-01,STRIPE* THORNBURYLETTING,-825.16
2024-06-28,TARLTON JOINERY,2350.00
2024-06-08,SO ENERGY,-7.00
2024-06-03,PAYPAL *DCHAUDHRY,-125.15
2024-06-02,STRIPE* THORNBURYLETTING,825.00
2024-06-02,STRIPE* THORNBURYLETTING,-825.00
2024-06-01,PAYPAL *THORNBURYLETTING,-825.15
2024-05-28,TARLTON JOINERY,2350.00
2024-05-08,SO ENERGY,-7.00
2024-05-03,STRIPE* DCHAUDHRY,-125.00
2024-05-03,SQ *DCHAUDHRY,-125.14
2024-05-01,SQ *THORNBURYLETTING,-825.14
2024-04-28,TARLTON JOINERY,2350.00
2024-04-08,SO ENERGY,-7.00
2024-04-03,STRIPE* DCHAUDHRY,-125.13
2024-04-01,STRIPE* THORNBURYLETTING,-825.13
2024-03-28,TARLTON JOINERY,2350.00
2024-03-08,SO ENERGY,-7.00
2024-03-03,PAYPAL *DCHAUDHRY,-125.12
2024-03-01,PAYPAL *THORNBURYLETTING,-825.12
2024-02-28,TARLTON JOINERY,2350.00
2024-02-08,SO ENERGY,-7.00
2024-02-03,SQ *DCHAUDHRY,-125.11
2024-02-01,SQ *THORNBURYLETTING,-825.11
2024-01-28,TARLTON JOINERY,2350.00
2024-01-08,SO ENERGY,-7.00
2024-01-03,STRIPE* DCHAUDHRY,-125.10
2024-01-01,STRIPE* THORNBURYLETTING,-825.10
