Date,Description,Amount
2024-01-01,STRIPE* MARCHMONTHOMES,-825.10
2024-01-03,STRIPE* EMORGENSTERN,-125.10
2024-01-08,REBEL ENERGY,-7.00
2024-01-28,LYNTON HAULAGE,2350.00
2024-02-01,SQ *MARCHMONTHOMES,-825.11
2024-02-03,SQ *EMORGENSTERN,-125.11
2024-02-08,REBEL ENERGY,-7.00
2024-02-28,LYNTON HAULAGE,2350.00
2024-03-01,PAYPAL *MARCHMONTHOMES,-825.12
2024-03-03,PAYPAL *EMORGENSTERN,-125.12
2024-03-08,REBEL ENERGY,-7.00
2024-03-28,LYNTON HAULAGE,2350.00
2024-04-01,STRIPE* MARCHMONTHOMES,-825.13
2024-04-03,STRIPE* EMORGENSTERN,-125.13
2024-04-08,REBEL ENERGY,-7.00
2024-04-28,LYNTON HAULAGE,2350.00
2024-05-01,SQ *MARCHMONTHOMES,-825.14
2024-05-03,SQ *EMORGENSTERN,-125.14
2024-05-03,STRIPE* EMORGENSTERN,-125.00
2024-05-08,REBEL ENERGY,-7.00
2024-05-28,LYNTON HAULAGE,2350.00
2024-06-01,PAYPAL *MARCHMONTHOMES,-825.15
2024-06-02,STRIPE* MARCHMONTHOMES,-825.00
2024-06-02,STRIPE* MARCHMONTHOMES,825.00
2024-06-03,PAYPAL *EMORGENSTERN,-125.15
2024-06-08,REBEL ENERGY,-7.00
2024-06-28,LYNTON HAULAGE,2350.00
2024-07-01,STRIPE* MARCHMONTHOMES,-825.16
2024-07-03,STRIPE* EMORGENSTERN,-125.16
2024-07-08,REBEL ENERGY,-7.00
2024-07-28,LYNTON HAULAGE,2350.00
2024-08-01,SQ *MARCHMONTHOMES,-825.17
2024-08-03,SQ *EMORGENSTERN,-125.17
2024-08-08,REBEL ENERGY,-7.00
2024-08-20,STRIPE* C2CRAIL,-510.00
2024-08-28,LYNTON HAULAGE,2350.00
2024-09-01,PAYPAL *MARCHMONTHOMES,-850.20
2024-09-03,PAYPAL *EMORGENSTERN,-140.18
2024-09-08,REBEL ENERGY,-9.00
2024-09-28,LYNTON HAULAGE,2425.00
2024-10-01,STRIPE* MARCHMONTHOMES,-850.21
2024-10-03,STRIPE* EMORGENSTERN,-140.19
2024-10-08,REBEL ENERGY,-9.00
2024-10-28,LYNTON HAULAGE,2425.00
2024-11-01,SQ *MARCHMONTHOMES,-850.22
2024-11-03,SQ *EMORGENSTERN,-140.20
2024-11-08,REBEL ENERGY,-9.00
2024-11-28,LYNTON HAULAGE,2425.00
2024-12-01,PAYPAL *MARCHMONTHOMES,-850.23
2024-12-03,PAYPAL *EMORGENSTERN,-140.21
2024-12-08,REBEL ENERGY,-9.00
2024-12-28,LYNTON HAULAGE,2425.00
2025-01-04,STRIPE* BOOTHS,-41.00
2025-01-11,SQ *BOOTHS,-42.13
2025-01-18,PAYPAL *BOOTHS,-43.26
2025-01-25,STRIPE* BOOTHS,-44.39
2025-02-01,SQ *BOOTHS,-45.52
2025-02-06,STRIPE* OLDMILLTRADERS,-22.40
2025-02-08,PAYPAL *BOOTHS,-46.65
2025-02-15,STRIPE* BOOTHS,-47.78
2025-02-16,SQ *BOOTHS,-18.25
2025-02-16,SQ *BOOTHS,18.25
2025-02-22,SQ *BOOTHS,-48.91
2025-03-01,PAYPAL *BOOTHS,-49.04
2025-03-08,STRIPE* BOOTHS,-50.17
2025-03-15,SQ *BOOTHS,-51.30
2025-03-22,PAYPAL *BOOTHS,-52.43
2025-04-09,ROBERT DYAS,-74.00
2025-04-09,ROBERT DYAS,-74.00
2025-04-11,ROBERT DYAS,74.00
2025-05-18,SQ *OLDMILLTRADERS,-31.10
2025-05-20,PAYPAL *OLDMILLTRADERS,31.10
2025-06-02,BRACKEN CAMPING,-63.20
2025-06-09,BRACKEN CAMPING,63.20
2025-07-12,BRAMPTON GARDENS,-96.00
2025-07-12,BRAMPTON GARDENS,-96.00
2025-08-20,SQ *C2CRAIL,-540.00
2025-08-22,PAYPAL *C2CRAIL,540.00
2025-08-23,PAYPAL *C2CRAIL,-540.00
