Date,Description,Amount
2024-01-01,STRIPE* SEDGEWICKPROP,-825.10
2024-01-03,STRIPE* NABBASI,-125.10
2024-01-08,ECOTRICITY,-7.00
2024-01-28,WEXFORD DENTAL,2350.00
2024-02-01,SQ *SEDGEWICKPROP,-825.11
2024-02-03,SQ *NABBASI,-125.11
2024-02-08,ECOTRICITY,-7.00
2024-02-28,WEXFORD DENTAL,2350.00
2024-03-01,PAYPAL *SEDGEWICKPROP,-825.12
2024-03-03,PAYPAL *NABBASI,-125.12
2024-03-08,ECOTRICITY,-7.00
2024-03-28,WEXFORD DENTAL,2350.00
2024-04-01,STRIPE* SEDGEWICKPROP,-825.13
2024-04-03,STRIPE* NABBASI,-125.13
2024-04-08,ECOTRICITY,-7.00
2024-04-28,WEXFORD DENTAL,2350.00
2024-05-01,SQ *SEDGEWICKPROP,-825.14
2024-05-03,SQ *NABBASI,-125.14
2024-05-03,STRIPE* NABBASI,-125.00
2024-05-08,ECOTRICITY,-7.00
2024-05-28,WEXFORD DENTAL,2350.00
2024-06-01,PAYPAL *SEDGEWICKPROP,-825.15
2024-06-02,STRIPE* SEDGEWICKPROP,-825.00
2024-06-02,STRIPE* SEDGEWICKPROP,825.00
2024-06-03,PAYPAL *NABBASI,-125.15
2024-06-08,ECOTRICITY,-7.00
2024-06-28,WEXFORD DENTAL,2350.00
2024-07-01,STRIPE* SEDGEWICKPROP,-825.16
2024-07-03,STRIPE* NABBASI,-125.16
2024-07-08,ECOTRICITY,-7.00
2024-07-28,WEXFORD DENTAL,2350.00
2024-08-01,SQ *SEDGEWICKPROP,-825.17
2024-08-03,SQ *NABBASI,-125.17
2024-08-08,ECOTRICITY,-7.00
2024-08-20,STRIPE* TRANSPENNINE,-510.00
2024-08-28,WEXFORD DENTAL,2350.00
2024-09-01,PAYPAL *SEDGEWICKPROP,-850.20
2024-09-03,PAYPAL *NABBASI,-140.18
2024-09-08,ECOTRICITY,-9.00
2024-09-28,WEXFORD DENTAL,2425.00
2024-10-01,STRIPE* SEDGEWICKPROP,-850.21
2024-10-03,STRIPE* NABBASI,-140.19
2024-10-08,ECOTRICITY,-9.00
2024-10-28,WEXFORD DENTAL,2425.00
2024-11-01,SQ *SEDGEWICKPROP,-850.22
2024-11-03,SQ *NABBASI,-140.20
2024-11-08,ECOTRICITY,-9.00
2024-11-28,WEXFORD DENTAL,2425.00
2024-12-01,PAYPAL *SEDGEWICKPROP,-850.23
2024-12-03,PAYPAL *NABBASI,-140.21
2024-12-08,ECOTRICITY,-9.00
2024-12-28,WEXFORD DENTAL,2425.00
2025-01-04,STRIPE* SPARUK,-41.00
2025-01-11,SQ *SPARUK,-42.13
2025-01-18,PAYPAL *SPARUK,-43.26
2025-01-25,STRIPE* SPARUK,-44.39
2025-02-01,SQ *SPARUK,-45.52
2025-02-06,STRIPE* CANONGATEMKT,-22.40
2025-02-08,PAYPAL *SPARUK,-46.65
2025-02-15,STRIPE* SPARUK,-47.78
2025-02-16,SQ *SPARUK,-18.25
2025-02-16,SQ *SPARUK,18.25
2025-02-22,SQ *SPARUK,-48.91
2025-03-01,PAYPAL *SPARUK,-49.04
2025-03-08,STRIPE* SPARUK,-50.17
2025-03-15,SQ *SPARUK,-51.30
2025-03-22,PAYPAL *SPARUK,-52.43
2025-04-09,WICKES,-74.00
2025-04-09,WICKES,-74.00
2025-04-11,WICKES,74.00
2025-05-18,SQ *CANONGATEMKT,-31.10
2025-05-20,PAYPAL *CANONGATEMKT,31.10
2025-06-02,SILVERTHORN ART,-63.20
2025-06-09,SILVERTHORN ART,63.20
2025-07-12,ST GILLAN PASS,-96.00
2025-07-12,ST GILLAN PASS,-96.00
2025-08-20,SQ *TRANSPENNINE,-540.00
2025-08-22,PAYPAL *TRANSPENNINE,540.00
2025-08-23,PAYPAL *TRANSPENNINE,-540.00
