Date,Description,Amount
2024-01-01,STRIPE* GRESHAMESTATES,-825.10
2024-01-03,STRIPE* LBJORNSSON,-125.10
2024-01-08,UTILITA,-7.00
2024-01-28,VERNHAM ANALYTICS,2350.00
2024-02-01,SQ *GRESHAMESTATES,-825.11
2024-02-03,SQ *LBJORNSSON,-125.11
2024-02-08,UTILITA,-7.00
2024-02-28,VERNHAM ANALYTICS,2350.00
2024-03-01,PAYPAL *GRESHAMESTATES,-825.12
2024-03-03,PAYPAL *LBJORNSSON,-125.12
2024-03-08,UTILITA,-7.00
2024-03-28,VERNHAM ANALYTICS,2350.00
2024-04-01,STRIPE* GRESHAMESTATES,-825.13
2024-04-03,STRIPE* LBJORNSSON,-125.13
2024-04-08,UTILITA,-7.00
2024-04-28,VERNHAM ANALYTICS,2350.00
2024-05-01,SQ *GRESHAMESTATES,-825.14
2024-05-03,SQ *LBJORNSSON,-125.14
2024-05-03,STRIPE* LBJORNSSON,-125.00
2024-05-08,UTILITA,-7.00
2024-05-28,VERNHAM ANALYTICS,2350.00
2024-06-01,PAYPAL *GRESHAMESTATES,-825.15
2024-06-02,STRIPE* GRESHAMESTATES,-825.00
2024-06-02,STRIPE* GRESHAMESTATES,825.00
2024-06-03,PAYPAL *LBJORNSSON,-125.15
2024-06-08,UTILITA,-7.00
2024-06-28,VERNHAM ANALYTICS,2350.00
2024-07-01,STRIPE* GRESHAMESTATES,-825.16
2024-07-03,STRIPE* LBJORNSSON,-125.16
2024-07-08,UTILITA,-7.00
2024-07-28,VERNHAM ANALYTICS,2350.00
2024-08-01,SQ *GRESHAMESTATES,-825.17
2024-08-03,SQ *LBJORNSSON,-125.17
2024-08-08,UTILITA,-7.00
2024-08-20,STRIPE* CHILTERNRAIL,-510.00
2024-08-28,VERNHAM ANALYTICS,2350.00
2024-09-01,PAYPAL *GRESHAMESTATES,-850.20
2024-09-03,PAYPAL *LBJORNSSON,-140.18
2024-09-08,UTILITA,-9.00
2024-09-28,VERNHAM ANALYTICS,2425.00
2024-10-01,STRIPE* GRESHAMESTATES,-850.21
2024-10-03,STRIPE* LBJORNSSON,-140.19
2024-10-08,UTILITA,-9.00
2024-10-28,VERNHAM ANALYTICS,2425.00
2024-11-01,SQ *GRESHAMESTATES,-850.22
2024-11-03,SQ *LBJORNSSON,-140.20
2024-11-08,UTILITA,-9.00
2024-11-28,VERNHAM ANALYTICS,2425.00
2024-12-01,PAYPAL *GRESHAMESTATES,-850.23
2024-12-03,PAYPAL *LBJORNSSON,-140.21
2024-12-08,UTILITA,-9.00
2024-12-28,VERNHAM ANALYTICS,2425.00
2025-01-04,STRIPE* COOPFOOD,-41.00
2025-01-11,SQ *COOPFOOD,-42.13
2025-01-18,PAYPAL *COOPFOOD,-43.26
2025-01-25,STRIPE* COOPFOOD,-44.39
2025-02-01,SQ *COOPFOOD,-45.52
2025-02-06,STRIPE* TOLLGATESTALL,-22.40
2025-02-08,PAYPAL *COOPFOOD,-46.65
2025-02-15,STRIPE* COOPFOOD,-47.78
2025-02-16,SQ *COOPFOOD,-18.25
2025-02-16,SQ *COOPFOOD,18.25
2025-02-22,SQ *COOPFOOD,-48.91
2025-03-01,PAYPAL *COOPFOOD,-49.04
2025-03-08,STRIPE* COOPFOOD,-50.17
2025-03-15,SQ *COOPFOOD,-51.30
2025-03-22,PAYPAL *COOPFOOD,-52.43
2025-04-09,JOHN LEWIS,-74.00
2025-04-09,JOHN LEWIS,-74.00
2025-04-11,JOHN LEWIS,74.00
2025-05-18,SQ *TOLLGATESTALL,-31.10
2025-05-20,PAYPAL *TOLLGATESTALL,31.10
2025-06-02,PENTLOW GARDEN,-63.20
2025-06-09,PENTLOW GARDEN,63.20
2025-07-12,ALDERCOTE LEISURE,-96.00
2025-07-12,ALDERCOTE LEISURE,-96.00
2025-08-20,SQ *CHILTERNRAIL,-540.00
2025-08-22,PAYPAL *CHILTERNRAIL,540.00
2025-08-23,PAYPAL *CHILTERNRAIL,-540.00
