Date,Description,Amount
2024-01-03,STRIPE* DCHAUDHRY,-125.10
2024-01-08,AMAZON MUSIC,-11.00
2024-01-08,BUSUU,-9.50
2024-01-08,PELOTON,-9.50
2024-01-08,PRIME VIDEO,-11.00
2024-01-08,STRIPE* ICLOUDPLUS,-7.10
2024-01-08,THE INDEPENDENT,-6.50
2024-02-03,SQ *DCHAUDHRY,-125.11
2024-02-08,AMAZON MUSIC,-11.00
2024-02-08,BUSUU,-9.50
2024-02-08,PELOTON,-9.50
2024-02-08,PRIME VIDEO,-11.00
2024-02-08,SQ *ICLOUDPLUS,-7.11
2024-02-08,THE INDEPENDENT,-6.50
2024-03-03,PAYPAL *DCHAUDHRY,-125.12
2024-03-08,AMAZON MUSIC,-11.00
2024-03-08,BUSUU,-9.50
2024-03-08,PAYPAL *ICLOUDPLUS,-7.12
2024-03-08,PELOTON,-9.50
2024-03-08,PRIME VIDEO,-11.00
2024-03-08,THE INDEPENDENT,-6.50
2024-03-14,STRIPE* KOOFR,-84.00
2024-03-14,THE WEEK,-84.00
2024-04-03,STRIPE* DCHAUDHRY,-125.13
2024-04-08,AMAZON MUSIC,-11.00
2024-04-08,BUSUU,-9.50
2024-04-08,PELOTON,-9.50
2024-04-08,PRIME VIDEO,-11.00
2024-04-08,STRIPE* ICLOUDPLUS,-7.13
2024-04-08,THE INDEPENDENT,-6.50
2024-04-12,BUSUU,9.50
2024-05-03,SQ *DCHAUDHRY,-125.14
2024-05-03,STRIPE* DCHAUDHRY,-125.00
2024-05-08,AMAZON MUSIC,-11.00
2024-05-08,BUSUU,-9.50
2024-05-08,PELOTON,-9.50
2024-05-08,PRIME VIDEO,-13.00
2024-05-08,SQ *ICLOUDPLUS,-7.14
2024-05-08,THE INDEPENDENT,-6.50
2024-06-03,PAYPAL *DCHAUDHRY,-125.15
2024-06-08,AMAZON MUSIC,-11.00
2024-06-08,BUSUU,-9.50
2024-06-08,PAYPAL *ICLOUDPLUS,-7.15
2024-06-08,PELOTON,-9.50
2024-06-08,PRIME VIDEO,-13.00
2024-06-08,THE INDEPENDENT,-6.50
2024-07-03,STRIPE* DCHAUDHRY,-125.16
2024-07-08,AMAZON MUSIC,-11.00
2024-07-08,PRIME VIDEO,-13.00
2024-07-08,STRIPE* ICLOUDPLUS,-7.16
2024-07-08,THE INDEPENDENT,-6.50
2024-08-03,SQ *DCHAUDHRY,-125.17
2024-08-08,AMAZON MUSIC,-11.00
2024-08-08,PRIME VIDEO,-13.00
2024-08-08,SQ *ICLOUDPLUS,-7.17
2024-08-08,THE INDEPENDENT,-6.50
2024-08-20,STRIPE* AVANTIWESTCST,-510.00
2024-09-03,PAYPAL *DCHAUDHRY,-140.18
2024-09-08,PAYPAL *ICLOUDPLUS,-9.20
2024-09-08,THE INDEPENDENT,-6.50
2024-10-03,STRIPE* DCHAUDHRY,-140.19
2024-10-08,STRIPE* ICLOUDPLUS,-9.21
2024-10-08,THE INDEPENDENT,-6.50
2024-11-03,SQ *DCHAUDHRY,-140.20
2024-11-08,SQ *ICLOUDPLUS,-9.22
2024-11-08,THE INDEPENDENT,-6.50
2024-11-12,THE INDEPENDENT,6.50
2024-12-03,PAYPAL *DCHAUDHRY,-140.21
2024-12-08,PAYPAL *ICLOUDPLUS,-9.23
2025-02-08,AMAZON MUSIC,-11.00
2025-02-08,PRIME VIDEO,-13.00
2025-03-08,AMAZON MUSIC,-11.00
2025-03-08,PRIME VIDEO,-13.00
2025-03-14,SQ *KOOFR,-84.00
2025-03-14,THE WEEK,-84.00
2025-04-08,AMAZON MUSIC,-11.00
2025-04-08,PRIME VIDEO,-13.00
2025-05-08,AMAZON MUSIC,-11.00
2025-05-08,PRIME VIDEO,-13.00
2025-08-20,SQ *AVANTIWESTCST,-540.00
2025-08-22,PAYPAL *AVANTIWESTCST,540.00
2025-08-23,PAYPAL *AVANTIWESTCST,-540.00
