Date,Description,Amount
2024-01-08,AMAZON MUSIC,-11.00
2024-01-08,BUSUU,-9.50
2024-01-08,PELOTON,-9.50
2024-01-08,PRIME VIDEO,-11.00
2024-01-08,STRIPE* ICLOUDPLUS,-7.10
2024-01-08,THE INDEPENDENT,-6.50
2024-02-08,AMAZON MUSIC,-11.00
2024-02-08,BUSUU,-9.50
2024-02-08,PELOTON,-9.50
2024-02-08,PRIME VIDEO,-11.00
2024-02-08,SQ *ICLOUDPLUS,-7.11
2024-02-08,THE INDEPENDENT,-6.50
2024-03-08,AMAZON MUSIC,-11.00
2024-03-08,BUSUU,-9.50
2024-03-08,PAYPAL *ICLOUDPLUS,-7.12
2024-03-08,PELOTON,-9.50
2024-03-08,PRIME VIDEO,-11.00
2024-03-08,THE INDEPENDENT,-6.50
2024-03-14,STRIPE* KOOFR,-84.00
2024-03-14,THE WEEK,-84.00
2024-04-08,AMAZON MUSIC,-11.00
2024-04-08,BUSUU,-9.50
2024-04-08,PELOTON,-9.50
2024-04-08,PRIME VIDEO,-11.00
2024-04-08,STRIPE* ICLOUDPLUS,-7.13
2024-04-08,THE INDEPENDENT,-6.50
2024-04-12,BUSUU,9.50
2024-05-08,AMAZON MUSIC,-11.00
2024-05-08,BUSUU,-9.50
2024-05-08,PELOTON,-9.50
2024-05-08,PRIME VIDEO,-13.00
2024-05-08,SQ *ICLOUDPLUS,-7.14
2024-05-08,THE INDEPENDENT,-6.50
2024-06-08,AMAZON MUSIC,-11.00
2024-06-08,BUSUU,-9.50
2024-06-08,PAYPAL *ICLOUDPLUS,-7.15
2024-06-08,PELOTON,-9.50
2024-06-08,PRIME VIDEO,-13.00
2024-06-08,THE INDEPENDENT,-6.50
2024-07-08,AMAZON MUSIC,-11.00
2024-07-08,PRIME VIDEO,-13.00
2024-07-08,STRIPE* ICLOUDPLUS,-7.16
2024-07-08,THE INDEPENDENT,-6.50
2024-08-08,AMAZON MUSIC,-11.00
2024-08-08,PRIME VIDEO,-13.00
2024-08-08,SQ *ICLOUDPLUS,-7.17
2024-08-08,THE INDEPENDENT,-6.50
2024-09-08,PAYPAL *ICLOUDPLUS,-9.20
2024-09-08,THE INDEPENDENT,-6.50
2024-10-08,STRIPE* ICLOUDPLUS,-9.21
2024-10-08,THE INDEPENDENT,-6.50
2024-11-08,SQ *ICLOUDPLUS,-9.22
2024-11-08,THE INDEPENDENT,-6.50
2024-11-12,THE INDEPENDENT,6.50
2024-12-08,PAYPAL *ICLOUDPLUS,-9.23
2025-01-04,STRIPE* ASDASTORES,-41.00
2025-01-11,SQ *ASDASTORES,-42.13
2025-01-18,PAYPAL *ASDASTORES,-43.26
2025-01-25,STRIPE* ASDASTORES,-44.39
2025-02-01,SQ *ASDASTORES,-45.52
2025-02-08,AMAZON MUSIC,-11.00
2025-02-08,PAYPAL *ASDASTORES,-46.65
2025-02-08,PRIME VIDEO,-13.00
2025-02-15,STRIPE* ASDASTORES,-47.78
2025-02-16,SQ *ASDASTORES,-18.25
2025-02-16,SQ *ASDASTORES,18.25
2025-02-22,SQ *ASDASTORES,-48.91
2025-03-01,PAYPAL *ASDASTORES,-49.04
2025-03-08,AMAZON MUSIC,-11.00
2025-03-08,PRIME VIDEO,-13.00
2025-03-08,STRIPE* ASDASTORES,-50.17
2025-03-14,SQ *KOOFR,-84.00
2025-03-14,THE WEEK,-84.00
2025-03-15,SQ *ASDASTORES,-51.30
2025-03-22,PAYPAL *ASDASTORES,-52.43
2025-04-08,AMAZON MUSIC,-11.00
2025-04-08,PRIME VIDEO,-13.00
2025-04-09,B&Q LTD,-74.00
2025-04-09,B&Q LTD,-74.00
2025-04-11,B&Q LTD,74.00
2025-05-08,AMAZON MUSIC,-11.00
2025-05-08,PRIME VIDEO,-13.00
