Date,Description,Amount
2024-01-08,BRITBOX,-11.00
2024-01-08,COURSERA,-9.50
2024-01-08,LES MILLS PLUS,-9.50
2024-01-08,NYTIMES,-6.50
2024-01-08,SOUNDCLOUD GO,-11.00
2024-01-08,STRIPE* BITWARDEN,-7.10
2024-02-08,BRITBOX,-11.00
2024-02-08,COURSERA,-9.50
2024-02-08,LES MILLS PLUS,-9.50
2024-02-08,NYTIMES,-6.50
2024-02-08,SOUNDCLOUD GO,-11.00
2024-02-08,SQ *BITWARDEN,-7.11
2024-03-08,BRITBOX,-11.00
2024-03-08,COURSERA,-9.50
2024-03-08,LES MILLS PLUS,-9.50
2024-03-08,NYTIMES,-6.50
2024-03-08,PAYPAL *BITWARDEN,-7.12
2024-03-08,SOUNDCLOUD GO,-11.00
2024-03-14,HISTORY TODAY,-84.00
2024-03-14,STRIPE* TRESORIT,-84.00
2024-04-08,BRITBOX,-11.00
2024-04-08,COURSERA,-9.50
2024-04-08,LES MILLS PLUS,-9.50
2024-04-08,NYTIMES,-6.50
2024-04-08,SOUNDCLOUD GO,-11.00
2024-04-08,STRIPE* BITWARDEN,-7.13
2024-04-12,COURSERA,9.50
2024-05-08,BRITBOX,-13.00
2024-05-08,COURSERA,-9.50
2024-05-08,LES MILLS PLUS,-9.50
2024-05-08,NYTIMES,-6.50
2024-05-08,SOUNDCLOUD GO,-11.00
2024-05-08,SQ *BITWARDEN,-7.14
2024-06-08,BRITBOX,-13.00
2024-06-08,COURSERA,-9.50
2024-06-08,LES MILLS PLUS,-9.50
2024-06-08,NYTIMES,-6.50
2024-06-08,PAYPAL *BITWARDEN,-7.15
2024-06-08,SOUNDCLOUD GO,-11.00
2024-07-08,BRITBOX,-13.00
2024-07-08,NYTIMES,-6.50
2024-07-08,SOUNDCLOUD GO,-11.00
2024-07-08,STRIPE* BITWARDEN,-7.16
2024-08-08,BRITBOX,-13.00
2024-08-08,NYTIMES,-6.50
2024-08-08,SOUNDCLOUD GO,-11.00
2024-08-08,SQ *BITWARDEN,-7.17
2024-09-08,NYTIMES,-6.50
2024-09-08,PAYPAL *BITWARDEN,-9.20
2024-10-08,NYTIMES,-6.50
2024-10-08,STRIPE* BITWARDEN,-9.21
2024-11-08,NYTIMES,-6.50
2024-11-08,SQ *BITWARDEN,-9.22
2024-11-12,NYTIMES,6.50
2024-12-08,PAYPAL *BITWARDEN,-9.23
2025-01-04,STRIPE* COOPFOOD,-41.00
2025-01-11,SQ *COOPFOOD,-42.13
2025-01-18,PAYPAL *COOPFOOD,-43.26
2025-01-25,STRIPE* COOPFOOD,-44.39
2025-02-01,SQ *COOPFOOD,-45.52
2025-02-08,BRITBOX,-13.00
2025-02-08,PAYPAL *COOPFOOD,-46.65
2025-02-08,SOUNDCLOUD GO,-11.00
2025-02-15,STRIPE* COOPFOOD,-47.78
2025-02-16,SQ *COOPFOOD,-18.25
2025-02-16,SQ *COOPFOOD,18.25
2025-02-22,SQ *COOPFOOD,-48.91
2025-03-01,PAYPAL *COOPFOOD,-49.04
2025-03-08,BRITBOX,-13.00
2025-03-08,SOUNDCLOUD GO,-11.00
2025-03-08,STRIPE* COOPFOOD,-50.17
2025-03-14,HISTORY TODAY,-84.00
2025-03-14,SQ *TRESORIT,-84.00
2025-03-15,SQ *COOPFOOD,-51.30
2025-03-22,PAYPAL *COOPFOOD,-52.43
2025-04-08,BRITBOX,-13.00
2025-04-08,SOUNDCLOUD GO,-11.00
2025-04-09,JOHN LEWIS,-74.00
2025-04-09,JOHN LEWIS,-74.00
2025-04-11,JOHN LEWIS,74.00
2025-05-08,BRITBOX,-13.00
2025-05-08,SOUNDCLOUD GO,-11.00
