Date,Description,Amount
2024-01-08,BRITBOX,-11.00
2024-01-08,COURSERA,-9.50
2024-01-08,LES MILLS PLUS,-9.50
2024-01-08,NYTIMES,-6.50
2024-01-08,SOUNDCLOUD GO,-11.00
2024-01-08,STRIPE* BITWARDEN,-7.10
2024-02-08,BRITBOX,-11.00
2024-02-08,COURSERA,-9.50
2024-02-08,LES MILLS PLUS,-9.50
2024-02-08,NYTIMES,-6.50
2024-02-08,SOUNDCLOUD GO,-11.00
2024-02-08,SQ *BITWARDEN,-7.11
2024-03-08,BRITBOX,-11.00
2024-03-08,COURSERA,-9.50
2024-03-08,LES MILLS PLUS,-9.50
2024-03-08,NYTIMES,-6.50
2024-03-08,PAYPAL *BITWARDEN,-7.12
2024-03-08,SOUNDCLOUD GO,-11.00
2024-03-14,HISTORY TODAY,-84.00
2024-03-14,STRIPE* TRESORIT,-84.00
2024-04-08,BRITBOX,-11.00
2024-04-08,COURSERA,-9.50
2024-04-08,LES MILLS PLUS,-9.50
2024-04-08,NYTIMES,-6.50
2024-04-08,SOUNDCLOUD GO,-11.00
2024-04-08,STRIPE* BITWARDEN,-7.13
2024-04-12,COURSERA,9.50
2024-05-08,BRITBOX,-13.00
2024-05-08,COURSERA,-9.50
2024-05-08,LES MILLS PLUS,-9.50
2024-05-08,NYTIMES,-6.50
2024-05-08,SOUNDCLOUD GO,-11.00
2024-05-08,SQ *BITWARDEN,-7.14
2024-06-08,BRITBOX,-13.00
2024-06-08,COURSERA,-9.50
2024-06-08,LES MILLS PLUS,-9.50
2024-06-08,NYTIMES,-6.50
2024-06-08,PAYPAL *BITWARDEN,-7.15
2024-06-08,SOUNDCLOUD GO,-11.00
2024-07-08,BRITBOX,-13.00
2024-07-08,NYTIMES,-6.50
2024-07-08,SOUNDCLOUD GO,-11.00
2024-07-08,STRIPE* BITWARDEN,-7.16
2024-08-08,BRITBOX,-13.00
2024-08-08,NYTIMES,-6.50
2024-08-08,SOUNDCLOUD GO,-11.00
2024-08-08,SQ *BITWARDEN,-7.17
2024-09-08,NYTIMES,-6.50
2024-09-08,PAYPAL *BITWARDEN,-9.20
2024-10-08,NYTIMES,-6.50
2024-10-08,STRIPE* BITWARDEN,-9.21
2024-11-08,NYTIMES,-6.50
2024-11-08,SQ *BITWARDEN,-9.22
2024-11-12,NYTIMES,6.50
2024-12-08,PAYPAL *BITWARDEN,-9.23
2025-02-06,STRIPE* TOLLGATESTALL,-22.40
2025-02-08,BRITBOX,-13.00
2025-02-08,SOUNDCLOUD GO,-11.00
2025-03-08,BRITBOX,-13.00
2025-03-08,SOUNDCLOUD GO,-11.00
2025-03-14,HISTORY TODAY,-84.00
2025-03-14,SQ *TRESORIT,-84.00
2025-04-08,BRITBOX,-13.00
2025-04-08,SOUNDCLOUD GO,-11.00
2025-05-08,BRITBOX,-13.00
2025-05-08,SOUNDCLOUD GO,-11.00
2025-05-18,SQ *TOLLGATESTALL,-31.10
2025-05-20,PAYPAL *TOLLGATESTALL,31.10
2025-07-12,ALDERCOTE LEISURE,-96.00
2025-07-12,ALDERCOTE LEISURE,-96.00
