Date,Description,Amount
2024-01-08,BANDCAMP,-11.00
2024-01-08,SKY DIGITAL,-11.00
2024-01-08,STRIPE* EVERNOTE,-7.10
2024-01-08,UDEMY,-9.50
2024-01-08,VIRGIN ACTIVE,-9.50
2024-01-08,WASHINGTONPOST,-6.50
2024-02-08,BANDCAMP,-11.00
2024-02-08,SKY DIGITAL,-11.00
2024-02-08,SQ *EVERNOTE,-7.11
2024-02-08,UDEMY,-9.50
2024-02-08,VIRGIN ACTIVE,-9.50
2024-02-08,WASHINGTONPOST,-6.50
2024-03-08,BANDCAMP,-11.00
2024-03-08,PAYPAL *EVERNOTE,-7.12
2024-03-08,SKY DIGITAL,-11.00
2024-03-08,UDEMY,-9.50
2024-03-08,VIRGIN ACTIVE,-9.50
2024-03-08,WASHINGTONPOST,-6.50
2024-03-14,PROSPECT MAG,-84.00
2024-03-14,STRIPE* BOXCOM,-84.00
2024-04-08,BANDCAMP,-11.00
2024-04-08,SKY DIGITAL,-11.00
2024-04-08,STRIPE* EVERNOTE,-7.13
2024-04-08,UDEMY,-9.50
2024-04-08,VIRGIN ACTIVE,-9.50
2024-04-08,WASHINGTONPOST,-6.50
2024-04-12,UDEMY,9.50
2024-05-08,BANDCAMP,-11.00
2024-05-08,SKY DIGITAL,-13.00
2024-05-08,SQ *EVERNOTE,-7.14
2024-05-08,UDEMY,-9.50
2024-05-08,VIRGIN ACTIVE,-9.50
2024-05-08,WASHINGTONPOST,-6.50
2024-06-08,BANDCAMP,-11.00
2024-06-08,PAYPAL *EVERNOTE,-7.15
2024-06-08,SKY DIGITAL,-13.00
2024-06-08,UDEMY,-9.50
2024-06-08,VIRGIN ACTIVE,-9.50
2024-06-08,WASHINGTONPOST,-6.50
2024-07-08,BANDCAMP,-11.00
2024-07-08,SKY DIGITAL,-13.00
2024-07-08,STRIPE* EVERNOTE,-7.16
2024-07-08,WASHINGTONPOST,-6.50
2024-08-08,BANDCAMP,-11.00
2024-08-08,SKY DIGITAL,-13.00
2024-08-08,SQ *EVERNOTE,-7.17
2024-08-08,WASHINGTONPOST,-6.50
2024-09-08,PAYPAL *EVERNOTE,-9.20
2024-09-08,WASHINGTONPOST,-6.50
2024-10-08,STRIPE* EVERNOTE,-9.21
2024-10-08,WASHINGTONPOST,-6.50
2024-11-08,SQ *EVERNOTE,-9.22
2024-11-08,WASHINGTONPOST,-6.50
2024-11-12,WASHINGTONPOST,6.50
2024-12-08,PAYPAL *EVERNOTE,-9.23
2025-02-06,STRIPE* WEAVERSMARKET,-22.40
2025-02-08,BANDCAMP,-11.00
2025-02-08,SKY DIGITAL,-13.00
2025-03-08,BANDCAMP,-11.00
2025-03-08,SKY DIGITAL,-13.00
2025-03-14,PROSPECT MAG,-84.00
2025-03-14,SQ *BOXCOM,-84.00
2025-04-08,BANDCAMP,-11.00
2025-04-08,SKY DIGITAL,-13.00
2025-05-08,BANDCAMP,-11.00
2025-05-08,SKY DIGITAL,-13.00
2025-05-18,SQ *WEAVERSMARKET,-31.10
2025-05-20,PAYPAL *WEAVERSMARKET,31.10
2025-07-12,PENHALE PARKS,-96.00
2025-07-12,PENHALE PARKS,-96.00
