Date,Description,Amount
2024-01-01,STRIPE* SEDGEWICKPROP CARD 4821,-825.10
2024-01-03,STRIPE* NABBASI CARD 4821,-125.10
2024-01-08,CARD 4821 CTRCTY GB,-7.00
2024-01-28,CARD 4821 WXFRD DNTL GB,2350.00
2024-02-01,SQ *SEDGEWICKPROP CARD 4821,-825.11
2024-02-03,SQ *NABBASI CARD 4821,-125.11
2024-02-08,CARD 4821 CTRCTY GB,-7.00
2024-02-28,CARD 4821 WXFRD DNTL GB,2350.00
2024-03-01,PAYPAL *SEDGEWICKPROP CARD 4821,-825.12
2024-03-03,PAYPAL *NABBASI CARD 4821,-125.12
2024-03-08,CARD 4821 CTRCTY GB,-7.00
2024-03-28,CARD 4821 WXFRD DNTL GB,2350.00
2024-04-01,STRIPE* SEDGEWICKPROP CARD 4821,-825.13
2024-04-03,STRIPE* NABBASI CARD 4821,-125.13
2024-04-08,CARD 4821 CTRCTY GB,-7.00
2024-04-28,CARD 4821 WXFRD DNTL GB,2350.00
2024-05-01,SQ *SEDGEWICKPROP CARD 4821,-825.14
2024-05-03,SQ *NABBASI CARD 4821,-125.14
2024-05-03,STRIPE* NABBASI CARD 4821,-125.00
2024-05-08,CARD 4821 CTRCTY GB,-7.00
2024-05-28,CARD 4821 WXFRD DNTL GB,2350.00
2024-06-01,PAYPAL *SEDGEWICKPROP CARD 4821,-825.15
2024-06-02,STRIPE* SEDGEWICKPROP CARD 4821,-825.00
2024-06-02,STRIPE* SEDGEWICKPROP CARD 4821,825.00
2024-06-03,PAYPAL *NABBASI CARD 4821,-125.15
2024-06-08,CARD 4821 CTRCTY GB,-7.00
2024-06-28,CARD 4821 WXFRD DNTL GB,2350.00
2024-07-01,STRIPE* SEDGEWICKPROP CARD 4821,-825.16
2024-07-03,STRIPE* NABBASI CARD 4821,-125.16
2024-07-08,CARD 4821 CTRCTY GB,-7.00
2024-07-28,CARD 4821 WXFRD DNTL GB,2350.00
2024-08-01,SQ *SEDGEWICKPROP CARD 4821,-825.17
2024-08-03,SQ *NABBASI CARD 4821,-125.17
2024-08-08,CARD 4821 CTRCTY GB,-7.00
2024-08-20,STRIPE* TRANSPENNINE CARD 4821,-510.00
2024-08-28,CARD 4821 WXFRD DNTL GB,2350.00
2024-09-01,PAYPAL *SEDGEWICKPROP CARD 4821,-850.20
2024-09-03,PAYPAL *NABBASI CARD 4821,-140.18
2024-09-08,CARD 4821 CTRCTY GB,-9.00
2024-09-28,CARD 4821 WXFRD DNTL GB,2425.00
2024-10-01,STRIPE* SEDGEWICKPROP CARD 4821,-850.21
2024-10-03,STRIPE* NABBASI CARD 4821,-140.19
2024-10-08,CARD 4821 CTRCTY GB,-9.00
2024-10-28,CARD 4821 WXFRD DNTL GB,2425.00
2024-11-01,SQ *SEDGEWICKPROP CARD 4821,-850.22
2024-11-03,SQ *NABBASI CARD 4821,-140.20
2024-11-08,CARD 4821 CTRCTY GB,-9.00
2024-11-28,CARD 4821 WXFRD DNTL GB,2425.00
2024-12-01,PAYPAL *SEDGEWICKPROP CARD 4821,-850.23
2024-12-03,PAYPAL *NABBASI CARD 4821,-140.21
2024-12-08,CARD 4821 CTRCTY GB,-9.00
2024-12-28,CARD 4821 WXFRD DNTL GB,2425.00
2025-01-04,STRIPE* SPARUK CARD 4821,-41.00
2025-01-11,SQ *SPARUK CARD 4821,-42.13
2025-01-18,PAYPAL *SPARUK CARD 4821,-43.26
2025-01-25,STRIPE* SPARUK CARD 4821,-44.39
2025-02-01,SQ *SPARUK CARD 4821,-45.52
2025-02-06,STRIPE* CANONGATEMKT CARD 4821,-22.40
2025-02-08,PAYPAL *SPARUK CARD 4821,-46.65
2025-02-15,STRIPE* SPARUK CARD 4821,-47.78
2025-02-16,SQ *SPARUK CARD 4821,-18.25
2025-02-16,SQ *SPARUK CARD 4821,18.25
2025-02-22,SQ *SPARUK CARD 4821,-48.91
2025-03-01,PAYPAL *SPARUK CARD 4821,-49.04
2025-03-08,STRIPE* SPARUK CARD 4821,-50.17
2025-03-15,SQ *SPARUK CARD 4821,-51.30
2025-03-22,PAYPAL *SPARUK CARD 4821,-52.43
2025-04-09,CARD 4821 WCKS GB,-74.00
2025-04-09,CARD 4821 WCKS GB,-74.00
2025-04-11,CARD 4821 WCKS GB,74.00
2025-05-18,SQ *CANONGATEMKT CARD 4821,-31.10
2025-05-20,PAYPAL *CANONGATEMKT CARD 4821,31.10
2025-06-02,CARD 4821 SLVRTHRN RT GB,-63.20
2025-06-09,CARD 4821 SLVRTHRN RT GB,63.20
2025-07-12,CARD 4821 ST GLLN PSS GB,-96.00
2025-07-12,CARD 4821 ST GLLN PSS GB,-96.00
2025-08-20,SQ *TRANSPENNINE CARD 4821,-540.00
2025-08-22,PAYPAL *TRANSPENNINE CARD 4821,540.00
2025-08-23,PAYPAL *TRANSPENNINE CARD 4821,-540.00
