Date,Description,Amount
2024-01-08,CARD 4821 BS GB,-9.50
2024-01-08,CARD 4821 MZN MSC GB,-11.00
2024-01-08,CARD 4821 PLTN GB,-9.50
2024-01-08,CARD 4821 PRM VD GB,-11.00
2024-01-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-01-08,STRIPE* ICLOUDPLUS CARD 4821,-7.10
2024-02-08,CARD 4821 BS GB,-9.50
2024-02-08,CARD 4821 MZN MSC GB,-11.00
2024-02-08,CARD 4821 PLTN GB,-9.50
2024-02-08,CARD 4821 PRM VD GB,-11.00
2024-02-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-02-08,SQ *ICLOUDPLUS CARD 4821,-7.11
2024-03-08,CARD 4821 BS GB,-9.50
2024-03-08,CARD 4821 MZN MSC GB,-11.00
2024-03-08,CARD 4821 PLTN GB,-9.50
2024-03-08,CARD 4821 PRM VD GB,-11.00
2024-03-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-03-08,PAYPAL *ICLOUDPLUS CARD 4821,-7.12
2024-03-14,CARD 4821 TH WK GB,-84.00
2024-03-14,STRIPE* KOOFR CARD 4821,-84.00
2024-04-08,CARD 4821 BS GB,-9.50
2024-04-08,CARD 4821 MZN MSC GB,-11.00
2024-04-08,CARD 4821 PLTN GB,-9.50
2024-04-08,CARD 4821 PRM VD GB,-11.00
2024-04-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-04-08,STRIPE* ICLOUDPLUS CARD 4821,-7.13
2024-04-12,CARD 4821 BS GB,9.50
2024-05-08,CARD 4821 BS GB,-9.50
2024-05-08,CARD 4821 MZN MSC GB,-11.00
2024-05-08,CARD 4821 PLTN GB,-9.50
2024-05-08,CARD 4821 PRM VD GB,-13.00
2024-05-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-05-08,SQ *ICLOUDPLUS CARD 4821,-7.14
2024-06-08,CARD 4821 BS GB,-9.50
2024-06-08,CARD 4821 MZN MSC GB,-11.00
2024-06-08,CARD 4821 PLTN GB,-9.50
2024-06-08,CARD 4821 PRM VD GB,-13.00
2024-06-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-06-08,PAYPAL *ICLOUDPLUS CARD 4821,-7.15
2024-07-08,CARD 4821 MZN MSC GB,-11.00
2024-07-08,CARD 4821 PRM VD GB,-13.00
2024-07-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-07-08,STRIPE* ICLOUDPLUS CARD 4821,-7.16
2024-08-08,CARD 4821 MZN MSC GB,-11.00
2024-08-08,CARD 4821 PRM VD GB,-13.00
2024-08-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-08-08,SQ *ICLOUDPLUS CARD 4821,-7.17
2024-09-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-09-08,PAYPAL *ICLOUDPLUS CARD 4821,-9.20
2024-10-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-10-08,STRIPE* ICLOUDPLUS CARD 4821,-9.21
2024-11-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-11-08,SQ *ICLOUDPLUS CARD 4821,-9.22
2024-11-12,CARD 4821 TH NDPNDNT GB,6.50
2024-12-08,PAYPAL *ICLOUDPLUS CARD 4821,-9.23
2025-02-06,STRIPE* HAYWARDMARKET CARD 4821,-22.40
2025-02-08,CARD 4821 MZN MSC GB,-11.00
2025-02-08,CARD 4821 PRM VD GB,-13.00
2025-03-08,CARD 4821 MZN MSC GB,-11.00
2025-03-08,CARD 4821 PRM VD GB,-13.00
2025-03-14,CARD 4821 TH WK GB,-84.00
2025-03-14,SQ *KOOFR CARD 4821,-84.00
2025-04-08,CARD 4821 MZN MSC GB,-11.00
2025-04-08,CARD 4821 PRM VD GB,-13.00
2025-05-08,CARD 4821 MZN MSC GB,-11.00
2025-05-08,CARD 4821 PRM VD GB,-13.00
2025-05-18,SQ *HAYWARDMARKET CARD 4821,-31.10
2025-05-20,PAYPAL *HAYWARDMARKET CARD 4821,31.10
2025-07-12,CARD 4821 WYNDHM PSS GB,-96.00
2025-07-12,CARD 4821 WYNDHM PSS GB,-96.00
