Date,Description,Amount
2024-01-08,CARD 4821 CRNCHYRLL GB,-11.00
2024-01-08,CARD 4821 DBL K GB,-11.00
2024-01-08,CARD 4821 NYTM FTNSS GB,-9.50
2024-01-08,CARD 4821 PMSLR GB,-9.50
2024-01-08,CARD 4821 TRTS MD GB,-6.50
2024-01-08,STRIPE* TODOIST CARD 4821,-7.10
2024-02-08,CARD 4821 CRNCHYRLL GB,-11.00
2024-02-08,CARD 4821 DBL K GB,-11.00
2024-02-08,CARD 4821 NYTM FTNSS GB,-9.50
2024-02-08,CARD 4821 PMSLR GB,-9.50
2024-02-08,CARD 4821 TRTS MD GB,-6.50
2024-02-08,SQ *TODOIST CARD 4821,-7.11
2024-03-08,CARD 4821 CRNCHYRLL GB,-11.00
2024-03-08,CARD 4821 DBL K GB,-11.00
2024-03-08,CARD 4821 NYTM FTNSS GB,-9.50
2024-03-08,CARD 4821 PMSLR GB,-9.50
2024-03-08,CARD 4821 TRTS MD GB,-6.50
2024-03-08,PAYPAL *TODOIST CARD 4821,-7.12
2024-03-14,CARD 4821 BBC GD FD GB,-84.00
2024-03-14,STRIPE* JOTTACLOUD CARD 4821,-84.00
2024-04-08,CARD 4821 CRNCHYRLL GB,-11.00
2024-04-08,CARD 4821 DBL K GB,-11.00
2024-04-08,CARD 4821 NYTM FTNSS GB,-9.50
2024-04-08,CARD 4821 PMSLR GB,-9.50
2024-04-08,CARD 4821 TRTS MD GB,-6.50
2024-04-08,STRIPE* TODOIST CARD 4821,-7.13
2024-04-12,CARD 4821 PMSLR GB,9.50
2024-05-08,CARD 4821 CRNCHYRLL GB,-13.00
2024-05-08,CARD 4821 DBL K GB,-11.00
2024-05-08,CARD 4821 NYTM FTNSS GB,-9.50
2024-05-08,CARD 4821 PMSLR GB,-9.50
2024-05-08,CARD 4821 TRTS MD GB,-6.50
2024-05-08,SQ *TODOIST CARD 4821,-7.14
2024-06-08,CARD 4821 CRNCHYRLL GB,-13.00
2024-06-08,CARD 4821 DBL K GB,-11.00
2024-06-08,CARD 4821 NYTM FTNSS GB,-9.50
2024-06-08,CARD 4821 PMSLR GB,-9.50
2024-06-08,CARD 4821 TRTS MD GB,-6.50
2024-06-08,PAYPAL *TODOIST CARD 4821,-7.15
2024-07-08,CARD 4821 CRNCHYRLL GB,-13.00
2024-07-08,CARD 4821 DBL K GB,-11.00
2024-07-08,CARD 4821 TRTS MD GB,-6.50
2024-07-08,STRIPE* TODOIST CARD 4821,-7.16
2024-08-08,CARD 4821 CRNCHYRLL GB,-13.00
2024-08-08,CARD 4821 DBL K GB,-11.00
2024-08-08,CARD 4821 TRTS MD GB,-6.50
2024-08-08,SQ *TODOIST CARD 4821,-7.17
2024-09-08,CARD 4821 TRTS MD GB,-6.50
2024-09-08,PAYPAL *TODOIST CARD 4821,-9.20
2024-10-08,CARD 4821 TRTS MD GB,-6.50
2024-10-08,STRIPE* TODOIST CARD 4821,-9.21
2024-11-08,CARD 4821 TRTS MD GB,-6.50
2024-11-08,SQ *TODOIST CARD 4821,-9.22
2024-11-12,CARD 4821 TRTS MD GB,6.50
2024-12-08,PAYPAL *TODOIST CARD 4821,-9.23
2025-02-06,STRIPE* KILNBROOKSTALL CARD 4821,-22.40
2025-02-08,CARD 4821 CRNCHYRLL GB,-13.00
2025-02-08,CARD 4821 DBL K GB,-11.00
2025-03-08,CARD 4821 CRNCHYRLL GB,-13.00
2025-03-08,CARD 4821 DBL K GB,-11.00
2025-03-14,CARD 4821 BBC GD FD GB,-84.00
2025-03-14,SQ *JOTTACLOUD CARD 4821,-84.00
2025-04-08,CARD 4821 CRNCHYRLL GB,-13.00
2025-04-08,CARD 4821 DBL K GB,-11.00
2025-05-08,CARD 4821 CRNCHYRLL GB,-13.00
2025-05-08,CARD 4821 DBL K GB,-11.00
2025-05-18,SQ *KILNBROOKSTALL CARD 4821,-31.10
2025-05-20,PAYPAL *KILNBROOKSTALL CARD 4821,31.10
2025-07-12,CARD 4821 THRNMR VLLY GB,-96.00
2025-07-12,CARD 4821 THRNMR VLLY GB,-96.00
