Date,Description,Amount
2024-01-03,STRIPE* DCHAUDHRY CARD 4821,-125.10
2024-01-08,CARD 4821 BS GB,-9.50
2024-01-08,CARD 4821 MZN MSC GB,-11.00
2024-01-08,CARD 4821 PLTN GB,-9.50
2024-01-08,CARD 4821 PRM VD GB,-11.00
2024-01-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-01-08,STRIPE* ICLOUDPLUS CARD 4821,-7.10
2024-02-03,SQ *DCHAUDHRY CARD 4821,-125.11
2024-02-08,CARD 4821 BS GB,-9.50
2024-02-08,CARD 4821 MZN MSC GB,-11.00
2024-02-08,CARD 4821 PLTN GB,-9.50
2024-02-08,CARD 4821 PRM VD GB,-11.00
2024-02-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-02-08,SQ *ICLOUDPLUS CARD 4821,-7.11
2024-03-03,PAYPAL *DCHAUDHRY CARD 4821,-125.12
2024-03-08,CARD 4821 BS GB,-9.50
2024-03-08,CARD 4821 MZN MSC GB,-11.00
2024-03-08,CARD 4821 PLTN GB,-9.50
2024-03-08,CARD 4821 PRM VD GB,-11.00
2024-03-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-03-08,PAYPAL *ICLOUDPLUS CARD 4821,-7.12
2024-03-14,CARD 4821 TH WK GB,-84.00
2024-03-14,STRIPE* KOOFR CARD 4821,-84.00
2024-04-03,STRIPE* DCHAUDHRY CARD 4821,-125.13
2024-04-08,CARD 4821 BS GB,-9.50
2024-04-08,CARD 4821 MZN MSC GB,-11.00
2024-04-08,CARD 4821 PLTN GB,-9.50
2024-04-08,CARD 4821 PRM VD GB,-11.00
2024-04-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-04-08,STRIPE* ICLOUDPLUS CARD 4821,-7.13
2024-04-12,CARD 4821 BS GB,9.50
2024-05-03,SQ *DCHAUDHRY CARD 4821,-125.14
2024-05-03,STRIPE* DCHAUDHRY CARD 4821,-125.00
2024-05-08,CARD 4821 BS GB,-9.50
2024-05-08,CARD 4821 MZN MSC GB,-11.00
2024-05-08,CARD 4821 PLTN GB,-9.50
2024-05-08,CARD 4821 PRM VD GB,-13.00
2024-05-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-05-08,SQ *ICLOUDPLUS CARD 4821,-7.14
2024-06-03,PAYPAL *DCHAUDHRY CARD 4821,-125.15
2024-06-08,CARD 4821 BS GB,-9.50
2024-06-08,CARD 4821 MZN MSC GB,-11.00
2024-06-08,CARD 4821 PLTN GB,-9.50
2024-06-08,CARD 4821 PRM VD GB,-13.00
2024-06-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-06-08,PAYPAL *ICLOUDPLUS CARD 4821,-7.15
2024-07-03,STRIPE* DCHAUDHRY CARD 4821,-125.16
2024-07-08,CARD 4821 MZN MSC GB,-11.00
2024-07-08,CARD 4821 PRM VD GB,-13.00
2024-07-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-07-08,STRIPE* ICLOUDPLUS CARD 4821,-7.16
2024-08-03,SQ *DCHAUDHRY CARD 4821,-125.17
2024-08-08,CARD 4821 MZN MSC GB,-11.00
2024-08-08,CARD 4821 PRM VD GB,-13.00
2024-08-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-08-08,SQ *ICLOUDPLUS CARD 4821,-7.17
2024-08-20,STRIPE* AVANTIWESTCST CARD 4821,-510.00
2024-09-03,PAYPAL *DCHAUDHRY CARD 4821,-140.18
2024-09-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-09-08,PAYPAL *ICLOUDPLUS CARD 4821,-9.20
2024-10-03,STRIPE* DCHAUDHRY CARD 4821,-140.19
2024-10-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-10-08,STRIPE* ICLOUDPLUS CARD 4821,-9.21
2024-11-03,SQ *DCHAUDHRY CARD 4821,-140.20
2024-11-08,CARD 4821 TH NDPNDNT GB,-6.50
2024-11-08,SQ *ICLOUDPLUS CARD 4821,-9.22
2024-11-12,CARD 4821 TH NDPNDNT GB,6.50
2024-12-03,PAYPAL *DCHAUDHRY CARD 4821,-140.21
2024-12-08,PAYPAL *ICLOUDPLUS CARD 4821,-9.23
2025-02-08,CARD 4821 MZN MSC GB,-11.00
2025-02-08,CARD 4821 PRM VD GB,-13.00
2025-03-08,CARD 4821 MZN MSC GB,-11.00
2025-03-08,CARD 4821 PRM VD GB,-13.00
2025-03-14,CARD 4821 TH WK GB,-84.00
2025-03-14,SQ *KOOFR CARD 4821,-84.00
2025-04-08,CARD 4821 MZN MSC GB,-11.00
2025-04-08,CARD 4821 PRM VD GB,-13.00
2025-05-08,CARD 4821 MZN MSC GB,-11.00
2025-05-08,CARD 4821 PRM VD GB,-13.00
2025-08-20,SQ *AVANTIWESTCST CARD 4821,-540.00
2025-08-22,PAYPAL *AVANTIWESTCST CARD 4821,540.00
2025-08-23,PAYPAL *AVANTIWESTCST CARD 4821,-540.00
