Date,Description,Amount
2023-03-08,PAYPAL *DISNEYPLUS,-7.99
2023-03-14,AMAZON PRIME,-95.00
2023-04-08,PAYPAL *DISNEYPLUS,-7.99
2023-05-08,PAYPAL *DISNEYPLUS,-7.99
2023-06-08,PAYPAL *DISNEYPLUS,-7.99
2023-07-08,PAYPAL *DISNEYPLUS,-7.99
2023-08-08,PAYPAL *DISNEYPLUS,-7.99
2023-09-08,PAYPAL *DISNEYPLUS,-7.99
2023-10-08,PAYPAL *DISNEYPLUS,-7.99
2023-11-08,PAYPAL *DISNEYPLUS,-7.99
2023-12-08,PAYPAL *DISNEYPLUS,-7.99
2024-01-08,PAYPAL *DISNEYPLUS,-7.99
2024-02-08,PAYPAL *DISNEYPLUS,-7.99
2024-03-08,PAYPAL *DISNEYPLUS,-7.99
2024-03-14,AMAZON PRIME,-95.00
2024-04-08,PAYPAL *DISNEYPLUS,-7.99
2024-05-08,PAYPAL *DISNEYPLUS,-7.99
2024-06-08,PAYPAL *DISNEYPLUS,-7.99
2024-07-08,PAYPAL *DISNEYPLUS,-7.99
2024-08-08,PAYPAL *DISNEYPLUS,-7.99
2024-09-08,PAYPAL *DISNEYPLUS,-7.99
2024-10-08,PAYPAL *DISNEYPLUS,-7.99
2024-11-08,PAYPAL *DISNEYPLUS,-10.99
2024-12-08,PAYPAL *DISNEYPLUS,-10.99
2025-01-06,SQ *KAFFA COFFEE,-3.40
2025-01-08,PAYPAL *DISNEYPLUS,-10.99
2025-01-21,SQ *KAFFA COFFEE,-4.10
2025-02-03,SQ *KAFFA COFFEE,-3.20
2025-02-08,PAYPAL *DISNEYPLUS,-10.99
2025-02-14,AMZNMktplace*2K4J,-23.94
2025-02-19,SQ *KAFFA COFFEE,-4.80
2025-03-08,PAYPAL *DISNEYPLUS,-10.99
2025-03-10,SQ *KAFFA COFFEE,-3.40
2025-03-14,AMAZON PRIME,-95.00
2025-03-27,SQ *KAFFA COFFEE,-3.90
2025-04-08,PAYPAL *DISNEYPLUS,-10.99
2025-04-14,SQ *KAFFA COFFEE,-4.10
2025-05-01,SQ *KAFFA COFFEE,-3.60
2025-05-08,PAYPAL *DISNEYPLUS,-10.99
2025-05-22,AMZNMktplace*2K4J,-8.49
2025-06-02,ZETTLE_*COFFEECART,-2.80
2025-06-08,PAYPAL *DISNEYPLUS,-10.99
2025-06-25,ZETTLE_*COFFEECART,-3.20
2025-07-08,PAYPAL *DISNEYPLUS,-10.99
2025-07-15,ZETTLE_*COFFEECART,-3.60
2025-08-08,PAYPAL *DISNEYPLUS,-10.99
2025-08-11,ZETTLE_*COFFEECART,-2.80
2025-09-03,ZETTLE_*COFFEECART,-3.40
2025-09-08,PAYPAL *DISNEYPLUS,-10.99
2025-09-30,AMZNMktplace*2K4J,-61.20
2025-10-08,PAYPAL *DISNEYPLUS,-10.99
2025-11-08,PAYPAL *DISNEYPLUS,-10.99
2025-12-08,PAYPAL *DISNEYPLUS,-10.99
