Date,Description,Paid Out,Paid In
03 Jan 25,PUREGYM LTD,24.99,
05 Jan 25,NETFLIX.COM,10.99,
07 Jan 25,SPOTIFY LTD,9.99,
12 Jan 25,KAFFA COFFEE,3.40,
28 Jan 25,ACME PAYROLL,,2450.00
03 Feb 25,PUREGYM LTD,24.99,
05 Feb 25,NETFLIX.COM,10.99,
07 Feb 25,SPOTIFY LTD,9.99,
12 Feb 25,KAFFA COFFEE,4.10,
28 Feb 25,ACME PAYROLL,,2450.00
03 Mar 25,PUREGYM LTD,24.99,
05 Mar 25,NETFLIX.COM,10.99,
07 Mar 25,SPOTIFY LTD,9.99,
12 Mar 25,KAFFA COFFEE,3.20,
28 Mar 25,ACME PAYROLL,,2450.00
03 Apr 25,PUREGYM LTD,24.99,
05 Apr 25,NETFLIX.COM,12.99,
07 Apr 25,SPOTIFY LTD,9.99,
12 Apr 25,KAFFA COFFEE,4.80,
28 Apr 25,ACME PAYROLL,,2450.00
03 May 25,PUREGYM LTD,24.99,
05 May 25,NETFLIX.COM,12.99,
07 May 25,SPOTIFY LTD,9.99,
12 May 25,KAFFA COFFEE,3.90,
28 May 25,ACME PAYROLL,,2450.00
03 Jun 25,PUREGYM LTD,24.99,
05 Jun 25,NETFLIX.COM,12.99,
07 Jun 25,SPOTIFY LTD,9.99,
12 Jun 25,KAFFA COFFEE,4.40,
28 Jun 25,ACME PAYROLL,,2450.00
